seed,budget_kimg,nfe,metric,contrast,value,lower_is_better,status
3,640,2,kid50k_full,B-C,-0.0028915312862863173,True,PASS
3,640,2,kid50k_full,interaction_B-C-D+A,-0.003127214742242281,True,PASS
3,768,1,fid50k_full,B-A,-1.8425628158841931,True,PASS
3,768,1,fid50k_full,C-A,2.257214953480416,True,PASS
3,768,1,fid50k_full,B-D,-0.502913230520786,True,PASS
3,768,1,fid50k_full,D-A,-1.3396495853634072,True,PASS
3,768,1,fid50k_full,B-C,-4.099777769364609,True,PASS
3,768,1,fid50k_full,interaction_B-C-D+A,-2.7601281840012017,True,PASS
3,768,1,kid50k_full,B-A,-0.0014225069069069233,True,PASS
3,768,1,kid50k_full,C-A,0.002159261994494465,True,PASS
3,768,1,kid50k_full,B-D,-0.000413534624624636,True,PASS
3,768,1,kid50k_full,D-A,-0.0010089722822822873,True,PASS
3,768,1,kid50k_full,B-C,-0.0035817689014013884,True,PASS
3,768,1,kid50k_full,interaction_B-C-D+A,-0.0025727966191191,True,PASS
3,768,2,fid50k_full,B-A,-0.31506899755652595,True,PASS
3,768,2,fid50k_full,C-A,0.2674265751186735,True,PASS
3,768,2,fid50k_full,B-D,-0.28045537794194164,True,PASS
3,768,2,fid50k_full,D-A,-0.03461361961458431,True,PASS
3,768,2,fid50k_full,B-C,-0.5824955726751995,True,PASS
3,768,2,fid50k_full,interaction_B-C-D+A,-0.5478819530606152,True,PASS
3,768,2,kid50k_full,B-A,-0.00031923846346349817,True,PASS
3,768,2,kid50k_full,C-A,-0.0002788805630630487,True,PASS
3,768,2,kid50k_full,B-D,-0.00027663906406405177,True,PASS
3,768,2,kid50k_full,D-A,-4.2599399399446394e-05,True,PASS
3,768,2,kid50k_full,B-C,-4.035790040044949e-05,True,PASS
3,768,2,kid50k_full,interaction_B-C-D+A,2.2414989989969023e-06,True,PASS
3,896,1,fid50k_full,B-A,-1.2977892341879027,True,PASS
3,896,1,fid50k_full,C-A,1.2216664725574713,True,PASS
3,896,1,fid50k_full,B-D,-0.3225039671348391,True,PASS
3,896,1,fid50k_full,D-A,-0.9752852670530636,True,PASS
3,896,1,fid50k_full,B-C,-2.519455706745374,True,PASS
3,896,1,fid50k_full,interaction_B-C-D+A,-1.5441704396923104,True,PASS
3,896,1,kid50k_full,B-A,-0.0008142636086085706,True,PASS
3,896,1,kid50k_full,C-A,0.001118536008508528,True,PASS
3,896,1,kid50k_full,B-D,-6.404326076073653e-05,True,PASS
3,896,1,kid50k_full,D-A,-0.0007502203478478341,True,PASS
3,896,1,kid50k_full,B-C,-0.0019327996171170985,True,PASS
3,896,1,kid50k_full,interaction_B-C-D+A,-0.0011825792692692653,True,PASS
3,896,2,fid50k_full,B-A,-0.21548910027631063,True,PASS
3,896,2,fid50k_full,C-A,0.2073964648683151,True,PASS
3,896,2,fid50k_full,B-D,-0.12179894601758301,True,PASS
3,896,2,fid50k_full,D-A,-0.09369015425872762,True,PASS
3,896,2,fid50k_full,B-C,-0.4228855651446257,True,PASS
3,896,2,fid50k_full,interaction_B-C-D+A,-0.3291954108858981,True,PASS
3,896,2,kid50k_full,B-A,-0.00032792504254249726,True,PASS
3,896,2,kid50k_full,C-A,0.0003450248098098201,True,PASS
3,896,2,kid50k_full,B-D,-7.904286786785189e-05,True,PASS
3,896,2,kid50k_full,D-A,-0.0002488821746746454,True,PASS
3,896,2,kid50k_full,B-C,-0.0006729498523523174,True,PASS
3,896,2,kid50k_full,interaction_B-C-D+A,-0.000424067677677672,True,PASS
3,1024,1,fid50k_full,B-A,-0.9830543644280265,True,PASS
3,1024,1,fid50k_full,C-A,1.0025959756330742,True,PASS
3,1024,1,fid50k_full,B-D,-0.12284777204265218,True,PASS
3,1024,1,fid50k_full,D-A,-0.8602065923853743,True,PASS
3,1024,1,fid50k_full,B-C,-1.9856503400611007,True,PASS
3,1024,1,fid50k_full,interaction_B-C-D+A,-1.1254437476757264,True,PASS
3,1024,1,kid50k_full,B-A,-0.0005628548748748876,True,PASS
3,1024,1,kid50k_full,C-A,0.0008156037962963004,True,PASS
3,1024,1,kid50k_full,B-D,0.00012429674424423425,True,PASS
3,1024,1,kid50k_full,D-A,-0.0006871516191191218,True,PASS
3,1024,1,kid50k_full,B-C,-0.001378458671171188,True,PASS
3,1024,1,kid50k_full,interaction_B-C-D+A,-0.0006913070520520662,True,PASS
3,1024,2,fid50k_full,B-A,-0.0348662092680212,True,PASS
3,1024,2,fid50k_full,C-A,0.21840886225719203,True,PASS
3,1024,2,fid50k_full,B-D,-0.01976409096797571,True,PASS
3,1024,2,fid50k_full,D-A,-0.015102118300045486,True,PASS
3,1024,2,fid50k_full,B-C,-0.2532750715252132,True,PASS
3,1024,2,fid50k_full,interaction_B-C-D+A,-0.23817295322516774,True,PASS
3,1024,2,kid50k_full,B-A,-6.419814064062405e-05,True,PASS
3,1024,2,kid50k_full,C-A,0.0003012962762763028,True,PASS
3,1024,2,kid50k_full,B-D,3.384247747746476e-05,True,PASS
3,1024,2,kid50k_full,D-A,-9.804061811808881e-05,True,PASS
3,1024,2,kid50k_full,B-C,-0.0003654944169169268,True,PASS
3,1024,2,kid50k_full,interaction_B-C-D+A,-0.000267453798798838,True,PASS
4,256,1,fid50k_full,B-A,-3.4614369546914645,True,PASS
4,256,1,fid50k_full,C-A,-5.668441428329629,True,PASS
4,256,1,fid50k_full,B-D,-17.94898503814909,True,PASS
4,256,1,fid50k_full,D-A,14.487548083457625,True,PASS
4,256,1,fid50k_full,B-C,2.2070044736381647,True,PASS
4,256,1,fid50k_full,interaction_B-C-D+A,-12.28054360981946,True,PASS
4,256,1,kid50k_full,B-A,-0.005469639584584629,True,PASS
4,256,1,kid50k_full,C-A,-0.008374504354354495,True,PASS
4,256,1,kid50k_full,B-D,-0.029020337772772686,True,PASS
