budget_kimg,nfe,metric,contrast,paired_seed_count,mean,sample_std,min,max,negative_count,positive_count,zero_count
512,1,fid50k_full,C-A,3,3.0319859141630814,4.8639272089458965,-2.5570157707365517,6.3061564539735,1,2,0
512,1,fid50k_full,D-A,3,21.188729571916095,11.965499681940523,7.8022249739472045,30.844126976214774,0,3,0
512,1,fid50k_full,interaction_B-C-D+A,3,-23.944472928609855,15.202341435740191,-37.56273050504676,-7.542717776084949,3,0,0
512,1,kid50k_full,B-A,3,0.00045935224974976915,0.004991127852993584,-0.0038187623948949083,0.005942756826826899,2,1,0
512,1,kid50k_full,B-C,3,-0.0028374769461127617,0.0036621724602061497,-0.006990231063563567,-7.009912162157447e-05,3,0,0
512,1,kid50k_full,B-D,3,-0.019460509587087102,0.01587399947343821,-0.029262420217717775,-0.00114591307057052,3,0,0
512,1,kid50k_full,C-A,3,0.003296829195862531,0.0049060919295837915,-0.0023666617417417643,0.006244293380880884,1,2,0
512,1,kid50k_full,D-A,3,0.01991986183683687,0.011324154882651802,0.007088669897397419,0.028516482535035092,0,3,0
512,1,kid50k_full,interaction_B-C-D+A,3,-0.022757338782949627,0.014387144413041631,-0.03550671359859865,-0.007158769019018994,3,0,0
512,2,fid50k_full,B-A,3,-2.6055326743510223,5.561534417922204,-8.864628423299436,1.7683846733324842,2,1,0
512,2,fid50k_full,B-C,3,-11.080046407650771,19.119880600987766,-33.15765672844567,0.023381414222490626,2,1,0
512,2,fid50k_full,B-D,3,-5.461867083512597,5.112144870749695,-9.483939195246336,0.2909903370833131,2,1,0
512,2,fid50k_full,C-A,3,8.474513733299752,13.74994018112752,-0.6144903643569819,24.29302830514624,1,2,0
512,2,fid50k_full,D-A,3,2.8563344091615748,3.1607707945291468,0.6193107719468998,6.472298119288653,0,3,0
512,2,fid50k_full,interaction_B-C-D+A,3,-13.936380816812347,17.372417390121708,-33.77696750039257,-1.4540129220266804,3,0,0
512,2,kid50k_full,B-A,3,-0.001458629780613946,0.004914559004856326,-0.006851131423923934,0.0027684981531531554,2,1,0
512,2,kid50k_full,B-C,3,-0.008767986308808814,0.014914236541017062,-0.025988985000000003,-4.6335445445452005e-05,3,0,0
512,2,kid50k_full,B-D,3,-0.003922953975642305,0.0040555434754848295,-0.007132330247747773,0.0006350984859859873,2,1,0
512,2,kid50k_full,C-A,3,0.0073093565281948675,0.010341693651043678,-2.461759009007424e-05,0.01913785357607607,1,2,0
