checkpoint_id,method,training_seed,budget_kimg,checkpoint_sha256,source_256k_checkpoint_id,source_256k_checkpoint_sha256,training_commit,resume_start_kimg,final_kimg,optimizer_ema_gradscaler_continuity,training_options_sha256,training_state_sha256,dataset_sha256,integrity_receipt_sha256,archive_sha256,role_d_receiver_verification,status
q128-1024k-seed3-fixed,fixed,3,1024,78f386d03701e57cc99776f7ed4138572f4acbce4f3077d30fb381a765329037,not_recorded,not_recorded,not_recorded,not_recorded,1024,not_recorded,not_recorded,not_recorded,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,not_supplied,not_supplied,not_received,incomplete
q128-1024k-seed3-global110,global110,3,1024,6af085431b4a5fe1d1fbfd5927740cca086e5dfdbb3f87b2706523e9d5cb7f09,not_recorded,not_recorded,not_recorded,not_recorded,1024,not_recorded,not_recorded,not_recorded,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,not_supplied,not_supplied,not_received,incomplete
q128-1024k-seed4-fixed,fixed,4,1024,036f4876747e95332ad79525900b77a79f402512710b495dc0f75c9e3cf0ea28,not_recorded,not_recorded,not_recorded,not_recorded,1024,not_recorded,not_recorded,not_recorded,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,not_supplied,not_supplied,not_received,incomplete
q128-1024k-seed4-global110,global110,4,1024,ecf3f63cb0ec4b41a260d8873435fe02dfea43f574a07e23f5fa434b4e309380,not_recorded,not_recorded,not_recorded,not_recorded,1024,not_recorded,not_recorded,not_recorded,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,not_supplied,not_supplied,not_received,incomplete
q128-1024k-seed5-fixed,fixed,5,1024,18c9a3984a0ff37895b429e0d6069ea6f10b79088b5a9f45248bcacaaf03302e,not_recorded,not_recorded,not_recorded,not_recorded,1024,not_recorded,not_recorded,not_recorded,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,not_supplied,not_supplied,not_received,incomplete
q128-1024k-seed5-global110,global110,5,1024,cf599e475d7198aa2f90e5ee38912432f17a106195ee379c0336436b5416bc97,not_recorded,not_recorded,not_recorded,not_recorded,1024,not_recorded,not_recorded,not_recorded,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,not_supplied,not_supplied,not_received,incomplete
