evidence_class,phase,checkpoint_id,method,training_seed,budget_kimg,checkpoint_sha256,integrity_receipt_status,nfe,mid_t,metric_name,metric_value,generated_sample_count,generation_seed_range,metric_seed,dataset_sha256,evaluation_git_commit,run_id,record_status
retrospective_supplementary,retrospective,q128-1024k-seed4-global110,global110,4,1024,ecf3f63cb0ec4b41a260d8873435fe02dfea43f574a07e23f5fa434b4e309380,unavailable,2,[0.821],kid50k_full,0.0004897656035609543,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed4-global110-nfe2,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed4-global110,global110,4,1024,ecf3f63cb0ec4b41a260d8873435fe02dfea43f574a07e23f5fa434b4e309380,unavailable,2,[0.821],fid50k_full,2.4294324241626413,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed4-global110-nfe2,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed5-fixed,fixed,5,1024,18c9a3984a0ff37895b429e0d6069ea6f10b79088b5a9f45248bcacaaf03302e,unavailable,1,[],kid50k_full,0.002068317960947752,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed5-fixed-nfe1,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed5-fixed,fixed,5,1024,18c9a3984a0ff37895b429e0d6069ea6f10b79088b5a9f45248bcacaaf03302e,unavailable,1,[],fid50k_full,5.055956113653581,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed5-fixed-nfe1,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed5-fixed,fixed,5,1024,18c9a3984a0ff37895b429e0d6069ea6f10b79088b5a9f45248bcacaaf03302e,unavailable,2,[0.821],kid50k_full,0.0006649047718383372,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed5-fixed-nfe2,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed5-fixed,fixed,5,1024,18c9a3984a0ff37895b429e0d6069ea6f10b79088b5a9f45248bcacaaf03302e,unavailable,2,[0.821],fid50k_full,2.7524323159134365,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed5-fixed-nfe2,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed5-global110,global110,5,1024,cf599e475d7198aa2f90e5ee38912432f17a106195ee379c0336436b5416bc97,unavailable,1,[],kid50k_full,0.0020205785986036062,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed5-global110-nfe1,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed5-global110,global110,5,1024,cf599e475d7198aa2f90e5ee38912432f17a106195ee379c0336436b5416bc97,unavailable,1,[],fid50k_full,4.9734133308198185,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed5-global110-nfe1,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed5-global110,global110,5,1024,cf599e475d7198aa2f90e5ee38912432f17a106195ee379c0336436b5416bc97,unavailable,2,[0.821],kid50k_full,0.0006578808533959091,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed5-global110-nfe2,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed5-global110,global110,5,1024,cf599e475d7198aa2f90e5ee38912432f17a106195ee379c0336436b5416bc97,unavailable,2,[0.821],fid50k_full,2.7214836580560435,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed5-global110-nfe2,reported_unverified
