layer,update_reference_l2,update_probe_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_reference_l2,predicted_probe_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.008117742287201444,0.007975910936456587,0.994468769666285,0.9770936370388644,1.0121528749677426,0.10319758356745051,0.10730639124628936,0.0,131294,131328,0.9997411062378168,1.0,0.9770936370388644,0.10319293359426107,0.41796260923388207,0.9773851809423151,1.3894612975071758,131294,0.977092715991319,0.10320194712981785,0.9774457240853724,0.0009935294021240276,0.0009935293936201878,3.004103873115295e-09,0.008117739514286256,0.00797590035289524,0.9770927257974561,1.0121539256890193,0.10319699387273681,0.10730579612671831,0.0
model.dec.16x16_block0.conv0,0.022397038616328753,0.021441275928359614,0.9937032679897689,0.9512983535398202,1.037998416731427,0.10726249442563814,0.11209339025705228,0.0,1179031,1179904,0.9992601092970276,0.9999999999999998,0.9512983535398204,0.10722540798121011,0.32376514146299706,0.9575530586766542,1.5730033404190706,1179031,0.9512979259797972,0.10725729974355927,0.9575382043219249,0.001970843308555425,0.0019708433062953093,1.895411170076998e-07,0.02239702493385535,0.02144124500803158,0.9512980655260758,1.037999828015223,0.10725794683675804,0.11208876011994874,0.0
model.dec.16x16_block0.conv1,0.01576125839543911,0.01501935422115453,0.9934363589917948,0.9466739391944414,1.0425086806621888,0.10900187495835666,0.11463946954350673,0.0,589530,590080,0.9990679229934925,1.0000000000000002,0.9466739391944413,0.10896001482638552,0.2962962962962963,0.9525423728813559,1.5952380952380953,589530,0.9466731919165202,0.10900511226237225,0.9525351202583698,0.002370144723106046,0.0023701447216086515,1.0766317266913171e-07,0.015761262349902574,0.015019335156762351,0.9466730349657155,1.04251085458282,0.1089970633811322,0.11463470819352013,0.0
model.dec.16x16_block0.norm0,0.0007549495374224408,0.0007426780099351602,0.9949529972693106,0.9787802698891088,1.0113929522581604,0.09871104405768213,0.10288817779398772,0.0,1024,1024,1.0,1.0,0.9787802698891088,0.09871104405768213,0.47355731225296444,0.9824374325504908,1.525876216152854,1024,0.9788145809569918,0.0986392981614565,0.9809592982935942,0.0023661690277433827,0.00236616902714538,0.0,0.0007549541703967467,0.0007427085231467098,0.978816295245606,1.0113594860030988,0.09869645983788784,0.10287787717514978,0.0
model.dec.16x16_block0.norm1,0.0005159295361787004,0.0005055715783612378,0.9948839549933455,0.9749103630268602,1.0152667582998405,0.09899613901403433,0.10277027093275988,0.0,512,512,1.0,1.0,0.9749103630268602,0.09899613901403434,0.4071739130434783,0.969309262166405,1.5693050193050193,512,0.9750872561401949,0.0991754171506771,0.9684916506164667,0.003613914211744296,0.0036139142117440214,0.0,0.0005159466456672073,0.0005056759786846728,0.9750822284753403,1.0150938123761235,0.09898490353520285,0.10277374908137071,0.0
model.dec.16x16_block0.skip,0.007394984305736627,0.007075404863137638,0.9936726460873461,0.9507303845174178,1.038554508893093,0.10746128455380202,0.11238149861317458,0.0,131312,131328,0.9998781676413255,1.0,0.9507303845174176,0.10745862529971234,0.28800331788639577,0.951830650528569,1.6462217319360175,131312,0.9507310693812897,0.10745896404116549,0.9518441146206493,0.0008030451624017874,0.0008030451622699134,1.4846197594763636e-09,0.007394982746797528,0.00707540743918779,0.9507311050308753,1.038554101843479,0.10745980741759986,0.11237986035672558,0.0
model.dec.16x16_block1.affine,0.008697126490602043,0.008497591151804556,0.9951322175479859,0.9723012233809704,1.0184993154266082,0.09628784492557042,0.0997836361151801,0.0,131284,131328,0.9996649610136452,1.0,0.9723012233809701,0.09627383528091368,0.12066286326672132,0.970536972389993,1.8904708919351945,131284,0.9723017399417461,0.0962813048246107,0.9705371606868999,0.0010166041391314424,0.0010166041403374545,9.692879132664081e-09,0.008697128465944606,0.008497596343455345,0.9723016393160542,1.018498969264224,0.09628745032963465,0.09978333528056324,0.0
model.dec.16x16_block1.conv0,0.022373918881783496,0.02145324755322228,0.9940553927652712,0.953150699047722,1.036715521347211,0.10439535538408126,0.10889592831739625,0.0,1178950,1179904,0.9991914596441744,1.0,0.953150699047722,0.10435586412554475,0.3157894736842105,0.9559164733178654,1.5833333333333333,1178950,0.9531507367520071,0.10438413981353167,0.9559077212599287,0.0018960199422641817,0.0018960199396769427,1.9602810953560417e-07,0.022373916186389006,0.021453231778880096,0.9531506902810772,1.0367167865978133,0.10439002067009241,0.10889044623740143,0.0
model.dec.16x16_block1.conv1,0.015669835312734345,0.01495810301237055,0.9936274093463225,0.948496321007196,1.0409059125879245,0.10759500169213324,0.11287947135377575,0.0,589522,590080,0.9990543655097613,1.0,0.948496321007196,0.10754523128282413,0.29411764705882354,0.9516129032258065,1.6,589522,0.9484978676190288,0.10758657436194563,0.9515905442144585,0.002331999101167376,0.002331999098142088,1.2488950631988648e-07,0.015669828712361715,0.01495810720356645,0.9484977628071877,1.0409060346520878,0.10758823163355173,0.11287228971527329,0.0
model.dec.16x16_block1.norm0,0.000708945658877821,0.0006993740453603785,0.9950645532301347,0.9816299927540871,1.008682978723059,0.09788998814899048,0.10244994936008273,0.0,1023,1024,0.9990234375,1.0,0.9816299927540871,0.09788868836427535,0.3714251987093728,0.9805555555555555,1.592688828108563,1023,0.9816862419560581,0.09786667623429102,0.980224121866864,0.0019103135708142217,0.0019103135705707131,6.075289062967523e-12,0.0007089144908916711,0.0006993815460591765,0.9816822122335738,1.0086263084767422,0.09791005146702983,0.10247878838176129,0.0
