layer,update_reference_l2,update_probe_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_reference_l2,predicted_probe_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.08714615970536752,0.08713828688665219,0.883726126651038,0.8836462904814049,0.883805970033754,0.4679621359519172,0.4680290186005737,0.0,131068,131328,0.99802022417154,1.0,0.8836462904814049,0.4679621358301772,-0.9987089608966349,1.0,1.0003066920198735,131068,0.8838656681816295,0.46774082597420086,0.9999999963255478,0.03292250513779804,3.883622909904882e-05,2.632144153474705e-13,0.08714625769315475,0.0871384060791852,0.8836467574800333,0.8838060067964787,0.467961774259173,0.4680285454076904,0.0
model.dec.16x16_block0.conv0,0.26400122732100206,0.2639955418182717,0.8905042449473543,0.8904850671413741,0.8905234231663546,0.4549651347871326,0.4551206650569974,0.0,1179892,1179904,0.9999898296810588,1.0,0.8904850671413742,0.4549539760262834,-0.99773145309626,1.0,1.0001226203979032,1179878,0.8905028052670075,0.454977750924715,0.9999999967885396,0.006143722559458912,5.3249176540570036e-05,2.1526314816609884e-07,0.264002585607679,0.2639971183713132,0.8904871005791388,0.8905239839656064,0.45496297220691784,0.4551181465310296,2.152534838262512e-07
model.dec.16x16_block0.conv1,0.18669171924718778,0.18668706402753954,0.8871025889121381,0.8870804687162421,0.8871247096596222,0.4615607998776794,0.4616436895764468,0.0,590074,590080,0.9999898318872017,1.0,0.8870804687162419,0.4615498538924867,-0.9982827037543872,1.0,1.000122624156959,590065,0.8870981524370246,0.46158083571598685,0.9999999967367503,0.006643583928262776,6.079715195098274e-05,1.0712671040366276e-07,0.18669368336680453,0.18668915991416335,0.8870839851463885,0.8871269735128343,0.46155557122990715,0.46163817919451344,1.0712381053554931e-07
model.dec.16x16_block0.norm0,0.0077790655626901175,0.007779077774829386,0.8632845802291269,0.8632859354756457,0.8632832249847358,0.5047182712731257,0.5049623360669576,0.0,1024,1024,1.0,1.0,0.8632859354756457,0.5047182712731257,-1.0,1.0,1.0,1024,0.8632795271005759,0.5047261247180046,0.9999999963226711,0.00013511537990181698,2.4670700805647657e-05,0.0,0.007779349757897869,0.0077793645236312724,0.8632870302349653,0.86328375308964,0.5047170490159097,0.504960926321622,0.0
model.dec.16x16_block0.norm1,0.005500963332215244,0.005500952797347527,0.8906192297299956,0.8906175241095062,0.8906209353537516,0.4547489368460311,0.45489809674241427,0.0,512,512,1.0,1.0,0.8906175241095062,0.4547489368460311,-1.0,1.0,1.0,512,0.8906194412240191,0.45474939869926445,0.9999999981911785,4.33414699240656e-05,3.5511560063316375e-05,0.0,0.005500849357447,0.005500846879972523,0.8906276475676268,0.8906284498105582,0.4547323307481564,0.45488102766392075,0.0
model.dec.16x16_block0.skip,0.08809694186570158,0.08809652904876535,0.8845373427048441,0.8845331978164055,0.8845414876127052,0.4664672015305264,0.46650222223165694,0.0,131326,131328,0.9999847709551657,1.0,0.8845331978164054,0.4664508789923024,-0.999888899211469,1.0,1.0000038309479298,131324,0.8845450855509387,0.46645470466441835,0.9999999964557413,0.0007732225912783984,1.2495729755376426e-05,3.594942176335502e-08,0.0880971342844145,0.08809672971778755,0.8845337805845265,0.8845419046924442,0.46646629724747546,0.46650128165186555,3.594935479851404e-08
model.dec.16x16_block1.affine,0.08723708962827628,0.08720094794995328,0.8908622838797935,0.8904932062520177,0.8912315144770635,0.4540852740525076,0.4544378002853616,0.0,131069,131328,0.9980278386939572,1.0,0.8904932062520174,0.45408527383173075,-0.9944675491171863,1.0,1.0001839475136427,131069,0.8909039405329444,0.454191776200872,0.9999999969856758,0.03146894700356149,0.0003795698335881687,4.641543398172485e-13,0.08723720451278973,0.08720105586887146,0.8904932873022777,0.8912317370042769,0.4540849405404148,0.4544375141192365,0.0
model.dec.16x16_block1.conv0,0.263994198307582,0.2639897351491615,0.8868157250358567,0.8868007322856525,0.8868307180395366,0.4621154065319279,0.46218944555500907,0.0,1179893,1179904,0.9999906772076372,1.0,0.8868007322856525,0.46210532492626016,-0.9984048492568139,1.0,1.000122624156959,1179875,0.8868237546508744,0.46210781008543966,0.999999996666305,0.0070584779546558184,5.340112862997757e-05,1.9753006969348986e-07,0.26399568913170934,0.2639914187809784,0.8868027936281556,0.8868314838757743,0.46211303141632354,0.46218674968226914,1.9752136612767123e-07
model.dec.16x16_block1.conv1,0.18667955981218706,0.18667417053674706,0.8817810048240854,0.8817555485785408,0.8818064618045509,0.4716454337057987,0.47166735942519,0.0,590075,590080,0.9999915265726681,0.9999999999999998,0.8817555485785411,0.47163648635417277,-0.9985286905345758,1.0,1.0001839700742012,590069,0.8817670313428795,0.47168517307477914,0.9999999965560675,0.00752437203088086,6.503413795701898e-05,8.946817756983321e-08,0.18668199432641744,0.18667669157083272,0.8817595619455265,0.8818096573464265,0.47163891394894647,0.47166064099864996,8.94652899378084e-08
model.dec.16x16_block1.norm0,0.0077792236519434125,0.007779182334556751,0.9140636261211044,0.9140587713024279,0.914068480965566,0.40556866266657166,0.4070835360950934,0.0,1024,1024,1.0,1.0,0.9140587713024279,0.4055686626665716,1.0,1.0,1.0,1024,0.9140640402567299,0.4055698850866499,0.9999999993064792,0.00018608568372165173,1.649345690253636e-05,0.0,0.0077793759042192,0.007779329543615528,0.9140596083604625,0.9140705029963738,0.4055651779311828,0.40708051564411485,0.0
