seed,fid_A_512,fid_B_512,Q,fid_AA_1024,fid_BA_1024,H_A,source_B_worse,future_B_history_better,delayed_reversal
50,30.036015026209455,28.330469085649607,-0.05845929089339519,11.578598071369743,10.86740872008123,-0.06339011567024677,False,True,False
51,22.472313055080818,19.14083847318354,-0.1604598281586278,8.626674454487627,8.32431310939327,-0.03567856064526831,False,True,False
52,24.482876308384537,31.614274285381118,0.2556347894913418,8.824924759559256,7.865091597317183,-0.1151458943174366,True,True,True
53,31.128170848418154,27.094391274578907,-0.13878648181601028,10.734535910861254,7.951925548969259,-0.3000520922343983,False,True,False
54,25.861682374824206,22.314717688644617,-0.14751598144975153,7.753432845721833,7.636236925718501,-0.015230760281293776,False,True,False
55,25.3800444307195,26.59710624380015,0.04683920913869155,10.736453780268329,10.090459005260554,-0.062054522062757744,True,True,True
56,33.75659471241401,48.91172320795397,0.37084130903513035,10.98816185164702,8.839140016503805,-0.2176289092632624,True,True,True
57,24.83660362328176,19.18121281405996,-0.25838721685212773,10.604410488369291,8.925379988184009,-0.17237109592130695,False,True,False
59,35.19678623410236,21.1779985153892,-0.5079919413616887,7.548126818765351,7.609740229394859,0.008129606859835548,False,False,False
60,23.595269257112886,24.08276818356022,0.020450334891872757,10.23868712741847,9.692497835218667,-0.05482123396179084,True,True,True
61,17.075265140770806,33.39882826510677,0.6708898841379414,8.371350691889159,8.029263887691428,-0.04172239098607289,True,True,True
62,27.129663303497324,26.027565598088763,-0.04147152440591739,10.08371074599772,9.591641104268772,-0.05002932359034418,False,True,False
63,33.7361249399265,36.091739320572685,0.06749479157141947,10.93371795745829,10.938629349192901,0.00044909599763576225,True,False,False
64,28.45301711178597,30.979094203740413,0.08505839189092734,11.405756965264082,10.023756981364961,-0.12916025126418118,True,True,True
66,22.814171232962334,58.601124980134024,0.9433720058254251,9.0813970921017,7.921486536062167,-0.13664916338486943,True,True,True
69,30.537812031634168,24.34366054693744,-0.22669418602990854,11.41083116145779,9.907719208541808,-0.14124883486871465,False,True,False
70,50.64833977021229,28.304884323223693,-0.5818720709981711,8.77449386347513,8.40220871103511,-0.04335447523632885,False,True,False
71,26.922088888159003,16.659735665698502,-0.47995232770053775,7.863431501602717,8.567418449996609,0.08574336721080256,False,False,False
72,22.59607109200106,31.56749917898918,0.33435203864391116,10.572812014290815,8.84647701630044,-0.178266499291452,True,True,True
73,51.370838009400785,33.88180242264718,-0.4161925889873128,7.737402759680709,7.442600791998229,-0.03884571394673486,False,True,False
74,30.460351059217807,47.024009936720184,0.43423244833423835,11.211377872202661,8.047992072861224,-0.3315065157149144,True,True,True
75,25.47628373124541,24.97231810338917,-0.01998003412373306,10.40881347096809,9.654776325252303,-0.07520014751132154,False,True,False
76,17.57211631341552,20.1627960609026,0.13752578174422903,9.233767312680417,8.710650932589866,-0.05832060278517481,True,True,True
77,27.1382508698949,62.91390374567194,0.8408229806103633,10.453498403197488,8.559084088327172,-0.19994351240998043,True,True,True
78,21.827697338099796,23.869789101529467,0.08943392155390262,10.480247950879082,10.813373105697938,0.03129128060980113,True,False,False
79,33.76608052941887,24.692857214955875,-0.3129427437462402,10.596321504476466,10.558344003547738,-0.0035904648752809187,False,True,False
