kimg,nfe,pair_count,ia_fid_wins,mean_ia_fid50k,mean_ib_fid50k,mean_delta_fid50k_ia_minus_ib,sample_sd_delta_fid50k_ia_minus_ib,ia_kid_wins,mean_ia_kid50k,mean_ib_kid50k,mean_delta_kid50k_ia_minus_ib,sample_sd_delta_kid50k_ia_minus_ib
1280,1,3,3,71.08318208566841,75.53282406211997,-4.449641976451564,0.4552114605114969,3,0.05130430336586587,0.05505582897480815,-0.0037515256089422863,0.0004739458934003105
1280,2,3,3,29.350255136264675,32.288311198846735,-2.9380560625820613,0.11057453923110734,3,0.01770764279029028,0.01959736294044043,-0.0018897201501501513,8.94140000855812e-05
2560,1,3,3,65.4124405443827,70.18227801110528,-4.769837466722582,0.6230257926487661,3,0.04702441181514847,0.05087625488488489,-0.0038518430697364234,0.0005728005583840075
2560,2,3,3,28.186709979749132,31.239532943063537,-3.052822963314405,0.28126658819650074,3,0.016981975882549207,0.018925500965131813,-0.0019435250825826055,0.00020368364749248196
3840,1,3,3,28.271810663100418,31.635409242695047,-3.3635985795946297,0.3363258432469067,3,0.018101298660327,0.0204142592325659,-0.0023129605722389014,0.00032860451770485357
3840,2,3,3,8.747624124343528,9.77033061965979,-1.0227064953162621,0.08996498029901343,3,0.004815896845178497,0.005458995970970984,-0.0006430991257924866,8.813613926316454e-05
5120,1,3,3,22.148443174326196,24.534392117330714,-2.3859489430045193,0.2698984392944706,3,0.01391395441191191,0.01552906600517183,-0.0016151115932599193,0.00022640913169694874
5120,2,3,3,7.601163816652408,8.416437846626412,-0.8152740299740039,0.09603445478181001,3,0.004155601621621627,0.00463654589756422,-0.00048094427594259334,8.786835801888672e-05
6400,1,3,3,21.54759603303013,25.06065571553376,-3.513059682503632,2.410493442425379,3,0.01347984852102102,0.015815800292792802,-0.00233595177177178,0.001699964313663651
6400,2,3,3,7.516644917629675,8.59549316480611,-1.078848247176434,0.5755147952002659,3,0.004049971069402742,0.004604415156823487,-0.0005544440874207447,0.0002887809320311835
7680,1,3,2,9.351714165791071,9.60723153543362,-0.2555173696425488,0.5284337196820047,2,0.0058095216750083485,0.005924411829329327,-0.00011489015432097818,0.00032939621649288154
7680,2,3,1,4.041749219693855,3.7882393048003355,0.25350991489352026,0.5711154513141713,1,0.002239229130797456,0.002109140508008016,0.0001300886227894398,0.0002456816515542237
8960,1,1,1,8.480842104082953,8.740378806050936,-0.25953670196798306,,1,0.005446223360860904,0.0055296354079078765,-8.341204704697281e-05,
8960,2,1,1,3.8191670740605375,3.8621434605406697,-0.042976386480132245,,0,0.0023419965690690925,0.002308221629129148,3.3774939939944324e-05,
