kimg,seed,method,nfe,fid50k,kid50k
1280,101,IA,1,70.73031097763553,0.05125663686436437
1280,101,IA,2,29.678752630191788,0.018063945462962954
1280,101,IB,1,75.48348514511864,0.05536432891891893
1280,101,IB,2,32.61339094581707,0.020052735635635643
1280,102,IA,1,71.74671151430987,0.051683633821321344
1280,102,IA,2,29.263978935226127,0.01743058304554555
1280,102,IB,1,75.67294424579083,0.05489723762262263
1280,102,IB,2,32.09320895381487,0.019245594559559532
1280,103,IA,1,70.77252376505983,0.05097263941191189
1280,103,IA,2,29.108033843376106,0.017628399862362337
1280,103,IB,1,75.44204279545045,0.0549059203828829
1280,103,IB,2,32.15833369690826,0.01949375862612612
2560,101,IA,1,64.72784129450746,0.04603015238738739
2560,101,IA,2,27.958620974528664,0.016715285810810783
2560,101,IB,1,68.78009689587871,0.0492220706081081
2560,101,IB,2,30.697283736525044,0.018423617357357366
2560,102,IA,1,64.70449124647618,0.046583200983483466
2560,102,IA,2,27.874003449788553,0.016808965813313297
2560,102,IB,1,69.87748560348618,0.0507266023773774
2560,102,IB,2,31.01257335480652,0.018869918220720736
2560,103,IA,1,66.80498909216448,0.04845988207457455
2560,103,IA,2,28.72750551493018,0.01742167602352354
2560,103,IB,1,71.88925153395097,0.05268009166916918
2560,103,IB,2,32.00874173785905,0.019482967317317336
3840,101,IA,1,29.12693305710338,0.018730082412412412
3840,101,IA,2,8.911826972100911,0.004889073443443454
3840,101,IB,1,32.64323497520584,0.021242044319319326
3840,101,IB,2,9.981184898478052,0.005582174404404427
3840,102,IA,1,27.29971120843918,0.01755021902152152
3840,102,IA,2,8.547023901654686,0.004791820162662625
3840,102,IB,1,30.896193208383522,0.020043464166666677
3840,102,IB,2,9.626787706173229,0.005486683215715716
3840,103,IA,1,28.388787723758693,0.018023594547047068
3840,103,IA,2,8.784021499274987,0.004766796929429411
3840,103,IB,1,31.366799544495777,0.0199572692117117
3840,103,IB,2,9.70301925432809,0.005308130292792807
5120,101,IA,1,21.857627717038817,0.013709454396896886
5120,101,IA,2,7.578456933644711,0.004091566844344352
5120,101,IB,1,24.503179033975613,0.015542871936936925
5120,101,IB,2,8.476530038513783,0.004620845725725704
5120,102,IA,1,22.01182179265578,0.013799968618618623
5120,102,IA,2,7.546402284528146,0.004140532112112133
5120,102,IB,1,24.118637291227344,0.01518135605355355
5120,102,IB,2,8.256395235098976,0.004520051899399378
5120,103,IA,1,22.57588001328399,0.01423244022022022
5120,103,IA,2,7.6786322317843645,0.0042347059084083954
5120,103,IB,1,24.981360026789186,0.01586297002502501
5120,103,IB,2,8.516388266266475,0.004768740067567579
6400,101,IA,1,20.356795875991423,0.01268709327327328
6400,101,IA,2,7.256471516247576,0.003944825963463472
6400,101,IB,1,26.653084618864487,0.016985938243243258
6400,101,IB,2,8.998441803912328,0.0048254352652652545
6400,102,IA,1,20.0981335512807,0.012503255925925895
6400,102,IA,2,7.185630089893362,0.0038636683083083287
6400,102,IB,1,22.246142478031608,0.013844861986986994
6400,102,IB,2,7.895245721978052,0.004194974677177174
6400,103,IA,1,24.18785867181826,0.015249196363863885
6400,103,IA,2,8.107833146748087,0.0043414189364364255
6400,103,IB,1,26.282740049705186,0.01661660064814815
6400,103,IB,2,8.892791968527947,0.0047928355280280315
7680,101,IA,1,9.07052926230135,0.005805299999999975
7680,101,IA,2,3.733922431762995,0.0021588227952952957
7680,101,IB,1,9.822996284926246,0.006199620765765721
7680,101,IB,2,3.8828287447247445,0.002231094019019029
7680,102,IA,1,9.1011120539072,0.005429765382882897
7680,102,IA,2,3.7174184913870447,0.002035743345845858
7680,102,IB,1,9.414786261922956,0.0056284145420420735
7680,102,IB,2,3.715159016909645,0.0019766588388388344
7680,103,IA,1,9.883501181164666,0.006193499642142174
7680,103,IA,2,4.673906735931528,0.002523121251251214
7680,103,IB,1,9.58391205945166,0.005945200180180186
7680,103,IB,2,3.766730152766617,0.002119668666166185
8960,101,IA,1,8.218996390568591,0.00520689372872871
8960,101,IA,2,3.7947930918744586,0.0022420592792793057
8960,102,IA,1,8.480842104082953,0.005446223360860904
8960,102,IA,2,3.8191670740605375,0.0023419965690690925
8960,102,IB,1,8.740378806050936,0.0055296354079078765
8960,102,IB,2,3.8621434605406697,0.002308221629129148
