kimg,seed,nfe,ia_fid50k,ib_fid50k,delta_fid50k_ia_minus_ib,ia_kid50k,ib_kid50k,delta_kid50k_ia_minus_ib
1280,101,1,70.73031097763553,75.48348514511864,-4.75317416748311,0.05125663686436437,0.05536432891891893,-0.004107692054554558
1280,101,2,29.678752630191788,32.61339094581707,-2.9346383156252855,0.018063945462962954,0.020052735635635643,-0.0019887901726726893
1280,102,1,71.74671151430987,75.67294424579083,-3.9262327314809653,0.051683633821321344,0.05489723762262263,-0.0032136038013012846
1280,102,2,29.263978935226127,32.09320895381487,-2.8292300185887456,0.01743058304554555,0.019245594559559532,-0.0018150115140139825
1280,103,1,70.77252376505983,75.44204279545045,-4.669519030390617,0.05097263941191189,0.0549059203828829,-0.003933280970971016
1280,103,2,29.108033843376106,32.15833369690826,-3.0502998535321524,0.017628399862362337,0.01949375862612612,-0.0018653587637637824
2560,101,1,64.72784129450746,68.78009689587871,-4.052255601371257,0.04603015238738739,0.0492220706081081,-0.0031919182207207075
2560,101,2,27.958620974528664,30.697283736525044,-2.7386627619963804,0.016715285810810783,0.018423617357357366,-0.0017083315465465827
2560,102,1,64.70449124647618,69.87748560348618,-5.172994357009998,0.046583200983483466,0.0507266023773774,-0.004143401393893936
2560,102,2,27.874003449788553,31.01257335480652,-3.1385699050179667,0.016808965813313297,0.018869918220720736,-0.002060952407407439
2560,103,1,66.80498909216448,71.88925153395097,-5.084262441786493,0.04845988207457455,0.05268009166916918,-0.004220209594594626
2560,103,2,28.72750551493018,32.00874173785905,-3.281236222928868,0.01742167602352354,0.019482967317317336,-0.0020612912937937947
3840,101,1,29.12693305710338,32.64323497520584,-3.5163019181024637,0.018730082412412412,0.021242044319319326,-0.002511961906906914
3840,101,2,8.911826972100911,9.981184898478052,-1.0693579263771404,0.004889073443443454,0.005582174404404427,-0.0006931009609609734
3840,102,1,27.29971120843918,30.896193208383522,-3.5964819999443414,0.01755021902152152,0.020043464166666677,-0.002493245145145158
3840,102,2,8.547023901654686,9.626787706173229,-1.0797638045185423,0.004791820162662625,0.005486683215715716,-0.000694863053053091
3840,103,1,28.388787723758693,31.366799544495777,-2.978011820737084,0.018023594547047068,0.0199572692117117,-0.0019336746646646322
3840,103,2,8.784021499274987,9.70301925432809,-0.9189977550531037,0.004766796929429411,0.005308130292792807,-0.0005413333633633955
5120,101,1,21.857627717038817,24.503179033975613,-2.645551316936796,0.013709454396896886,0.015542871936936925,-0.0018334175400400391
5120,101,2,7.578456933644711,8.476530038513783,-0.8980731048690718,0.004091566844344352,0.004620845725725704,-0.0005292788813813518
5120,102,1,22.01182179265578,24.118637291227344,-2.1068154985715637,0.013799968618618623,0.01518135605355355,-0.001381387434934928
5120,102,2,7.546402284528146,8.256395235098976,-0.7099929505708298,0.004140532112112133,0.004520051899399378,-0.000379519787287245
5120,103,1,22.57588001328399,24.981360026789186,-2.4054800135051977,0.01423244022022022,0.01586297002502501,-0.0016305298048047909
5120,103,2,7.6786322317843645,8.516388266266475,-0.8377560344821102,0.0042347059084083954,0.004768740067567579,-0.0005340341591591833
6400,101,1,20.356795875991423,26.653084618864487,-6.296288742873063,0.01268709327327328,0.016985938243243258,-0.004298844969969977
6400,101,2,7.256471516247576,8.998441803912328,-1.7419702876647527,0.003944825963463472,0.0048254352652652545,-0.0008806093018017824
6400,102,1,20.0981335512807,22.246142478031608,-2.148008926750908,0.012503255925925895,0.013844861986986994,-0.0013416060610610993
6400,102,2,7.185630089893362,7.895245721978052,-0.7096156320846898,0.0038636683083083287,0.004194974677177174,-0.0003313063688688456
6400,103,1,24.18785867181826,26.282740049705186,-2.0948813778869244,0.015249196363863885,0.01661660064814815,-0.0013674042842842637
6400,103,2,8.107833146748087,8.892791968527947,-0.7849588217798598,0.0043414189364364255,0.0047928355280280315,-0.00045141659159160605
7680,101,1,9.07052926230135,9.822996284926246,-0.7524670226248968,0.005805299999999975,0.006199620765765721,-0.00039432076576574604
7680,101,2,3.733922431762995,3.8828287447247445,-0.1489063129617496,0.0021588227952952957,0.002231094019019029,-7.227122372373317e-05
7680,102,1,9.1011120539072,9.414786261922956,-0.3136742080157564,0.005429765382882897,0.0056284145420420735,-0.00019864915915917668
7680,102,2,3.7174184913870447,3.715159016909645,0.0022594744773996034,0.002035743345845858,0.0019766588388388344,5.908450700702365e-05
7680,103,1,9.883501181164666,9.58391205945166,0.2995891217130069,0.006193499642142174,0.005945200180180186,0.0002482994619619882
7680,103,2,4.673906735931528,3.766730152766617,0.9071765831649108,0.002523121251251214,0.002119668666166185,0.00040345258508502893
8960,102,1,8.480842104082953,8.740378806050936,-0.25953670196798306,0.005446223360860904,0.0055296354079078765,-8.341204704697281e-05
8960,102,2,3.8191670740605375,3.8621434605406697,-0.042976386480132245,0.0023419965690690925,0.002308221629129148,3.3774939939944324e-05
