checkpoint_id,identity,cohort,nfe,metric,scale,anchor_B0,B1,B2,B3,B4,B5,n_valid,mean,sd,two_sd,status
N30-S50-AA,q256 n30 seed50 AA@1024,q256_n30_companion,1,fid,log,2.449158400167379,2.434322700822644,2.421602684817626,2.4160817583291037,2.44295206476733,2.4442189867464807,5,2.431835639096637,0.012609577780916054,0.02521915556183211,COMPLETE
N30-S50-AA,q256 n30 seed50 AA@1024,q256_n30_companion,1,kid,raw,0.0071945455856621265,0.007075852622622633,0.007018023118118094,0.007006682069569552,0.007164907439939948,0.007114157104604592,5,0.0070759244709709635,6.61943823472022e-05,0.0001323887646944044,COMPLETE
N30-S50-AA,q256 n30 seed50 AA@1024,q256_n30_companion,2,fid,log,,1.1537881335593634,1.1446662841868738,1.1467580119194432,1.147043120754812,1.160557265458454,5,1.1505625631757892,0.006556019546004243,0.013112039092008487,COMPLETE
N30-S50-AA,q256 n30 seed50 AA@1024,q256_n30_companion,2,kid,raw,,0.0014263054529529517,0.0013454207307307389,0.001421750167667683,0.0014291120670670762,0.0013762477227227282,5,0.0013997672282282357,3.726712859171097e-05,7.453425718342194e-05,COMPLETE
N30-S50-BA,q256 n30 seed50 BA@1024,q256_n30_companion,1,fid,log,2.385768284497132,2.37125672304218,2.355321372268275,2.3582997793383615,2.379787820907395,2.3788058814610635,5,2.368694315403455,0.011388124884233698,0.022776249768467396,COMPLETE
N30-S50-BA,q256 n30 seed50 BA@1024,q256_n30_companion,1,kid,raw,0.006684369873255491,0.006599396841841817,0.006442522087087073,0.006519104101601624,0.006706503953953979,0.006602595337837852,5,0.006574024464464469,9.914634257927939e-05,0.00019829268515855877,COMPLETE
N30-S50-BA,q256 n30 seed50 BA@1024,q256_n30_companion,2,fid,log,,1.1308989395066569,1.106066906550739,1.1153519316226768,1.1094150034839991,1.1316460732058637,5,1.1186757708739872,0.011973175994123945,0.02394635198824789,COMPLETE
N30-S50-BA,q256 n30 seed50 BA@1024,q256_n30_companion,2,kid,raw,,0.0012816384934934786,0.0011637706406406232,0.0012722746821821603,0.001281581126126166,0.001241021899399375,5,0.0012480573683683607,4.9979402962350916e-05,9.995880592470183e-05,COMPLETE
N30-S51-AA,q256 n30 seed51 AA@1024,q256_n30_companion,1,fid,log,2.1548590837254995,2.148280772979929,2.1333995083879116,2.1276863882693475,2.1511111171902275,2.1495224969563473,5,2.1420000567567525,0.010699257718027579,0.021398515436055157,COMPLETE
N30-S51-AA,q256 n30 seed51 AA@1024,q256_n30_companion,1,kid,raw,0.00540600810199976,0.005434053966466477,0.005381218355855872,0.005373361096096069,0.00547360850350351,0.005404143338338322,5,0.0054132770520520495,4.11583298820158e-05,8.23166597640316e-05,COMPLETE
N30-S51-AA,q256 n30 seed51 AA@1024,q256_n30_companion,2,fid,log,,1.0136183756739177,1.0089999102370135,1.0145193727646813,1.0041315990189867,1.0222993331165604,5,1.0127137181622319,0.0067714094932981314,0.013542818986596263,COMPLETE
N30-S51-AA,q256 n30 seed51 AA@1024,q256_n30_companion,2,kid,raw,,0.001028954381881881,0.0010055235435435452,0.0010666882782782887,0.0010628999699699763,0.0009979216341341316,5,0.0010323975615615646,3.17368400852275e-05,6.3473680170455e-05,COMPLETE
N30-S51-BA,q256 n30 seed51 BA@1024,q256_n30_companion,1,fid,log,2.119180523080231,2.107263716580187,2.0992904131861914,2.0979275069235155,2.1142112814831586,2.109900236518788,5,2.105718630938368,0.00696458586404998,0.01392917172809996,COMPLETE
N30-S51-BA,q256 n30 seed51 BA@1024,q256_n30_companion,1,kid,raw,0.005143420305103064,0.005131109109109107,0.005086559837337336,0.00513112414664663,0.005153115593093075,0.005068954426926921,5,0.005114172622622614,3.4992516426701844e-05,6.998503285340369e-05,COMPLETE
N30-S51-BA,q256 n30 seed51 BA@1024,q256_n30_companion,2,fid,log,,0.9934597925935259,0.995855832490622,0.9995956168530716,0.9914290340742028,0.9938578463686683,5,0.9948396244760181,0.0030883690430591627,0.006176738086118325,COMPLETE
N30-S51-BA,q256 n30 seed51 BA@1024,q256_n30_companion,2,kid,raw,,0.000991163138138163,0.0009670116841841764,0.0010266283333333376,0.0010218022272272447,0.0009302920520520684,5,0.000987379486986998,4.0042276470201584e-05,8.008455294040317e-05,COMPLETE
N30-S52-AA,q256 n30 seed52 AA@1024,q256_n30_companion,1,fid,log,2.177580076954036,2.1630198584201676,2.1518793635243663,2.149041323235023,2.1632266438161722,2.160933019521363,5,2.1576200417034186,0.006673035785211356,0.013346071570422712,COMPLETE
N30-S52-AA,q256 n30 seed52 AA@1024,q256_n30_companion,1,kid,raw,0.005562820006161928,0.005519669469469468,0.005401404534534518,0.005546443305805792,0.005561710050050074,0.005476692449949951,5,0.00550118396196196,6.443853239835848e-05,0.00012887706479671696,COMPLETE
N30-S52-AA,q256 n30 seed52 AA@1024,q256_n30_companion,2,fid,log,,1.0271570130008472,1.0228760936841477,1.0194039574113745,1.0187776249919327,1.0264109768888705,5,1.0229251331954345,0.0038620856093748088,0.0077241712187496175,COMPLETE
N30-S52-AA,q256 n30 seed52 AA@1024,q256_n30_companion,2,kid,raw,,0.0009988780780780643,0.0009532338413413935,0.0010051482707707964,0.001030574997497456,0.0009595925100100021,5,0.0009894855395395424,3.2517930906650966e-05,6.503586181330193e-05,COMPLETE
N30-S52-BA,q256 n30 seed52 BA@1024,q256_n30_companion,1,fid,log,2.0624341826365993,2.0338718449801356,2.0350610483607996,2.0268096430038107,2.04520529094004,2.0398048427879067,5,2.0361505340145385,0.006873395143059639,0.013746790286119278,COMPLETE
N30-S52-BA,q256 n30 seed52 BA@1024,q256_n30_companion,1,kid,raw,0.004685786087065935,0.004608427082082089,0.004552337662662649,0.004592944161661672,0.004671636036036016,0.004578859269269237,5,0.004600840842342332,4.4630751850868095e-05,8.926150370173619e-05,COMPLETE
N30-S52-BA,q256 n30 seed52 BA@1024,q256_n30_companion,2,fid,log,,1.0197753181441847,1.0348991191814016,1.0216703338997533,1.0371069209538726,1.035543307311943,5,1.029798999898231,0.008351098750201921,0.016702197500403842,COMPLETE
N30-S52-BA,q256 n30 seed52 BA@1024,q256_n30_companion,2,kid,raw,,0.0009702270345345414,0.000970658413413421,0.0009760373148148256,0.001037106789289278,0.0009619228453453252,5,0.0009831904794794781,3.055958145416326e-05,6.111916290832653e-05,COMPLETE
