contrast_id,lhs,rhs,nfe,metric,scale,anchor_B0,B1,B2,B3,B4,B5,n_valid,mean,sd,two_sd,status,same_anchor_sign_k,anchor_abs_over_two_sd
N30_S50_BA_MINUS_AA,N30-S50-BA,N30-S50-AA,1,fid,log,-0.06339011567024677,-0.06306597778046363,-0.06628131254935132,-0.05778197899074211,-0.06316424385993535,-0.06541310528541722,5,-0.06314132369318193,0.003307162666087963,0.006614325332175926,COMPLETE,5,9.583761379543938
N30_S50_BA_MINUS_AA,N30-S50-BA,N30-S50-AA,1,kid,raw,-0.0005101757124066353,-0.00047645578078081563,-0.0005755010310310215,-0.0004875779679679275,-0.00045840348598596894,-0.0005115617667667402,5,-0.0005019000065064948,4.542834228336557e-05,9.085668456673114e-05,COMPLETE,5,5.615169812100381
N30_S50_BA_MINUS_AA,N30-S50-BA,N30-S50-AA,2,fid,log,,-0.022889194052706507,-0.03859937763613486,-0.03140608029676639,-0.03762811727081283,-0.0289111922525902,5,-0.03188679230180216,0.006481968609289709,0.012963937218579418,COMPLETE,,
N30_S50_BA_MINUS_AA,N30-S50-BA,N30-S50-AA,2,kid,raw,,-0.00014466695945947313,-0.0001816500900901157,-0.0001494754854855227,-0.00014753094094091014,-0.00013522582332335317,5,-0.00015170985985987496,1.76082302134771e-05,3.52164604269542e-05,COMPLETE,,
N30_S51_BA_MINUS_AA,N30-S51-BA,N30-S51-AA,1,fid,log,-0.03567856064526831,-0.04101705639974229,-0.03410909520172023,-0.029758881345832044,-0.036899835707068895,-0.03962226043755912,5,-0.03628142581838452,0.004506451221601954,0.009012902443203907,COMPLETE,5,3.9586094346523617
N30_S51_BA_MINUS_AA,N30-S51-BA,N30-S51-AA,1,kid,raw,-0.0002625877968966961,-0.00030294485735736943,-0.000294658518518536,-0.00024223694944943905,-0.0003204929104104349,-0.0003351889114114005,5,-0.000299104429429436,3.545413321586757e-05,7.090826643173515e-05,COMPLETE,5,3.7032042963494924
N30_S51_BA_MINUS_AA,N30-S51-BA,N30-S51-AA,2,fid,log,,-0.020158583080391757,-0.01314407774639148,-0.01492375591160966,-0.012702564944783945,-0.028441486747892153,5,-0.017874093686213798,0.006608913322377283,0.013217826644754566,COMPLETE,,
N30_S51_BA_MINUS_AA,N30-S51-BA,N30-S51-AA,2,kid,raw,,-3.7791243743718044e-05,-3.851185935936879e-05,-4.005994494495112e-05,-4.109774274273161e-05,-6.762958208206325e-05,5,-4.501807457456656e-05,1.270620166632737e-05,2.541240333265474e-05,COMPLETE,,
N30_S52_BA_MINUS_AA,N30-S52-BA,N30-S52-AA,1,fid,log,-0.1151458943174366,-0.12914801344003202,-0.11681831516356667,-0.12223168023121245,-0.11802135287613202,-0.12112817673345644,5,-0.12146950768887992,0.004826495309644932,0.009652990619289864,COMPLETE,5,11.92852027508833
N30_S52_BA_MINUS_AA,N30-S52-BA,N30-S52-AA,1,kid,raw,-0.000877033919095993,-0.0009112423873873787,-0.0008490668718718689,-0.0009534991441441203,-0.0008900740140140584,-0.0008978331806807132,5,-0.0009003431196196279,3.770067932951126e-05,7.540135865902252e-05,COMPLETE,5,11.631539997337267
N30_S52_BA_MINUS_AA,N30-S52-BA,N30-S52-AA,2,fid,log,,-0.007381694856662513,0.01202302549725398,0.0022663764883787962,0.018329295961939884,0.009132330423072599,5,0.006873866702796549,0.009839859699572207,0.019679719399144414,COMPLETE,,
N30_S52_BA_MINUS_AA,N30-S52-BA,N30-S52-AA,2,kid,raw,,-2.8651043543522934e-05,1.7424572072027487e-05,-2.9110955955970793e-05,6.5317917918219365e-06,2.330335335323135e-06,5,-6.2950600600642335e-06,2.134186979674161e-05,4.268373959348322e-05,COMPLETE,,
