seed,arm,block,status,FID,KID,source,source_sha256,reused
50,AA,B1,PASS,11.14520669184513,0.00681688729673624,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
50,AA,B2,PASS,10.952334823335883,0.006702453829348087,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
51,AA,B0,PASS,8.432146984371972,0.0052322582341730595,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
51,AA,B1,PASS,8.38257980675596,0.0052647218108177185,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
51,AA,B2,PASS,8.250347872197572,0.005192367825657129,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
52,AA,B0,PASS,8.461957566407218,0.005253581330180168,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
52,AA,B1,PASS,8.335593800694177,0.005211887415498495,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
52,AA,B2,PASS,8.24748600460166,0.005095480941236019,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
53,AA,B0,PASS,10.364839839105326,0.0068229688331484795,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
53,AA,B1,PASS,10.167642952437406,0.006606284063309431,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
53,AA,B2,PASS,10.085418322856283,0.006527517456561327,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
54,AA,B0,PASS,7.538446869264945,0.0045820437371730804,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
54,AA,B1,PASS,7.428695265803493,0.004493745509535074,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
54,AA,B2,PASS,7.372709464347976,0.00447107432410121,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
55,AA,B0,PASS,10.386523244030014,0.006487114354968071,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
55,AA,B1,PASS,10.214219724504263,0.006284499540925026,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
55,AA,B2,PASS,10.062482400613982,0.006215876433998346,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
56,AA,B0,PASS,10.810300562393055,0.00674699991941452,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
56,AA,B1,PASS,10.65906213563684,0.0066797141917049885,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
56,AA,B2,PASS,10.464364853261863,0.006531005725264549,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
57,AA,B0,PASS,10.42297198405557,0.00643982645124197,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
57,AA,B1,PASS,10.212386416626895,0.0063086869195103645,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
57,AA,B2,PASS,10.129747125888821,0.006215349305421114,analysis/q256_startup_step_responder_pilot_v1/results/old_control_bindings.json,0a58daeec8f215d4e356e7c4087ab585f0f157f5b78c63fa441331efd7396184,True
50,A_startup_down5,B0,PASS,9.32671580787395,0.005565993953496218,analysis/q256_startup_step_responder_pilot_v1/results/evaluation_slots.json,bced8489990682a30d2ed53c87100ca11f7b0176aeda56d684fac41203c5cb28,True
50,A_startup_down5,B1,PASS,9.278788238480185,0.0055953883565962315,analysis/q256_startup_step_responder_pilot_v1/results/evaluation_slots.json,bced8489990682a30d2ed53c87100ca11f7b0176aeda56d684fac41203c5cb28,True
50,A_startup_down5,B2,PASS,9.11432777009976,0.005449103657156229,analysis/q256_startup_step_responder_pilot_v1/results/evaluation_slots.json,bced8489990682a30d2ed53c87100ca11f7b0176aeda56d684fac41203c5cb28,True
51,A_startup_down5,B0,PASS,7.633499613556951,0.0045594703406095505,analysis/q256_startup_step_responder_pilot_v1/results/evaluation_slots.json,bced8489990682a30d2ed53c87100ca11f7b0176aeda56d684fac41203c5cb28,True
51,A_startup_down5,B1,PASS,7.520434007452333,0.004498359281569719,analysis/q256_startup_step_responder_pilot_v1/results/evaluation_slots.json,bced8489990682a30d2ed53c87100ca11f7b0176aeda56d684fac41203c5cb28,True
51,A_startup_down5,B2,PASS,7.416097721901316,0.0043940916657447815,analysis/q256_startup_step_responder_pilot_v1/results/evaluation_slots.json,bced8489990682a30d2ed53c87100ca11f7b0176aeda56d684fac41203c5cb28,True
52,A_startup_down5,B0,PASS,7.64553271801282,0.004593850113451481,analysis/q256_startup_step_responder_pilot_v1/results/evaluation_slots.json,bced8489990682a30d2ed53c87100ca11f7b0176aeda56d684fac41203c5cb28,True
