training_seed,metric,blocks,delta_ctrl_mean,delta_ctrl_sample_sd,delta_ctrl_sign,sign_consistency
3,fid5k_full,3,90.494417313,0.467031686,positive,3/3
3,kid5k_full,3,0.101760170,0.000213243,positive,3/3
4,fid5k_full,3,4.945933983,0.152574702,positive,3/3
4,kid5k_full,3,0.003913724,0.000234410,positive,3/3
5,fid5k_full,3,-14.516957145,0.272780941,negative,3/3
5,kid5k_full,3,-0.017868804,0.000289279,negative,3/3
