seed,candidate,reference,successful_step,candidate_attempt,reference_attempt,also_same_attempt,same_state_local_test,candidate_norm,reference_norm,absolute_l2_error,norm_ratio,cosine,relative_l2_error
50,D_compensate,A,1,9,9,True,True,0.3711344790093152,0.37114090855308063,8.598690631035485e-05,0.9999826762730346,0.9999999733111705,0.00023168264216839082
50,D_compensate,A,5,14,14,True,False,0.3510792339791433,0.35658537684348174,0.07956554138550162,0.9845586969575726,0.974836760882218,0.22313181233011087
50,D_compensate,A,6,15,15,True,False,0.008585110464483707,0.008575460668876572,0.0021344859486192255,1.0011252801429265,0.9690582850220623,0.24890627233193918
50,A_mimic,D,1,9,9,True,True,0.33740080511510273,0.3373949883707565,7.912442756990911e-05,1.0000172401622631,0.9999999726502719,0.00023451571688125043
50,A_mimic,D,5,14,14,True,False,0.3331687413122489,0.3333120659127057,0.010397399496198369,0.9995699987635781,0.9995133444822216,0.031194188748394854
50,A_mimic,D,6,15,15,True,False,0.009170416214932961,0.009113655898342454,0.0009516424560112496,1.0062280513137247,0.9946013123501147,0.10441939728976705
50,D,A,1,9,9,True,True,0.3373949883707565,0.37114090855308063,0.033746286039649076,0.9090751803300664,0.9999999014043102,0.09092580543387518
50,D,A,5,14,14,True,False,0.3333120659127057,0.35658537684348174,0.13879133854984352,0.9347328509744484,0.9212422140091663,0.389223304046941
50,D,A,6,15,15,True,False,0.009113655898342454,0.008575460668876572,0.004497308375161311,1.0627599204575895,0.8724557916475478,0.5244392749049225
51,D_compensate,A,1,9,9,True,True,0.4102027099419407,0.4102157549594375,8.003256949533191e-05,0.9999681996185199,0.9999999814732872,0.00019509872189878613
51,D_compensate,A,5,13,14,False,False,0.29256342207536745,0.4647994160885216,0.5727519639237376,0.6294401669808648,-0.0971183871129123,1.2322562036408762
51,D_compensate,A,6,15,15,True,False,0.009119801482819526,0.008888922203041346,0.00869698935468523,1.0259738216292615,0.5338054238822353,0.9784076354847108
51,A_mimic,D,1,9,9,True,True,0.3729234113488388,0.3729116000859192,7.361313932568947e-05,1.0000316730906649,0.9999999810186067,0.0001974010443996082
51,A_mimic,D,5,14,14,True,False,0.2973217406880909,0.21587877487553359,0.10359260993338447,1.3772624977120325,0.9680732007564677,0.47986472960628723
51,A_mimic,D,6,15,15,True,False,0.009052423430638184,0.009209991424797488,0.004440088583885501,0.9828916242272431,0.8819184877003128,0.4820947576488249
51,D,A,1,9,9,True,True,0.3729116000859192,0.4102157549594375,0.03730447311265372,0.9090621107977509,0.9999999223941584,0.09093866498701986
51,D,A,5,14,14,True,False,0.21587877487553359,0.4647994160885216,0.2806282581033071,0.4644557789943936,0.9163310810624677,0.6037620710992054
51,D,A,6,15,15,True,False,0.009209991424797488,0.008888922203041346,0.006124996362412586,1.0361201520749375,0.771504135102469,0.6890595082851458
