arm,gap,learning_rate,nfe,fid5k_full,kid5k_full
A,1.0,0.0001,1,317.1391203837088,0.3249254822731018
B,1.3,0.0001,1,208.127989384372,0.20330259203910828
C,1.3,0.00012963523762588692,1,299.3791608582061,0.30522552132606506
