seed,arm,budget_kimg,state_sha256,state_hash_verified,snapshot_sha256,snapshot_hash_verified,ema_canonical_sha256,rng_unchanged_during_export,receipt_status
3,Bsame,768,0741a4cd74025f2912ec48128e8bf31b7bf73da151faa8ba02f0189b5538b483,True,8faf5cb462a5a307bf7a25e648926965ff4f85540455f57157452419bc947104,True,57be63dff4ed3e28a8a0a2faa2f6aa9aec63bb513d9a1d014dc464b5bdfbaa1a,True,PASS
3,Bsame,896,ad7402d7cdec46d07657657de6730bceba2e2d8303371e3cb3101778d75fed0d,True,e23c6f3a7fd5461765ebc4c0b08714aa27912065b3331dbaf1e718bd499f16ec,True,0e887cd5dd839c8302169b1ea8bef30c6d10e13dce85019288bea190b7eadda0,True,PASS
3,Bsame,1024,4135c6d13f7c4cfbc79dec946cab1c1a05732e02da35df0604fb0d0d09e20244,True,ba3c97cbf9d271c609cccd033773d64f52cc2162cef0053f5756ab8b2f563174,True,f6d58097a68e1381dde8c9cac72893fc0d3a1a4ba52e4738bda67fa09e57c4b6,True,PASS
3,Cmatch,256,25eb880368e71b20313289c7a1dff5dd81af561aa37b2f53333af25130f76c09,True,620cded402ec93e6888661d9c4a6314dc829ea3138a31489f1f57f421d420c91,True,1c828c6bd544d64e9e341b935a16748f2473cb1b108d2cd6e97683558f6db5a8,True,PASS
3,Cmatch,384,2346db11715c28c8f846e70310c8e386d3b3b7f115f83052bc8404c7cdc69379,True,e85d9feaa6e2f69ff85d6fa1c6ba5e03758c2fb5f1fd6e3b2c1fda8b9fc35e53,True,715c74a1152645d6d91f5914682c7c741ccc9b698c2f9ef6908a67623705a92b,True,PASS
3,Cmatch,512,7243f3de16607bc5195c4db565675f08a8d0d2dada2cf52a8ef083c4af541e57,True,7a54c02d42a8ea2f74fa767dbf611dbdb96fa44442f18e67a2c68d9e084d3bff,True,df779c51ebb8582c77c81540f2d03d83f4165e81c0d8bc16e42fefe4984982f6,True,PASS
3,Cmatch,640,c743a4c7e664c0ab25fbe852b866300150875532d68f2fa3ccba577603a2ccf0,True,81d20b2d1b839000275b5327ccd3328a357d851ef71d2332179a1c4f2201a08b,True,4f5906f504f7fe515c78f82ed2f5ba26c3a23f6327788fed1f8618b437f659a4,True,PASS
3,Cmatch,768,b6bab4fcc6a0bb0954079ebed47f64f5a5081add79c5616114a2fded62ab8e85,True,724a04a348899880dfc348cce00ddeb9b8f98923427493d98a1585632c63db2a,True,eb66e9e652dfce53958b9e40247994edf6dc0644e46caa76edbd6d989fdb78d2,True,PASS
3,Cmatch,896,668f68a1a9c1dde3e03372cbf2f084b59b3e970317e4cfbc9a9587fa14d208f3,True,509760ef0e792beff6285af659f62747b55f58eca93176a85b620c3ee4041903,True,8059bcbd6d4e05585d0ec4e0ce2c2b35bf3bb5213b532ebc40220ac01fa58fb3,True,PASS
3,Cmatch,1024,5cbd98e4187b164a5ff9dac5f4e2f21b5a71ae9fde54b9ece9f929a5bffc6bd2,True,57f75aa146c52036b23c96eaf1dcdbe60f75e2545eaf003375dadeb30469a9a8,True,18f4b780ebd765d8392bc665216f707dc9e4e33788194ab4d2ac8699eb992e1a,True,PASS
3,Dmatch,256,5d842616a7c602986b1bbbc0c9570fb855e33d218cc94c05bb4ee8f2cf5e650f,True,aaac7ff5ec2aad51f8d59fcb2d9a950f87b7ce5d305845afe525db879df68599,True,6a78f2f6c3118290e08c33629b13c466db11d62355099c2aa58fd5c7140ff8b4,True,PASS
3,Dmatch,384,3454e06fe5df0295561073ca21a49f97c076705b84fb14786482b8bfbd430bbf,True,c191a89dbca129b4856d1f298bfefe3a9ef0e8bea8ae61d02d4f5d7976429463,True,4353d553961efa2f9c18b52fc93b2042f54adcd6ad2f762b41a569aec27934a4,True,PASS
3,Dmatch,512,b5e6ffb850eb5fcfdf36bb2f574f0dbfde3fc5509450ddc6f37860232a9b653a,True,6c3e662517339238f5f91e63778fbd28ae2fa38c5241c4c6274730792b38bb04,True,3085b6e40fcae08003804cd0be47fd716e6943255525c19efe49897f45c7420d,True,PASS
3,Dmatch,640,96a9b79e2a10c34869f21fda29c9a590fe747b0f8af9b74077068f4a4f71a773,True,ee9abd6d3a5bfa9ae303411dbc3613c7b79d0ecc5113ab1fe8aaf2bfdffcd525,True,be2c405aa93a98e6f75f6cfa43e5d13dec2182f492710e4508d43d1abdb805bc,True,PASS
3,Dmatch,768,15670adb3d09336262dba8ea8cb2c4be559b66799ba6c813c0b64f91f20de9e7,True,3d1675ccbb3676d4cfb22fb2fc1af32a04f5b5fde6a527d2b6a4054e4ee5de29,True,1cea9879c0ed4f7d897141747da268cffa3629e07dc649aee96b93b08fc2b56c,True,PASS
3,Dmatch,896,113844478284cdb79f50d6308028ab35bbb969f09d4e57ff1c193a914a563cc7,True,2e943bccf1d11ca8390b0e61c78584d5954879774cc0a3a4104ac862cfe794ab,True,c84e9002877f1451a7635033a5566cac47a835809902cfd55be6ed634829bdf4,True,PASS
3,Dmatch,1024,269c1de502a8d33ab10f7ca629e779abfd10fd8dc0e7847fec22f89ef37c4fca,True,52fd493445242f5409227bbb59c6a00b6fe91afabd798cb036f66acda94601c8,True,215267f93989064cc33b3fb852a3d0075ddf750b1a2f913a19f21b90ba27ad52,True,PASS
4,A,256,a2622a7ad582912e960dfa1e000246fb349325958cf030d485a6b0a7a462a83b,True,e0cb8dd404c44574c27ba04572e2e8a8ad58ac73786fefdf85e30331111d4765,True,9d51c8238d7f42b715256c0349e0f3b153dfe56af6ecd2defce6c8aeebaab336,True,PASS
4,A,384,93033e3d4a199acf4551e073c57aba55f3f53a2ad4d927b1c96d1b7029013bc5,True,b86bbcfa85c406f2b6a879afdebdeae24a9fd26a0080291bbcfa3a663e9d4df0,True,36a4d5609555ffff930f7cb6fde83f28b0dfff7733b5a13ec4d55de22f209acf,True,PASS
4,A,512,74d067e75cbbc429e0f53181ac7def8c98984bfef71fe6ea682e3e10f000b52f,True,ba303ef6e8bda9696e47c12105bb59b6ae4720fb8a3fd3f1510df269e83f2754,True,db1195861ad6672ba116c72f715172f239019ff49e9c2311ae70df80d2687491,True,PASS
4,A,640,27fbaf1ba3c2ccad82bfdf4a8ea0a7e22afdf3831687b38db6db15df075626b3,True,6560f0cc80178a0f16418ed1436d5b9fc89e39a8029f35cf24d671737ecdfbf4,True,2f01c54b45760d15a296fe29e61e467f5749045f92abb109b7fab77cec6d68e6,True,PASS
