training_seed,a_s_seed,heldout_batch_count,median_R_opt_G,median_R_opt_T,median_R_opt_T_exact,suppression,median_update_norm_ratio_T,all_outputs_finite,no_branch_skipped,amp_check_pass,source_preserved,deterministic_rerun_pass,branch_order_pass,source_checkpoint_unchanged,positive_suppression_pass,exact_residual_pass,norm_ratio_pass,seed_gate_pass
3,0.8370121196598016,4,0.08302803446060611,0.08725688495820916,2.7978676718216554e-05,-0.05093280269821987,1.0123058479690594,true,true,true,true,true,true,true,false,true,true,false
4,0.8073491626309143,4,0.09143990170885782,0.10880718291755766,3.985941326622518e-05,-0.1899311010197362,1.0248249657078135,true,true,true,true,true,true,true,false,true,true,false
5,0.8233457134218897,4,0.07300412304151258,0.08995829986922899,5.650710222066433e-05,-0.23223588095258263,1.0212817589529748,true,true,true,true,true,true,true,false,true,true,false
