g,nA,nH,trA,trH,rho_mean_A_fixed,rho_mean_H_fixed,rho_second_moment_T
0.5,337.794003853438,1.3181732161514914,337.79462386308205,1.3181885050247775,0.9999999499306785,0.9999999998867343,0.9999998998615837
0.55,371.53708290952153,1.594677781503676,371.53776690671026,1.594696281059124,0.9999999449237323,0.9999999998629483,0.999999889847932
0.6,405.2735580876968,1.8974273081030504,405.2743064334853,1.8974493241252677,0.9999999399167835,0.9999999998368969,1.0000941095544593
0.65,439.00342938800185,2.2264063531894425,439.0042424434097,2.226432191463968,0.9999999349098321,0.9999999998085802,1.0006517722194832
0.7,472.7266968104724,2.5815994770261055,472.7275749364839,2.5816294433394136,0.9999999299028781,0.9999999997779982,1.0012937912607858
0.75,506.443360355142,2.9629912428991405,506.4443039127059,2.963025643038638,0.9999999248959217,0.9999999997451507,1.0020201170126728
0.8,540.1534200220473,3.3705662171181068,540.154429372077,3.370605356872135,0.9999999198889626,0.9999999997100378,1.0028306998400596
0.85,573.8568758112247,3.804308969015619,573.857951314598,3.8043531541734543,0.999999914882001,0.9999999996726596,1.0037254901284234
0.9,607.5537277227072,4.264204070947233,607.5548697402668,4.264253607299087,0.9999999098750368,0.9999999996330159,1.0047044382793051
0.95,641.2439757565317,4.750236098292249,641.2451846490843,4.750291291629267,0.99999990486807,0.9999999995911067,1.0057674947078803
1.0,674.927619912736,5.262389629452492,674.9288960410532,5.262450785566756,0.9999998998611007,0.9999999995469323,1.00691460984157
1.05,708.6046601913496,5.800649245853343,708.6060039161673,5.800716670537871,0.9999998948541287,0.9999999995004923,1.0081457341192017
1.1,742.275096592413,6.3649995319431305,742.2765082744318,6.365073530991879,0.9999998898471543,0.999999999451787,1.0094608179904867
1.15,775.9389291159599,6.955425075193647,775.9404091158447,6.955505954401506,0.9999998848401772,0.9999999994008162,1.0108598119156713
1.2,809.5961577620276,7.57191046609968,809.5977064404077,7.571998531262478,0.9999998798331976,0.9999999993475799,1.01234266636532
1.25,843.2467825306509,8.214440298178975,843.2484002481202,8.214535855093477,0.9999998748262153,0.9999999992920781,1.0139093318201502
1.3,876.890803421861,8.882999167972615,876.8924905389777,8.883102522436529,0.9999998698192306,0.9999999992343109,1.015559758770927
1.35,910.5282204357013,9.577571675045247,910.529977312988,9.577683132857214,0.9999998648122432,0.9999999991742782,1.0172938977183832
1.4,944.159033572204,10.298142421984249,944.1608605701477,10.298262288943848,0.9999998598052533,0.9999999991119801,1.0191116991731624
1.45,977.7832428314013,11.044696014399369,977.7851403104535,11.044824596307123,0.9999998547982607,0.9999999990474164,1.021013113655776
1.5,1011.4008482133344,11.81721706092569,1011.402816533911,11.817354663583057,0.9999998497912657,0.9999999989805873,1.0229980916965749
