control,eta_scale,g,K,noise,error
fixed_lr,0.05,0.5,50,0.0,0.00012748763485925934
fixed_lr,0.05,0.5,50,0.01,0.0001281988479441562
fixed_lr,0.05,0.5,50,0.05,0.00014526796198168222
fixed_lr,0.05,0.5,200,0.0,9.943947935717386e-05
fixed_lr,0.05,0.5,200,0.01,0.00010160528065777054
fixed_lr,0.05,0.5,200,0.05,0.00015358451187209155
fixed_lr,0.05,0.5,1000,0.0,9.876225378227848e-05
fixed_lr,0.05,0.5,1000,0.01,0.00010815125007356779
fixed_lr,0.05,0.5,1000,0.05,0.00033348716106451143
fixed_lr,0.05,0.55,50,0.0,0.0001207755912891037
fixed_lr,0.05,0.55,50,0.01,0.00012146194130733471
fixed_lr,0.05,0.55,50,0.05,0.00013793434174487845
fixed_lr,0.05,0.55,200,0.0,9.900929341551027e-05
fixed_lr,0.05,0.55,200,0.01,0.0001011142722243927
fixed_lr,0.05,0.55,200,0.05,0.00015163376363757107
fixed_lr,0.05,0.55,1000,0.0,9.875611030100822e-05
fixed_lr,0.05,0.55,1000,0.01,0.00010808234404520084
fixed_lr,0.05,0.55,1000,0.05,0.0003319119539058239
fixed_lr,0.05,0.6,50,0.0,0.00011519916946960264
fixed_lr,0.05,0.6,50,0.01,0.00011586223330026444
fixed_lr,0.05,0.6,50,0.05,0.00013177576523614633
fixed_lr,0.05,0.6,200,0.0,9.88524063081749e-05
fixed_lr,0.05,0.6,200,0.01,0.00010091033654015906
fixed_lr,0.05,0.6,200,0.05,0.00015030066210777824
fixed_lr,0.05,0.6,1000,0.0,9.874939336591521e-05
fixed_lr,0.05,0.6,1000,0.01,0.00010802779538054286
fixed_lr,0.05,0.6,1000,0.05,0.0003307094437316065
fixed_lr,0.05,0.65,50,0.0,0.0001107187150588737
fixed_lr,0.05,0.65,50,0.01,0.00011136032986260025
fixed_lr,0.05,0.65,50,0.05,0.00012675908515203738
fixed_lr,0.05,0.65,200,0.0,9.880043916472084e-05
fixed_lr,0.05,0.65,200,0.01,0.00010082149686360124
fixed_lr,0.05,0.65,200,0.05,0.00014932688163673115
fixed_lr,0.05,0.65,1000,0.0,9.874210309116436e-05
fixed_lr,0.05,0.65,1000,0.01,0.00010798318519687025
fixed_lr,0.05,0.65,1000,0.05,0.0003297691557338113
fixed_lr,0.05,0.7,50,0.0,0.00010723398865181994
fixed_lr,0.05,0.7,50,0.01,0.00010785612240469766
fixed_lr,0.05,0.7,50,0.05,0.0001227873324737638
fixed_lr,0.05,0.7,200,0.0,9.87841380907436e-05
fixed_lr,0.05,0.7,200,0.01,0.0001007758600784505
fixed_lr,0.05,0.7,200,0.05,0.00014857718778341685
fixed_lr,0.05,0.7,1000,0.0,9.873423960195734e-05
fixed_lr,0.05,0.7,1000,0.01,0.00010794561387735906
fixed_lr,0.05,0.7,1000,0.05,0.000329018596487001
fixed_lr,0.05,0.75,50,0.0,0.00010460860540172681
fixed_lr,0.05,0.75,50,0.01,0.0001052132495104868
fixed_lr,0.05,0.75,50,0.05,0.00011972470812072683
fixed_lr,0.05,0.75,200,0.0,9.877855414940815e-05
fixed_lr,0.05,0.75,200,0.01,0.00010074658551086107
fixed_lr,0.05,0.75,200,0.05,0.00014797933818573212
fixed_lr,0.05,0.75,1000,0.0,9.872580303350138e-05
fixed_lr,0.05,0.75,1000,0.01,0.00010791311478302921
fixed_lr,0.05,0.75,1000,0.05,0.0003284085967716974
fixed_lr,0.05,0.8,50,0.0,0.00010269168654105634
fixed_lr,0.05,0.8,50,0.01,0.00010328077333805208
fixed_lr,0.05,0.8,50,0.05,0.00011741885646595072
fixed_lr,0.05,0.8,200,0.0,9.877577327135728e-05
fixed_lr,0.05,0.8,200,0.01,0.00010072440649819141
fixed_lr,0.05,0.8,200,0.05,0.0001474916039422106
fixed_lr,0.05,0.8,1000,0.0,9.871679353097855e-05
fixed_lr,0.05,0.8,1000,0.01,0.00010788431591572294
fixed_lr,0.05,0.8,1000,0.05,0.00032790485314958934
