coef,a00,a01,a11
H2,0.00025385095196834494,0.03190554478676095,5.282813480903817
H3,-1.9474940675512717e-15,-6.24210428344727e-05,-0.020636700738585246
H4,-2.6442804841465444e-16,1.4412570529392932e-15,2.015444942801703e-05
