g,lambda_min,lambda_max,cond,eta,eta_lambda_max,spectral_radius,stable,stability_margin,asym_min,asym_max,asym_norm2
0.5,1.528896195125576e-05,1.3181732160628263,86217.3128735243,0.1900277384385866,0.25048947511873726,0.9999970946731374,True,1.7495105248812628,-2.362393059949861e-08,0.0025770919100871724,7.80263035344035e-06
0.55,1.84996627544455e-05,1.5946777813963697,86200.37038313932,0.1900277384385866,0.30303301233701496,0.9999964845509249,True,1.696966987662985,-3.1446525740320336e-08,0.0034297740157762605,1.0385301000480921e-05
0.6,2.20161499456933e-05,1.897427307975322,86183.42955765018,0.1900277384385866,0.36056382018616606,0.9999958163208167,True,1.639436179813834,-4.083013492501044e-08,0.004452344156415596,1.348294525090978e-05
0.65,2.5838424459175103e-05,2.2264063530395095,86166.49039716982,0.1900277384385866,0.42307896411339946,0.9999950899826352,True,1.5769210358866006,-5.191700125088009e-08,0.0056602104669762725,1.7142378886672985e-05
0.7,2.9966487229466832e-05,2.581599476852185,86149.55290167045,0.1900277384385866,0.4905755101404591,0.9999943055362028,True,1.509424489859541,-6.484942346006021e-08,0.0070687750361718175,2.141041769010144e-05
0.75,3.440033919152114e-05,2.9629912426994593,86132.61707110626,0.1900277384385866,0.5630505248635156,0.999993462981342,True,1.4369494751364844,-7.976975596148494e-08,0.008693433906441336,2.63338774430224e-05
0.8,3.913998128064075e-05,3.3705662168908557,86115.68290549978,0.1900277384385866,0.640501075453272,0.9999925623178747,True,1.359498924546728,-9.682040886655016e-08,0.01054957707370158,3.1959573927775866e-05
0.85,4.4185414432480465e-05,3.8043089687590665,86098.75040489694,0.1900277384385866,0.7229242296549171,0.9999916035456234,True,1.2770757703450828,-1.1614384800693917e-07,0.012652588488056515,3.833432292673479e-05
0.9,4.953663958306092e-05,4.264204070659505,86081.8195693204,0.1900277384385866,0.8103170557880408,0.9999905866644102,True,1.1896829442119592,-1.3788259497086755e-07,0.01501784605257122,4.550494022193106e-05
0.95,5.519365766880425e-05,4.75023609797166,86064.8903987481,0.1900277384385866,0.902676622746891,0.999989511674057,True,1.097323377253109,-1.6217922711158075e-07,0.01766072162499687,5.35182415945701e-05
1.0,6.115646962647433e-05,5.262389629097131,86047.96289318618,0.1900277384385866,1.0000000000000004,0.9999883785743859,True,0.9999999999999996,-1.8917637760758877e-07,0.020596581016317943,6.242104282826631e-05
1.05,6.742507639328102e-05,5.800649245461536,86031.0370525524,0.1900277384385866,1.1022842575905496,0.999987187365219,True,0.8977157424094504,-2.1901673545462656e-07,0.023840783990966403,7.226015970353501e-05
