batch_index,gap,loss_mean,grad_l2,grad_l2_sq,grad_linf,dot_to_g1,t_mean,t_min,t_max,gap_mean,scalar_fit_to_g1,direction_residual_to_g1
0,1.0,17.212383270263672,481.00275809604824,231363.6532960055,46.28125,231363.6532960055,2.059788227081299,0.005698203109204769,73.88157653808594,0.030100401490926743,1.0,0.0
0,0.9,17.268138885498047,532.8591577524747,283938.8820006768,51.15625,256293.41388114137,2.059788227081299,0.005698203109204769,73.88157653808594,0.027090363204479218,1.109149819671605,0.010269174641667475
0,1.2,17.14337158203125,398.60793050655013,158888.2822627147,38.3125,191713.32280874104,2.059788227081299,0.005698203109204769,73.88157653808594,0.03612048178911209,0.8252568972250803,0.014361405599195487
0,1.3,17.126636505126953,364.5085298368203,132866.4683238001,35.90625,175303.63998500505,2.059788227081299,0.005698203109204769,73.88157653808594,0.039130520075559616,0.7553912042256966,0.017477445500836877
1,1.0,14.687748908996582,535.6029010210636,286870.4675821793,44.40625,286870.4675821793,2.2652428150177,0.004726932384073734,56.5581169128418,0.028048507869243622,1.0,0.0
1,0.9,14.722375869750977,594.2511130255813,353134.38533214224,49.21875,318261.9926195819,2.2652428150177,0.004726932384073734,56.5581169128418,0.025243662297725677,1.109149819671605,0.01138752186336909
1,1.2,14.649297714233398,436.77462256944136,190772.07092067797,36.875,233904.2466853179,2.2652428150177,0.004726932384073734,56.5581169128418,0.033658210188150406,0.8252568972250803,0.020822575930404912
1,1.3,14.64097785949707,404.08989851023955,163288.6460780157,34.15625,216382.8591107055,2.2652428150177,0.004726932384073734,56.5581169128418,0.03646305948495865,0.7553912042256966,0.021298341220408346
2,1.0,14.150203704833984,608.9011976401436,370760.6684876012,43.78125,370760.6684876012,1.8209153413772583,0.003089522011578083,25.721025466918945,0.02809174917638302,1.0,0.0
2,0.9,14.171701431274414,671.6530347841219,451117.79913472093,49.1875,408948.5462488377,1.8209153413772583,0.003089522011578083,25.721025466918945,0.025282572954893112,1.109149819671605,0.011732805888817796
2,1.2,14.120463371276855,496.0574246482207,246072.96854862518,36.8125,302016.73780358327,1.8209153413772583,0.003089522011578083,25.721025466918945,0.03371009975671768,0.8252568972250803,0.019786536424818434
2,1.3,14.116040229797363,455.4332686289855,207419.46217408168,34.1875,277256.56351783976,1.8209153413772583,0.003089522011578083,25.721025466918945,0.03651927039027214,0.7553912042256966,0.022717424510751903
3,1.0,15.980493545532227,619.0754096383257,383254.3628188608,45.5,383254.3628188608,2.7616045475006104,0.003548174165189266,91.6373519897461,0.02862582355737686,1.0,0.0
3,0.9,16.01561737060547,681.6080548584453,464589.54044791334,50.28125,421935.4086895877,2.7616045475006104,0.003548174165189266,91.6373519897461,0.025763239711523056,1.109149819671605,0.014299597198992492
3,1.2,15.914487838745117,512.1688370189639,262316.917613358,37.9375,317023.6487647309,2.7616045475006104,0.003548174165189266,91.6373519897461,0.034350983798503876,0.8252568972250803,0.017462667442715785
3,1.3,15.908632278442383,467.3213517832943,218389.24583256547,34.9375,289254.5810236137,2.7616045475006104,0.003548174165189266,91.6373519897461,0.03721356391906738,0.7553912042256966,0.019083798082967965
4,1.0,14.885761260986328,584.2157292398275,341308.01829122344,46.0,341308.01829122344,2.030287027359009,0.003230184316635132,43.84426498413086,0.028902683407068253,1.0,0.0
4,0.9,14.934354782104492,641.2542687675211,411207.0372125682,50.9375,374609.9355170087,2.030287027359009,0.003230184316635132,43.84426498413086,0.026012415066361427,1.109149819671605,0.014927024421007115
4,1.2,14.825284004211426,485.5915081939054,235799.11283003166,38.1875,283666.4162038878,2.030287027359009,0.003230184316635132,43.84426498413086,0.0346832238137722,0.8252568972250803,0.01474210261229219
4,1.3,14.810081481933594,449.416636543278,201975.31320187284,35.40625,262525.9440255589,2.030287027359009,0.003230184316635132,43.84426498413086,0.03757348656654358,0.7553912042256966,0.023496483366095913
5,1.0,17.10444450378418,493.16902960088237,243215.69175747602,46.5,243215.69175747602,3.2179462909698486,0.0026756254956126213,122.03646087646484,0.029470272362232208,1.0,0.0
5,0.9,17.174091339111328,544.5457002937434,296530.0197084034,51.9375,268529.42429439054,3.2179462909698486,0.0026756254956126213,122.03646087646484,0.026523251086473465,1.109149819671605,0.014043171037508946
5,1.2,17.016712188720703,403.05925391112567,162456.76216339326,38.96875,198730.7333457602,3.2179462909698486,0.0026756254956126213,122.03646087646484,0.03536432608962059,0.8252568972250803,0.02363311471284745
5,1.3,16.97916030883789,371.31809675524,137877.12897793378,36.21875,183086.72991314536,3.2179462909698486,0.0026756254956126213,122.03646087646484,0.03831135109066963,0.7553912042256966,0.02009068118969391
6,1.0,16.217472076416016,480.88783705008655,231253.11182271058,49.5,231253.11182271058,1.7080042362213135,0.004673185292631388,70.22217559814453,0.029179908335208893,1.0,0.0
6,0.9,16.260421752929688,532.1172609450667,283148.7793956803,55.5625,255869.60931658806,1.7080042362213135,0.004673185292631388,70.22217559814453,0.026261914521455765,1.109149819671605,0.01246241718227206
6,1.2,16.124935150146484,394.71797473904707,155802.27958209498,41.46875,189790.82459672703,1.7080042362213135,0.004673185292631388,70.22217559814453,0.03501588851213455,0.8252568972250803,0.016918029991792725
6,1.3,16.114540100097656,360.0220794964504,129615.89772494845,38.5,173082.69806868877,1.7080042362213135,0.004673185292631388,70.22217559814453,0.03793387860059738,0.7553912042256966,0.02519799727546624
7,1.0,14.64433479309082,411.788332732565,169569.63097466563,39.03125,169569.63097466563,2.688711166381836,0.0014758356846868992,65.93118286132812,0.027523547410964966,1.0,0.0
7,0.9,14.6805419921875,460.68283901460615,212228.67816255754,43.09375,189684.5111317175,2.688711166381836,0.0014758356846868992,65.93118286132812,0.0247711930423975,1.109149819671605,0.016590475280813897
7,1.2,14.580013275146484,339.63460518728374,115351.6650407221,32.46875,139838.7103191519,2.688711166381836,0.0014758356846868992,65.93118286132812,0.0330282598733902,0.8252568972250803,0.016436485240714803
7,1.3,14.577581405639648,314.9904590663291,99218.98930281676,30.078125,129684.14489409555,2.688711166381836,0.0014758356846868992,65.93118286132812,0.03578060865402222,0.7553912042256966,0.023239858836382236
8,1.0,17.143573760986328,586.678649618794,344191.8379185316,56.21875,344191.8379185316,2.2363500595092773,0.0017067983280867338,86.23985290527344,0.029380297288298607,1.0,0.0
8,0.9,17.215225219726562,644.3985339063205,415249.4705006153,62.8125,378021.3997267436,2.2363500595092773,0.0017067983280867338,86.23985290527344,0.0264422670006752,1.109149819671605,0.01657780180885803
8,1.2,17.05590057373047,490.8559639529678,240939.57734819723,47.03125,287946.1910805411,2.2363500595092773,0.0017067983280867338,86.23985290527344,0.03525635600090027,0.8252568972250803,0.019530648147954844
8,1.3,17.02516746520996,452.0245255761932,204326.17172238254,43.5,265144.7260280931,2.2363500595092773,0.0017067983280867338,86.23985290527344,0.03819438815116882,0.7553912042256966,0.027230643118276422
9,1.0,16.047420501708984,683.9648817848455,467807.9595149576,56.40625,467807.9595149576,1.9791514873504639,0.0028722963761538267,96.35441589355469,0.02988017350435257,1.0,0.0
9,0.9,16.06998062133789,760.4814424065466,578332.0242447418,63.40625,519992.4046427955,1.9791514873504639,0.0028722963761538267,96.35441589355469,0.02689215913414955,1.109149819671605,0.024126664411728654
9,1.2,16.014131546020508,578.5744968441703,334748.44839848485,47.40625,395678.3590229106,1.9791514873504639,0.0028722963761538267,96.35441589355469,0.0358562171459198,0.8252568972250803,0.02871288679607501
9,1.3,15.994889259338379,524.9519602489672,275574.56056923326,43.75,358998.3539961511,1.9791514873504639,0.0028722963761538267,96.35441589355469,0.03884422779083252,0.7553912042256966,0.02292336995743758
10,1.0,15.9754638671875,672.9822869187661,452905.1585064125,54.625,452905.1585064125,1.1828057765960693,0.0012538867304101586,12.549593925476074,0.030018988996744156,1.0,0.0
10,0.9,16.03182601928711,736.776860696755,542840.1424581654,60.28125,495824.27915966057,1.1828057765960693,0.0012538867304101586,12.549593925476074,0.02701709046959877,1.109149819671605,0.015070059763916349
10,1.2,15.913070678710938,552.6500405553228,305422.06732579996,45.34375,371883.780889282,1.1828057765960693,0.0012538867304101586,12.549593925476074,0.036022789776325226,0.8252568972250803,0.015495818226434123
