seed,AA,A_down5,DA,D_up5
50,11.130,9.240,9.803,10.717
51,8.355,7.523,7.137,7.244
52,8.348,7.526,7.989,7.805
53,10.205,8.128,8.078,7.933
54,7.446,7.183,7.399,7.589
55,10.220,9.733,9.552,10.515
