arm,batch_id,direction_id,regime,status,finest_relative_change,finest_cosine,finest_norm_ratio,selected_jvp_l2,finite,source_preserved,amp_branch_pairing,amp_sweep_pairing,discrete_state_pairing,receipt
A,2026082602,2026082611,E_full_field_pseudohuber_fp32,PASS,0.00864030231701804,0.9999626869428221,1.0001361863283214,11145.258596695348,True,True,,,,formal/shard0/armA_batch2026082602_dir2026082611_E_full_field_pseudohuber_fp32.json
A,2026082602,2026082612,A_squared_gn_fp32,PASS,0.008272002325377649,0.999965797126866,0.9998193524570933,24.37715013560253,True,True,,,,formal/shard1/armA_batch2026082602_dir2026082612_A_squared_gn_fp32.json
A,2026082602,2026082612,B_real_loss_gn_fp32,PASS,0.015135209435510924,0.9998912300456405,1.0032892422347557,152.97376017803415,True,True,,,,formal/shard0/armA_batch2026082602_dir2026082612_B_real_loss_gn_fp32.json
A,2026082602,2026082612,C_full_field_fp32,PASS,0.004076257820527891,0.999991995412345,1.0007709476475832,26694.925152157222,True,True,,,,formal/shard1/armA_batch2026082602_dir2026082612_C_full_field_fp32.json
A,2026082602,2026082612,D_production_algorithmic,FAIL_CLOSED,0.8360729407816433,0.6818200790905353,1.0866615079960877,5655.849690814736,True,True,True,True,True,formal/shard0/armA_batch2026082602_dir2026082612_D_production_algorithmic.json
A,2026082602,2026082612,E_full_field_pseudohuber_fp32,PASS,0.00471341027292845,0.9999890132747127,1.0004818687656651,19234.443065024385,True,True,,,,formal/shard1/armA_batch2026082602_dir2026082612_E_full_field_pseudohuber_fp32.json
A,2026082602,2026082613,A_squared_gn_fp32,PASS,0.016120065630001738,0.9998737199566506,0.9971695794527086,9.41976473149269,True,True,,,,formal/shard0/armA_batch2026082602_dir2026082613_A_squared_gn_fp32.json
A,2026082602,2026082613,B_real_loss_gn_fp32,PASS,0.020003630069298818,0.9998007593982222,1.001106021521569,90.60558831685965,True,True,,,,formal/shard1/armA_batch2026082602_dir2026082613_B_real_loss_gn_fp32.json
A,2026082602,2026082613,C_full_field_fp32,PASS,0.0048186019537668785,0.9999884725879653,1.0003937300384511,18124.817426531714,True,True,,,,formal/shard0/armA_batch2026082602_dir2026082613_C_full_field_fp32.json
A,2026082602,2026082613,D_production_algorithmic,FAIL_CLOSED,0.605707274755701,0.8695230076000784,1.22016750483034,5946.49725696354,True,True,True,True,True,formal/shard1/armA_batch2026082602_dir2026082613_D_production_algorithmic.json
A,2026082602,2026082613,E_full_field_pseudohuber_fp32,PASS,0.007138009928977647,0.9999745412961041,1.0001600840113125,10502.28439222236,True,True,,,,formal/shard0/armA_batch2026082602_dir2026082613_E_full_field_pseudohuber_fp32.json
A,2026082602,2026082614,A_squared_gn_fp32,PASS,0.01854818067300285,0.9998482656090572,1.0062192347439505,21.85982722540455,True,True,,,,formal/shard1/armA_batch2026082602_dir2026082614_A_squared_gn_fp32.json
A,2026082602,2026082614,B_real_loss_gn_fp32,PASS,0.04496876609343472,0.9991667093221429,1.0180426978156762,108.13061670553604,True,True,,,,formal/shard0/armA_batch2026082602_dir2026082614_B_real_loss_gn_fp32.json
A,2026082602,2026082614,C_full_field_fp32,PASS,0.010257104780988577,0.9999473946091555,0.9999609639957068,16992.368338247932,True,True,,,,formal/shard1/armA_batch2026082602_dir2026082614_C_full_field_fp32.json
