rotation_id,early,late,nfe,metric,anchor_B0_rotation,B1,B2,B3,B4,B5,rotation_k,status
TW_BD_256_TO_1024,TW_BD_256,TW_BD_1024,1,fid,0,0,0,0,0,0,0,COMPLETE
TW_BD_256_TO_1024,TW_BD_256,TW_BD_1024,1,kid,1,1,1,1,1,1,5,COMPLETE
TW_BD_256_TO_1024,TW_BD_256,TW_BD_1024,2,fid,0,0,0,0,0,0,0,COMPLETE
TW_BD_256_TO_1024,TW_BD_256,TW_BD_1024,2,kid,1,1,0,1,0,0,2,COMPLETE
