checkpoint_id,identity,cohort,nfe,metric,scale,anchor_B0,B1,B2,B3,B4,B5,n_valid,mean,sd,two_sd,status
NF-01,q256 seed3 AA@1024,q256_schedule_control,1,fid,log,2.2689668618995955,2.2485183279718264,2.234999034065994,2.240640499886902,2.2582771237278476,2.255330409181888,5,2.2475530789668916,0.009769998718787937,0.019539997437575875,COMPLETE
NF-01,q256 seed3 AA@1024,q256_schedule_control,1,kid,raw,0.005999107735235234,0.005799281056056039,0.0057478412087087274,0.005838159917417383,0.005972021554054059,0.005829815503003033,5,0.005837423847847848,8.3148801895255e-05,0.00016629760379051,COMPLETE
NF-01,q256 seed3 AA@1024,q256_schedule_control,2,fid,log,1.0530554891079844,1.0632747845643054,1.0570671116397694,1.0634118202296299,1.0604306969995918,1.0610292586263703,5,1.0610427344119333,0.0025872264740338007,0.005174452948067601,COMPLETE
NF-01,q256 seed3 AA@1024,q256_schedule_control,2,kid,raw,0.0010535892067066743,0.0010514041516516864,0.0010195767742743008,0.0011022919744744922,0.0011085984459459541,0.0010424461211211065,5,0.001064863493493508,3.888514066805871e-05,7.777028133611742e-05,COMPLETE
NF-03,q256 seed4 AA@1024,q256_schedule_control,1,fid,log,2.115462286263227,2.0939744608560225,2.0702152406070438,2.0787149459846517,2.1002033073561943,2.0973115185392346,5,2.0880838946686295,0.012978770874129023,0.025957541748258046,COMPLETE
NF-03,q256 seed4 AA@1024,q256_schedule_control,1,kid,raw,0.0049997911786786925,0.0049355513038038265,0.004773697484984964,0.00487048948448451,0.005007368140640611,0.004920242522522476,5,0.004901469787287277,8.66226976557113e-05,0.0001732453953114226,COMPLETE
NF-03,q256 seed4 AA@1024,q256_schedule_control,2,fid,log,0.998171816454769,0.9848926640016152,0.9778297720276702,0.9810911781930259,0.9832092146663117,0.9993392674015104,5,0.9852724192580267,0.008293868496863477,0.016587736993726954,COMPLETE
NF-03,q256 seed4 AA@1024,q256_schedule_control,2,kid,raw,0.0008854795895895858,0.0008401710435435552,0.0008049298323323729,0.0008711738338338319,0.0008791538063062899,0.0008632286461461627,5,0.0008517314324324425,2.9942494249385436e-05,5.988498849877087e-05,COMPLETE
NF-05,q256 seed5 A@512,q256_target_weight,1,fid,log,2.981918525158037,2.964640266279975,2.9547062986833095,2.9598333627124256,2.9731202760411883,2.9654683519573277,5,2.9635537111348453,0.006864461288797367,0.013728922577594734,COMPLETE
NF-05,q256 seed5 A@512,q256_target_weight,1,kid,raw,0.014180237507507458,0.013959089311811822,0.013841097890390439,0.014062699687187156,0.014232964064064034,0.013997586839339328,5,0.014018687558558555,0.00014438383729228058,0.00028876767458456117,COMPLETE
