contrast_id,lhs,rhs,nfe,metric,scale,anchor_B0,B1,B2,B3,B4,B5,n_valid,mean,sd,two_sd,status,same_anchor_sign_k,anchor_abs_over_two_sd
Q256_Q_seed5,NF-06,NF-05,1,fid,log,0.25014786955024126,0.25541779394344477,0.2575387643634528,0.2559013602621314,0.24981988046014258,0.25932911869612063,5,0.25560138354505846,0.003577671130967921,0.007155342261935842,COMPLETE,5,34.959595277635955
Q256_Q_seed5,NF-06,NF-05,1,kid,raw,0.005942756826826899,0.005920969924924883,0.005993102114614575,0.0060182226751752214,0.005910026488989041,0.00619284646646648,5,0.00600703353403404,0.00011364752393576065,0.0002272950478715213,COMPLETE,5,26.14556226577381
Q256_Q_seed5,NF-06,NF-05,2,fid,log,0.32195391625223313,0.30889288684704486,0.3117637387722121,0.3082861531556411,0.3044557026832668,0.3127663346587135,5,0.3092329632233757,0.003268174493996322,0.006536348987992644,COMPLETE,5,49.25592511104694
Q256_Q_seed5,NF-06,NF-05,2,kid,raw,0.0027684981531531554,0.002780343883883848,0.0027119907682682833,0.002815712434934917,0.002784108175675674,0.002753610097597616,5,0.0027691530720720674,3.8812938225111684e-05,7.762587645022337e-05,COMPLETE,5,35.664629885736886
TW_BD_256,NF-07,NF-13,1,fid,log,-0.05856236190757347,-0.057620512781308086,-0.057827798263299535,-0.0576208356487351,-0.057643657682906024,-0.05854168530519921,5,-0.05785089793628959,0.0003958141237849091,0.0007916282475698182,COMPLETE,5,73.97709984118337
TW_BD_256,NF-07,NF-13,1,kid,raw,-0.03137989272272279,-0.030787400778278184,-0.031017060457958046,-0.03077173154654661,-0.030974870212712446,-0.03141351040790791,5,-0.03099291468068064,0.00025931030159466163,0.0005186206031893233,COMPLETE,5,60.50645217283724
TW_BD_256,NF-07,NF-13,2,fid,log,-0.6611746851647933,-0.6621251831930426,-0.6588253334339145,-0.6609242927802725,-0.6578858771999716,-0.6569118570254524,5,-0.6593345087265308,0.0021530392099693954,0.004306078419938791,COMPLETE,5,153.54450632001996
TW_BD_256,NF-07,NF-13,2,kid,raw,-0.11454905690690693,-0.11455738568318322,-0.11428537010510513,-0.11436028853853855,-0.11453933728228229,-0.11436395924174184,5,-0.1144212681701702,0.00012035302802978591,0.00024070605605957182,COMPLETE,5,475.887722901984
TW_BD_1024,NF-14,NF-08,1,fid,log,-0.01404354664473173,-0.022494342423239555,-0.023831984352956415,-0.023230572671423033,-0.028341999681357866,-0.029740564305608785,5,-0.02552789268691713,0.003279558349691919,0.006559116699383838,COMPLETE,5,2.141072843855786
TW_BD_1024,NF-14,NF-08,1,kid,raw,0.00012429674424423425,2.3992725225253572e-05,3.845020020019647e-05,9.251422922922775e-05,9.821311311280709e-06,5.155160910910034e-05,5,4.3266015015011765e-05,3.16513729965315e-05,6.3302745993063e-05,COMPLETE,5,1.963528474070544
TW_BD_1024,NF-14,NF-08,2,fid,log,-0.006955757152381281,-0.027397972228982992,-0.02190231869803183,-0.017819191118267685,-0.0193783632763187,-0.02005754112506053,5,-0.021311077289332347,0.003704722048029205,0.00740944409605841,COMPLETE,5,0.9387690982217578
TW_BD_1024,NF-14,NF-08,2,kid,raw,3.384247747746476e-05,2.1520385385388123e-05,-1.0342152152165965e-05,3.893770520517145e-05,-1.3401278778778832e-05,-1.9917067067049118e-05,5,3.3595185185131315e-06,2.5524909377888745e-05,5.104981875577749e-05,COMPLETE,2,0.6629304139034712
Q128_Bsame_A,NF-09,NF-15,1,fid,log,-0.07698958379603527,-0.07812124317159475,-0.07659255182372249,-0.07761732735741678,-0.07884748210623371,-0.06638701143306758,5,-0.07551312317840705,0.005167179994304324,0.010334359988608648,COMPLETE,5,7.449864711593103
Q128_Bsame_A,NF-09,NF-15,1,kid,raw,-0.0004603343668668552,-0.00043951946196197234,-0.0004959638188188863,-0.0004731524049048953,-0.0005368969819819769,-0.0004469698548548503,5,-0.0004785005045045162,3.955193308480355e-05,7.91038661696071e-05,COMPLETE,5,5.819366222629996
Q128_Bsame_A,NF-09,NF-15,2,fid,log,-0.013237944309621996,-0.01809115175185627,-0.02451734237142489,-0.015949515504603218,-0.0163535360379794,-0.015600117344445774,5,-0.01810233260206191,0.0037116865245309313,0.007423373049061863,COMPLETE,5,1.7832788709567757
Q128_Bsame_A,NF-09,NF-15,2,kid,raw,-8.005222972974017e-05,-8.864619869870696e-05,-0.00010814269019019784,-9.737579079080222e-05,-0.00010254612362360616,-0.00011531445195194466,5,-0.00010240505105105156,1.0175860071766805e-05,2.035172014353361e-05,COMPLETE,5,3.933438017285989
Q128_Cmatch_Bmatch,NF-10,NF-16,1,fid,log,-0.1486425296177647,-0.15894230879819338,-0.14540515914948382,-0.14839551242311955,-0.1415402505963983,-0.15133057562305186,5,-0.14912276131804938,0.006579169446119881,0.013158338892239762,COMPLETE,5,11.29645093009634
Q128_Cmatch_Bmatch,NF-10,NF-16,1,kid,raw,-0.0008021272797797243,-0.0009621478003002991,-0.000823200573073099,-0.0008509628478478633,-0.0008109238288288682,-0.0008883587912912969,5,-0.0008671187682682853,6.0887905940738377e-05,0.00012177581188147675,COMPLETE,5,6.586917938682496
Q128_Cmatch_Bmatch,NF-10,NF-16,2,fid,log,0.00689628693772959,-0.030457997384627844,-0.024158301370750368,-0.023068004863171288,-0.01802944489243008,-0.021267872330790638,5,-0.023396324168354042,0.004579555978032569,0.009159111956065138,COMPLETE,0,0.7529427493418605
Q128_Cmatch_Bmatch,NF-10,NF-16,2,kid,raw,-1.1346291291306366e-05,-7.288543293287614e-05,-4.824786536537426e-05,-6.209583583580288e-05,-6.138997998001274e-05,-4.515995245251369e-05,5,-5.795581331331594e-05,1.1289432422569608e-05,2.2578864845139215e-05,COMPLETE,5,0.5025182341595441
