seed,cell,budget_kimg,nfe,kid50k_full,fid50k_full,opaque_id,checkpoint_sha256,receipt_sha256,wave,worker
50,AA,1024,1,0.0071945455856621265,11.578598071369743,d94e3f365a11228aa228838f,92a4519067daf30c1e92e966ba580ee1faea524366a6bd35816f45348a333a11,1371efc171256d5024b2eaeaeac322fd3d4cb5e3f69cc1f5a1fc2a123a6e0197,firstwave,node8
50,BA,1024,1,0.006684369873255491,10.86740872008123,86d9d64725eee00ebb407fa5,0017cde304fdac54f36be61ecbfd90ff6f31996b354cc20a76d4ec55103e09f8,498fcca87f9e9c4f531ecc35da680ea73b85bf6a8be70ee42be38e7e5402016c,firstwave,node8
51,AA,1024,1,0.00540600810199976,8.626674454487627,7902fe7659e7e01346d00555,61c9db7e3d837a097280779c7448f06c73c7a62ef8731d6788cdfd5ad93e1575,b50db956951f898059260d6cd80d55106141e8331eb4b87af8c6c768c61892ff,firstwave,node8
51,BA,1024,1,0.005143420305103064,8.32431310939327,86e7188fb657b0672ddc22c1,013194514b912e1fee059ca9c2fdb25e46f778a9d4c987d3ba3651a1969e69bc,c86ae08b9f58b17b5076e577b2898d81d5d5a1666b325c54d9d8ac74ce564e40,firstwave,node8
52,AA,1024,1,0.005562820006161928,8.824924759559256,686f2be484634936aefb0e28,2b6c9dbb0b7e10191b17f37d44f6753d8d4afd571194f9cff2c05cbcc1664158,fd1568d42e76f3ffdbc7338354b7ea51d73100945c604d149ea2f96303c72920,firstwave,node8
52,BA,1024,1,0.004685786087065935,7.865091597317183,0010d56e63312daa010434cd,f45c159173e2c339423f576271d42f2ceb937da30763d6dc0ca95724220e8623,ae86a7a2dc5b9c6d4057cd517ca7afad9ab635a481c5bbaf084b246afda61e6a,firstwave,node8
53,AA,1024,1,0.007176223210990429,10.734535910861254,e104aef9f1b1ab691bcb554e,824c4c7d9ac284b0d5c0af7ba3634a91573613ffada10c5354fcd083154b8e8a,9f86ba4c481d754d0cf358fe955639594b67e8a29c367eee0da56dde578ee394,firstwave,node8
53,BA,1024,1,0.004856301471590996,7.951925548969259,2464dd46e19b4acaceba1bbd,bb57fc00a132f98b726ed33484916c31de286eaed0482edeaaca69db9c51f5ce,0d700fd420352af032b3c3768784e9d04081708f9031718d3f7ad0e704c09f4b,firstwave,node8
54,AA,1024,1,0.004790581297129393,7.753432845721833,8ca0fc8c8a8930e9d8bf6d19,802fd52c4162c5255213deca1bca6a8465b15e928dbe1b9c104b007dbc3bed40,bc58e6959e481a59e704430f1ecb01f7532e3c0839cdcf0ae638a375cd33df2a,firstwave,node8
54,BA,1024,1,0.004577011801302433,7.636236925718501,2ce88dfe66749786910a6e47,1f690d42b468c45d6173470e1e006ec5c4d2c6545d19fa093dd4954ad2397ca6,43a5de172dbc08e6f8d182f8901387fd523c3f9fced60479f5bc94b52f526958,firstwave,node8
