block,training_seed,arm,metric,historical_pr53,regenerated_v2,delta_v2_minus_pr53,absolute_delta
block_5000_9999,3,A,fid5k_full,316.2286207804385,316.22897690262977,0.0003561221912491419,0.0003561221912491419
block_5000_9999,3,A,kid5k_full,0.32445674280280284,0.3244565268018019,-2.160010009188973e-07,2.160010009188973e-07
block_5000_9999,3,B,fid5k_full,207.8802884223472,207.87934298943534,-0.0009454329118625537,0.0009454329118625537
block_5000_9999,3,B,kid5k_full,0.20322906735485485,0.20322853068068078,-5.36674174073104e-07,5.36674174073104e-07
block_5000_9999,3,C,fid5k_full,298.91274043236103,298.91305887845175,0.0003184460907164066,0.0003184460907164066
block_5000_9999,3,C,kid5k_full,0.3052326821796796,0.3052322839664664,-3.982132131818972e-07,3.982132131818972e-07
block_5000_9999,4,A,fid5k_full,253.94699969627183,253.94764692081287,0.000647224541040714,0.000647224541040714
block_5000_9999,4,A,kid5k_full,0.25654408056556566,0.2565451969144144,1.1163488487508921e-06,1.1163488487508921e-06
block_5000_9999,4,B,fid5k_full,216.52199521363173,216.5224393467861,0.00044413315436031553,0.00044413315436031553
block_5000_9999,4,B,kid5k_full,0.2127101212762762,0.21271042240490495,3.011286287546433e-07,3.011286287546433e-07
block_5000_9999,4,C,fid5k_full,221.5524795050354,221.5520480582708,-0.00043144676459405673,0.00043144676459405673
block_5000_9999,4,C,kid5k_full,0.21645007821071077,0.21644975146896886,-3.2674174191282823e-07,3.2674174191282823e-07
block_5000_9999,5,A,fid5k_full,255.66451189574653,255.6646421234234,0.0001302276768626598,0.0001302276768626598
block_5000_9999,5,A,kid5k_full,0.257685899169169,0.2576860672697697,1.6810060071703603e-07,1.6810060071703603e-07
block_5000_9999,5,B,fid5k_full,237.6332426217865,237.63310475159938,-0.00013787018713173893,0.00013787018713173893
block_5000_9999,5,B,kid5k_full,0.23578871548298294,0.23578837201951955,-3.4346346339253486e-07,3.4346346339253486e-07
block_5000_9999,5,C,fid5k_full,222.89049984799925,222.8906555108875,0.00015566288826107666,0.00015566288826107666
block_5000_9999,5,C,kid5k_full,0.21771228121621616,0.21771251470470476,2.3348848859905402e-07,2.3348848859905402e-07
block_10000_14999,3,A,fid5k_full,316.13053778726305,316.1307309841487,0.00019319688567520643,0.00019319688567520643
block_10000_14999,3,A,kid5k_full,0.32433871034784784,0.3243385649474474,-1.454004004419751e-07,1.454004004419751e-07
block_10000_14999,3,B,fid5k_full,208.58256436261215,208.58226001864412,-0.0003043439680254778,0.0003043439680254778
block_10000_14999,3,B,kid5k_full,0.2036197181856856,0.203620039562062,3.2137637639984007e-07,3.2137637639984007e-07
block_10000_14999,3,C,fid5k_full,298.7762216985931,298.77484871720674,-0.0013729813863392337,0.0013729813863392337
block_10000_14999,3,C,kid5k_full,0.30522617252502515,0.30522499845595596,-1.1740690691874889e-06,1.1740690691874889e-06
block_10000_14999,4,A,fid5k_full,254.19282908910972,254.19210375265095,-0.000725336458771153,0.000725336458771153
block_10000_14999,4,A,kid5k_full,0.2571154534709709,0.2571151327277278,-3.207432431318047e-07,3.207432431318047e-07
block_10000_14999,4,B,fid5k_full,217.3697582517745,217.36914413772126,-0.0006141140532349709,0.0006141140532349709
block_10000_14999,4,B,kid5k_full,0.21349087704954942,0.21349046158908902,-4.1546046039564466e-07,4.1546046039564466e-07
block_10000_14999,4,C,fid5k_full,222.40727324936591,222.40665074184926,-0.000622507516652604,0.000622507516652604
block_10000_14999,4,C,kid5k_full,0.21767121106356363,0.2176698349824825,-1.37608108113918e-06,1.37608108113918e-06
block_10000_14999,5,A,fid5k_full,255.79022708989808,255.791425651295,0.0011985613969045517,0.0011985613969045517
block_10000_14999,5,A,kid5k_full,0.2580739324674674,0.25807553801551547,1.605548048067007e-06,1.605548048067007e-06
block_10000_14999,5,B,fid5k_full,237.93727976681674,237.9359290372802,-0.0013507295365400296,0.0013507295365400296
block_10000_14999,5,B,kid5k_full,0.23644448582582586,0.23644247694944945,-2.0088763764136708e-06,2.0088763764136708e-06
block_10000_14999,5,C,fid5k_full,223.7234129101487,223.72172712140627,-0.0016857887424350793,0.0016857887424350793
block_10000_14999,5,C,kid5k_full,0.21890610116366377,0.21890455233233228,-1.5488313314937496e-06,1.5488313314937496e-06
block_15000_19999,3,A,fid5k_full,317.10730424612893,317.1062171221313,-0.0010871239976495417,0.0010871239976495417
block_15000_19999,3,A,kid5k_full,0.32548333044794786,0.3254824335435436,-8.969044042461682e-07,8.969044042461682e-07
block_15000_19999,3,B,fid5k_full,209.27477810853668,209.27454890372144,-0.00022920481524124625,0.00022920481524124625
block_15000_19999,3,B,kid5k_full,0.20447168440190192,0.2044699731606607,-1.7112412412090272e-06,1.7112412412090272e-06
block_15000_19999,3,C,fid5k_full,299.5319207007951,299.5324397227327,0.0005190219375776906,0.0005190219375776906
block_15000_19999,3,C,kid5k_full,0.3061421265565567,0.30614267009759755,5.435410408427543e-07,5.435410408427543e-07
block_15000_19999,4,A,fid5k_full,255.00653874038866,255.00651141439033,-2.732599833166205e-05,2.732599833166205e-05
block_15000_19999,4,A,kid5k_full,0.2581343601901902,0.25813315034034034,-1.209849849859168e-06,1.209849849859168e-06
block_15000_19999,4,B,fid5k_full,217.66029975581313,217.66056256707594,0.0002628112628144663,0.0002628112628144663
block_15000_19999,4,B,kid5k_full,0.21394874202952957,0.21394872357107106,-1.845845851167205e-08,1.845845851167205e-08
block_15000_19999,4,C,fid5k_full,222.4301024167902,222.43168131866884,0.001578901878644956,0.001578901878644956
block_15000_19999,4,C,kid5k_full,0.21776962248999004,0.2177713513013013,1.7288113112468029e-06,1.7288113112468029e-06
block_15000_19999,5,A,fid5k_full,256.67863519887555,256.6779113668614,-0.0007238320141595977,0.0007238320141595977
block_15000_19999,5,A,kid5k_full,0.2592400431056056,0.2592394916166167,-5.514889889202124e-07,5.514889889202124e-07
block_15000_19999,5,B,fid5k_full,238.5630371352957,238.56238128504347,-0.0006558502522295839,0.0006558502522295839
block_15000_19999,5,B,kid5k_full,0.237263046996997,0.23726190300800798,-1.1439889890108024e-06,1.1439889890108024e-06
block_15000_19999,5,C,fid5k_full,223.96877533153872,223.96743508464954,-0.0013402468891854369,0.0013402468891854369
block_15000_19999,5,C,kid5k_full,0.21927145377627622,0.21927052776776765,-9.260085085671665e-07,9.260085085671665e-07
