block,training_seed,metric,A,B,C,delta_gap_B_minus_A,delta_ctrl_C_minus_B
block_5000_9999,3,fid5k_full,316.22897690262977,207.87934298943534,298.91305887845175,-108.34963391319442,91.0337158890164
block_5000_9999,3,kid5k_full,0.3244565268018019,0.20322853068068078,0.3052322839664664,-0.12122799612112115,0.10200375328578562
block_5000_9999,4,fid5k_full,253.94764692081287,216.5224393467861,221.5520480582708,-37.425207574026786,5.029608711484713
block_5000_9999,4,kid5k_full,0.2565451969144144,0.21271042240490495,0.21644975146896886,-0.043834774509509455,0.0037393290640639065
block_5000_9999,5,fid5k_full,255.6646421234234,237.63310475159938,222.8906555108875,-18.031537371824015,-14.742449240711863
block_5000_9999,5,kid5k_full,0.2576860672697697,0.23578837201951955,0.21771251470470476,-0.021897695250250176,-0.018075857314814786
block_10000_14999,3,fid5k_full,316.1307309841487,208.58226001864412,298.77484871720674,-107.5484709655046,90.19258869856262
block_10000_14999,3,kid5k_full,0.3243385649474474,0.203620039562062,0.30522499845595596,-0.12071852538538538,0.10160495889389395
block_10000_14999,4,fid5k_full,254.19210375265095,217.36914413772126,222.40665074184926,-36.82295961492969,5.037506604127998
block_10000_14999,4,kid5k_full,0.2571151327277278,0.21349046158908902,0.2176698349824825,-0.04362467113863877,0.004179373393393471
block_10000_14999,5,fid5k_full,255.791425651295,237.9359290372802,223.72172712140627,-17.855496614014783,-14.214201915873929
block_10000_14999,5,kid5k_full,0.25807553801551547,0.23644247694944945,0.21890455233233228,-0.021633061066066023,-0.017537924617117173
block_15000_19999,3,fid5k_full,317.1062171221313,209.27454890372144,299.5324397227327,-107.83166821840985,90.25789081901127
block_15000_19999,3,kid5k_full,0.3254824335435436,0.2044699731606607,0.30614267009759755,-0.12101246038288291,0.10167269693693684
block_15000_19999,4,fid5k_full,255.00651141439033,217.66056256707594,222.43168131866884,-37.34594884731439,4.771118751592894
block_15000_19999,4,kid5k_full,0.25813315034034034,0.21394872357107106,0.2177713513013013,-0.044184426769269286,0.0038226277302302325
block_15000_19999,5,fid5k_full,256.6779113668614,238.56238128504347,223.96743508464954,-18.115530081817923,-14.594946200393935
block_15000_19999,5,kid5k_full,0.2592394916166167,0.23726190300800798,0.21927052776776765,-0.02197758860860871,-0.01799137524024033
