training_seed,metric,blocks,delta_ctrl_mean,delta_ctrl_sample_sd,delta_ctrl_sign,sign_consistency
3,fid5k_full,3,90.494731802,0.467914497,positive,3/3
3,kid5k_full,3,0.101760470,0.000213395,positive,3/3
4,fid5k_full,3,4.946078022,0.151570624,positive,3/3
4,kid5k_full,3,0.003913777,0.000233754,positive,3/3
5,fid5k_full,3,-14.517199119,0.272570662,negative,3/3
5,kid5k_full,3,-0.017868386,0.000289288,negative,3/3
