comparison,n,mean_log_ratio,median_log_ratio,sd_log_ratio,ci95_low,ci95_high,geometric_fid_change_pct,ba_better_seeds,ba_mean_fid,ctrl_mean_fid,ba_mean_kid,ctrl_mean_kid,kid_ba_better_seeds
G_128,12,-0.045037196623760455,0.002084562606480489,0.30572753678560266,-0.23928720608033338,0.14921281283281246,-4.403807738420227,6,16.064158302846646,17.037141937141584,0.010766414265769223,0.011211488046683371,6
G_256,12,-0.04741702302523402,-0.033174207942733513,0.2680300786189643,-0.21771521027321905,0.12288116422275103,-4.631039587222809,6,12.997669255413637,13.837329689333401,0.00847370212431997,0.00898235997495552,6
G_384,12,-0.06621662882864914,-0.10282124384438274,0.2298642054418272,-0.21226537716928362,0.07983211951198534,-6.407190667716326,8,11.080281031942894,12.066808659499616,0.007001817071189483,0.007700345401341717,8
G_512,12,-0.0554559355162764,-0.061763140110328685,0.19019100111993423,-0.17629753243140941,0.0653856613988566,-5.39462898797068,8,9.850400884720347,10.579615178260386,0.006118673598393798,0.0065943421407913165,6
H_128,12,-0.05825794063277068,-0.04017893329446065,0.19538471235611937,-0.18239946423213682,0.06588358296659545,-5.659342683835071,8,9.82620227300427,10.579615178260386,0.006090532018182178,0.0065943421407913165,7
H_256,12,-0.05423240709854512,-0.055850953825095306,0.19188401051857853,-0.1761496908659467,0.06768487666885645,-5.2788057860271,8,9.858248695065956,10.579615178260386,0.0061401962690676255,0.0065943421407913165,8
H_384,12,-0.059322962182540184,-0.07232046055954888,0.19860091628838153,-0.18550796426874705,0.06686203990366668,-5.75976403195422,8,9.813236593491567,10.579615178260386,0.006085761706344783,0.0065943421407913165,8
H_512,12,-0.0554559355162764,-0.061763140110328685,0.19019100111993423,-0.17629753243140941,0.0653856613988566,-5.39462898797068,8,9.850400884720347,10.579615178260386,0.006118673598393798,0.0065943421407913165,6
