seed,trajectory,kimg,role,opaque_id,status,root_cause,fid50k_full,kid50k_full
85,CTRL,1024,primary,c9e4fba1853cba1a2eadd6fa,PASS,,16.880553453153126,0.011254003271460533
86,BA128,640,primary,c3251157e94d0d07fd66b49f,PASS,,16.68345748717156,0.011331743560731411
86,BA128,1024,secondary,2085db9495c777320067b00d,PASS,,10.052178347143794,0.006287434138357639
86,BA256,768,primary,7e6f8de94bab7a73210e94e1,PASS,,14.331078842963597,0.009476225823163986
86,BA256,1024,secondary,1313d4a85b63d2e7344019b6,PASS,,10.042313768070134,0.006287290249019861
86,BA384,896,primary,fa20c6a1ac080b9b00fb1c8b,PASS,,11.460351415582558,0.0073739211075007915
86,BA384,1024,secondary,e70d949bc3975b1189a32679,PASS,,9.976163449303511,0.006270544603466988
86,BA512,1024,primary,3198e3930cfb1033977b2d65,PASS,,10.196474291076916,0.006422624457627535
86,CTRL,640,primary,73d371079777167ec15a44ee,PASS,,15.701049471823893,0.009374001063406467
86,CTRL,768,primary,39d6f798a75d23bb0042a2e3,PASS,,12.523195888893367,0.007494413759559393
86,CTRL,896,primary,878af248fdf22c2bef46fea2,PASS,,10.911798644533437,0.006438798736780882
86,CTRL,1024,primary,6c6de245d457982fdcbacf2c,PASS,,10.471840789701616,0.006369661074131727
87,BA128,640,primary,51d9271cb8fd5d02d9642548,PASS,,15.924415191276939,0.010350693948566914
87,BA128,1024,secondary,a35dea93a160d04d92c9267c,PASS,,9.926048736266592,0.005980026908218861
87,BA256,768,primary,cefeb567f08713ad3c7ce420,PASS,,14.88660898964344,0.009901972487568855
87,BA256,1024,secondary,42d093a3b94d07014740f427,PASS,,10.577427209620943,0.006514341104775667
87,BA384,896,primary,be6541ffe971e45354578ff0,PASS,,12.257290918395313,0.007784558460116386
87,BA384,1024,secondary,005c84e4c91aeda603764290,PASS,,10.471959397407108,0.006551806349307299
87,BA512,1024,primary,2756940631422ff57d5ccece,PASS,,10.78766607514397,0.006809101440012455
87,CTRL,640,primary,4235692fd2df0203558a824e,PASS,,15.54121412669394,0.009811393916606903
87,CTRL,768,primary,4fc1024957b5fc5e5fe41905,PASS,,13.363713289785197,0.008330600336194038
87,CTRL,896,primary,07128aa51e398f2d585e1bde,PASS,,11.262059734815228,0.006769594736397266
87,CTRL,1024,primary,588af41ae065509a9b24fbdb,PASS,,9.803405153053586,0.005799338221549988
88,BA128,640,primary,d5751b5c94f35145dc16a527,PASS,,11.623638667507404,0.007515149191021919
88,BA128,1024,secondary,2cbea2f922f58f62eb3be415,PASS,,8.36508148821034,0.005201887339353561
88,BA256,768,primary,4d4107534a086eee04983e9d,PASS,,10.062471006141413,0.006457861512899399
88,BA256,1024,secondary,6d65320e9e6bee478f965e78,PASS,,8.662280709507275,0.005367488134652376
88,BA384,896,primary,a9eaa52bb3dd7c27bdd2c43b,PASS,,9.097051611447945,0.005580546800047159
88,BA384,1024,secondary,961f3c4b36a2612799f0a173,PASS,,8.507355664681908,0.005267651751637459
88,BA512,1024,primary,e9eece344b9c77cb34ee3115,PASS,,8.448833300281287,0.005198495928198099
