amp_skips,arm,attempted_iteration,budget_kimg,cur_nimg,dataset_sha256,denominator_gap_scale,ema_model_canonical_sha256,ema_snapshot_path,ema_snapshot_sha256,git_commit,online_model_canonical_sha256,optimizer_canonical_sha256,replay_elapsed_seconds,replay_state_path,replay_state_sha256,resume_history,runtime_identity,seed,source_256_state_path,source_256_state_sha256,status,successful_optimizer_steps,target_gap_scale
10,A,2000,256,256000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,88705fe014c039f21fc6797b39f8b4a5e4cc99e8e0b125d6cc42f957bf59e8b0,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000256.pkl,73d2dc39331ed00d2b4c7723c0bd3aa0fd849a88c7720714060aaabfb70bc6b8,c8721a05227f3ff171f8dc1f559a64d58281c0ae,f5b51999c4c95a428f8c8b6c51538d59c3b5e27a4e4d8dc9ea800483386efebd,40e81279f1bed2ffc65af015555cc3d8351e14896c082d6555c1fe5abb2dd092,,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armA/training-state-latest.pt,0b4b98636cbbe9bf9e15261f14639c79c3d2a417656d697b5f60c7c9f528e7ee,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armA/training-state-latest.pt,0b4b98636cbbe9bf9e15261f14639c79c3d2a417656d697b5f60c7c9f528e7ee,PASS,1990,1.0
10,A,3000,384,384000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,3ecbdda2b8b9e2f83141fbbbbdd29f93ebf4fd23511c4571d031728bd1da0738,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000384.pkl,bd37b0a48ffff3f157c3cb45d84d5544278fc92891f07a36bae7fb755c697d0e,c8721a05227f3ff171f8dc1f559a64d58281c0ae,9d34a48c0fb543de8a25b827913a892f27cb1eb77d076ae948ae12b0ce9cd895,141b1bfd872fdff421f3de0120e7426b22233a60bdf6f52a6e87e0efec6f16bd,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armA/training-state-kimg000384.pt,e72e29de56276bc8677ca84b96aca1a24e2992390f755744dec509461f0ef766,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armA/training-state-latest.pt,0b4b98636cbbe9bf9e15261f14639c79c3d2a417656d697b5f60c7c9f528e7ee,PASS,2990,1.0
11,A,4000,512,512000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,1b6f71ccdfcd27916170a10cd993a7ba71657b6a090ee908db2bdfc89f09a955,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000512.pkl,ef24432b4a85c5e6803b140f53219080905cf428ce0cb6c326cc67483673b7fa,c8721a05227f3ff171f8dc1f559a64d58281c0ae,c32b20053f3ff985a7597bb8447da78e6f1f4727a0f9088ea137e54ff98f80bc,cf72e72805f071686b83edca4afc4cf5cdf1924783f1100a1fda633d4f23bb30,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armA/training-state-kimg000512.pt,29c1a14c061ed5ecf4439e1ec51d3246a74df83a891088624e01a3d0c4f45f28,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armA/training-state-latest.pt,0b4b98636cbbe9bf9e15261f14639c79c3d2a417656d697b5f60c7c9f528e7ee,PASS,3989,1.0
11,A,5000,640,640000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,c2860b124629b7bf04b11ddf565462cd4f4ed98c17a61cb59556ea01c2f4bbd3,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000640.pkl,b3bee865d00ebdcb73a9125012522cf7add1a4d73f14dce300b00c46c444e450,c8721a05227f3ff171f8dc1f559a64d58281c0ae,0b94d79fa635061df8cda311a1063565a05b290416c24e11662c771294b004bc,f3ee73c146cd3890b181e574b9f0896b29a31caafd73d5b2a9498b86a89fb47b,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armA/training-state-kimg000640.pt,737ddf10b7cf03f7e6e0887e1d8bf83326fc764cac22c926a3e54ce45be9535f,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armA/training-state-latest.pt,0b4b98636cbbe9bf9e15261f14639c79c3d2a417656d697b5f60c7c9f528e7ee,PASS,4989,1.0
12,A,6000,768,768000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,b307a6d2565dd4751c646d5e4511729bb3cd9fa3ac30d8e5f7af84353e54492f,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000768.pkl,017a7002212125267856522b48a8a40578a93e29ce825616a94f64e5733477b4,c8721a05227f3ff171f8dc1f559a64d58281c0ae,cca7b0d5b379d37356c7a5aa8772ecb93346495e5b019bdba8842371a50171ba,e15d427e2b5ca0ce6c100e501ddc434e69537af0f14a2731d53c28cc795b792d,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armA/training-state-kimg000768.pt,05cfa353d94752f0ee9b970eb7e19d9daf5a59be0d514c9c3fc2118e5d55c987,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armA/training-state-latest.pt,0b4b98636cbbe9bf9e15261f14639c79c3d2a417656d697b5f60c7c9f528e7ee,PASS,5988,1.0
13,A,7000,896,896000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,8defaf2e01793c5b5e44442ae1ad7087c59308e05c9c1b7d27f468e844d5c786,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000896.pkl,b191154145c6f3880a7a01745dc8a8cfaed38e5b32abae4d0e1faa0d5db67fd0,c8721a05227f3ff171f8dc1f559a64d58281c0ae,990895baf25049024bcddf978dbc027ab9cbb2a4ff9ca83e16ea92ab4476ceeb,f4b40cae193480c0c23824bbd39958be92a29a42364e8ea62ba99f5bace58eb2,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armA/training-state-kimg000896.pt,1eaa7879c2e2a28b60c8de5e689f582fb2216fda90f74b798eb3bdc9f54cc7b0,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armA/training-state-latest.pt,0b4b98636cbbe9bf9e15261f14639c79c3d2a417656d697b5f60c7c9f528e7ee,PASS,6987,1.0
13,A,8000,1024,1024000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,636066f14afd980334314ce089e79450f8a7f1a64ec64b8c56ce006d42fb0fd4,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg001024.pkl,e429d5d6e822526ba83d0c60ebfc1f864fb574ce51781388d790994b4ff6247a,c8721a05227f3ff171f8dc1f559a64d58281c0ae,42b0e2a9fbd71c1b5d0012e048a4252833ea1da438c3180393894abc2185357f,cee56839abe8d5013376129e019eb43dde8d52964610dcf184ef6f1801bf4428,8583.719975709915,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armA/training-state-kimg001024.pt,ba242f8b2ee0a448072a0fba3786d2e6a458fbaeb1b789269975b62d9fc0cdcd,"[""Loading training state from \""/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armA/training-state-latest.pt\""...""]","host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armA/training-state-latest.pt,0b4b98636cbbe9bf9e15261f14639c79c3d2a417656d697b5f60c7c9f528e7ee,PASS,7987,1.0
9,B,2000,256,256000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.1,9cbf533520acb9c37dc442cd4209f1041fca39790783d84fc57638c736c3fbf6,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armB/network-snapshot-kimg000256.pkl,1847b459ccfa2c6cf14c9e326af6558dd6ab8448d1e2b80190fb0c3ac55b34a0,c8721a05227f3ff171f8dc1f559a64d58281c0ae,a1c32af518c579138ea9c22ec42c952a58b90fc56ec3f44c59049bf371d1e15f,268248658d7bc2d6efb7c8c6a769fef719f613fbe4b0d0f74d0b8934dec89c7c,,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armB/training-state-latest.pt,b87731facff25a970d73ebc431db98256a77a94f50ee8b8ec026d2dca2ed1131,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armB/training-state-latest.pt,b87731facff25a970d73ebc431db98256a77a94f50ee8b8ec026d2dca2ed1131,PASS,1991,1.1
10,B,3000,384,384000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.1,7445b6fb300d74eb228ed7cb9fe4dac8778830f048a69222a3ef1d482af1cb44,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armB/network-snapshot-kimg000384.pkl,c77e4f191de96d867d6a6e656db9191134cd9c043375c11ac71fbc6952f5436d,c8721a05227f3ff171f8dc1f559a64d58281c0ae,dd7094d31a324da021d9328bb3cc1b481b18a1e03cda89ae2b2ad5f45bda8785,caa7dc9ae0b0ca86615376804433fa077f41591fd811be17a209d06ff08961ad,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armB/training-state-kimg000384.pt,724d47531a8ded39af61cd98265efa8dc1dc6ed03e2e080886a243ad9650d210,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armB/training-state-latest.pt,b87731facff25a970d73ebc431db98256a77a94f50ee8b8ec026d2dca2ed1131,PASS,2990,1.1
11,B,4000,512,512000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.1,efcf445c0b30e52925f5ca0aa272191c8d80b67ec29aab7d59d3efd44a579cc3,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armB/network-snapshot-kimg000512.pkl,34a22acb1dc5cc50290e801ef9876ad7789bb5a484e0ac5080ed220e70529c77,c8721a05227f3ff171f8dc1f559a64d58281c0ae,8a7ab6723d5fe9e570c9053642ca87073a37367c6da467a7130de35093728f58,d13645dbee3aff7c851ad876282230b9c23d24c2c4c4f4de3e5f8cd66e5b2e7a,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armB/training-state-kimg000512.pt,ecc97d6d2e3894fa693bda9bfb5f2aad9229b0c6cb54110475ff941a456b3967,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armB/training-state-latest.pt,b87731facff25a970d73ebc431db98256a77a94f50ee8b8ec026d2dca2ed1131,PASS,3989,1.1
