training_seed,audit_count,median_suppression,min_suppression,max_suppression,median_R_opt_real,median_R_opt_reset,all_pair_gates_pass
3,8,-4.624537306982608,-5.3857729438626185,-4.070443502439309,0.08302803446060611,0.47700313334098376,True
4,8,-4.586928678974682,-5.39576480891778,-3.3650096930042936,0.08776200498221767,0.4907355273196695,True
5,8,-5.1101317288351105,-5.616395692159501,-4.40060295584613,0.07405206278997031,0.46690962424559646,True
