seed,nfe,kearly_kimg,klate_kimg,delta_early_fid_ia_minus_ib,abs_delta_early_fid,delta_late_fid_ia_minus_ib,abs_delta_late_fid,contraction_ratio,interpretation
101,1,6400,12800,-6.29628874287,6.29628874287,-0.126632667528,0.126632667528,0.0201122713235,descriptive contraction on stable trajectory
101,2,6400,12800,-1.74197028766,1.74197028766,0.000552481676662,0.000552481676662,0.000317159070148,descriptive contraction on stable trajectory
102,1,6400,12800,-2.14800892675,2.14800892675,-0.104444164504,0.104444164504,0.0486237106388,descriptive contraction on stable trajectory
102,2,6400,12800,-0.709615632084,0.709615632084,-0.00768540868289,0.00768540868289,0.0108303824428,descriptive contraction on stable trajectory
103,1,6400,12800,-2.09488137789,2.09488137789,37.5469850119,37.5469850119,17.9232033891,not interpretable after trajectory instability
103,2,6400,12800,-0.784958821779,0.784958821779,36.1389052183,36.1389052183,46.0392369836,not interpretable after trajectory instability
