layer,update_reference_l2,update_probe_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_reference_l2,predicted_probe_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.08730998638006447,0.0872447649754452,0.9999846056302306,0.9992376074541806,1.0007321622383,0.005544593863766635,0.005584716420349875,0.0,131328,131328,1.0,1.0,0.9992376074541806,0.005544593863766635,0.9981432196571146,1.0,1.0,131328,0.9999999999156826,4.365305386997123e-08,0.9999999999923825,0.005596763574734161,3.6241478959198787e-05,0.0,0.08731009472014645,0.08724487011404525,0.9992375709810719,1.0007321972984702,0.0055447257009477394,0.00558491867696978,0.0
model.dec.16x16_block0.conv0,0.2639991047057576,0.26398688178668467,0.9999998567281908,0.9999535576419292,1.0000461579581574,0.0005352728885543293,0.0005378791687832624,0.0,1179888,1179904,0.9999864395747451,1.0,0.9999535576419292,0.0005352728885543289,0.9997548418730081,1.0,1.0,1179888,0.999999998988182,4.084003077709428e-08,0.9999999979780647,0.0005372836463464386,5.1695010957420544e-05,0.0,0.264000595677824,0.26398878733998987,0.9999551294749278,1.0000445883658993,0.0005330426405098231,0.0005357557381719141,0.0
model.dec.16x16_block0.conv1,0.1866903603340828,0.18668087214372334,0.9999998419229764,0.9999490187907987,1.0000506676382768,0.0005622471759480563,0.000564331489424873,0.0,590074,590080,0.9999898318872017,1.0,0.9999490187907987,0.0005622471759480549,0.9997548418730081,1.0,1.0,590074,0.9999999989433459,4.07411139229669e-08,0.999999997779252,0.0005645535551264239,5.828855422565552e-05,0.0,0.18669238165595814,0.18668320197891167,0.9999506733677213,1.0000490159055528,0.0005595656542093757,0.000561750572287767,0.0
model.dec.16x16_block0.norm0,0.0077789878770961485,0.00777896490392324,0.9999999957698684,0.9999970425356979,1.0000029490127607,9.19794171742775e-05,0.00013284074372202847,0.0,1024,1024,1.0,1.0,0.9999970425356979,9.197941717427677e-05,1.0,1.0,1.0,1024,0.9999999991118674,3.941590534251282e-08,0.9999999982855348,9.202795495774262e-05,1.1678155903719494e-05,0.0,0.007779267582496394,0.00777924252021994,0.9999967750819765,1.0000032184435086,8.052858095196224e-05,0.00012452716035019922,0.0
model.dec.16x16_block0.norm1,0.005500905458652342,0.005500894949507505,0.9999999995321983,0.9999980890931057,1.0000019099749407,3.058757584342672e-05,0.00010159860543078351,0.0,512,512,1.0,1.0,0.9999980890931057,3.058757584343064e-05,1.0,1.0,1.0,512,0.9999999982455331,3.959532714222996e-08,0.9999999984809258,3.0650592573427216e-05,1.4426903591841692e-05,0.0,0.005500793514640497,0.005500779482114205,0.9999974485075357,1.0000025505147812,3.137173724788098e-05,0.00010066605507300013,0.0
model.dec.16x16_block0.skip,0.08809725239430308,0.08809679998429354,0.999999988878217,0.9999948535307209,1.0000051242520849,0.00014914200370763384,0.00017611838526699415,0.0,131328,131328,1.0,1.0,0.9999948535307209,0.00014914200370763427,0.999984676208281,1.0,1.0,131328,0.9999999988612462,4.053893997818959e-08,0.9999999978977823,0.00014923058366788562,1.037623655931313e-05,0.0,0.0880974469331669,0.08809702187857937,0.9999951641187526,1.0000048137879094,0.00014871584937887458,0.00017560805181779962,0.0
model.dec.16x16_block1.affine,0.08739285592113065,0.08733127616372614,0.9999861385929172,0.9992815168801539,1.000691257154416,0.005261517587837052,0.005298409094439041,0.0,131328,131328,1.0,1.0,0.9992815168801539,0.005261517587837052,0.9982683982683983,1.0,1.0,131328,0.9999999998299247,4.3557280695591166e-08,1.000000000013468,0.005310347132197124,3.267519616138656e-05,0.0,0.08739298365479736,0.08733138550585173,0.999281307392856,1.0006914667897568,0.005261530475605926,0.005298512499234108,0.0
model.dec.16x16_block1.conv0,0.2639950853515052,0.2639821623359441,0.9999998412167789,0.9999508894967426,1.0000487953332038,0.0005635027300101923,0.0005657438813493371,0.0,1179897,1179904,0.999994067313951,1.0,0.9999508894967424,0.0005635027300101925,0.9997548418730081,1.0,1.0,1179897,0.9999999989348652,4.067084767635045e-08,0.9999999978440343,0.0005656385366817612,5.143990784518787e-05,0.0,0.26399660002659636,0.2639840740094219,0.9999523946808302,1.0000472922088828,0.0005615440516832458,0.0005638735409331437,0.0
model.dec.16x16_block1.conv1,0.18668105889688172,0.1866701786708619,0.9999998154996398,0.9999415330789343,1.0000581013173846,0.0006074188629144355,0.0006088156284981423,0.0,590074,590080,0.9999898318872017,0.9999999999999998,0.9999415330789345,0.0006074188629144352,0.9997547817557626,1.0,1.0,590074,0.9999999989265316,4.069587227823195e-08,0.9999999978004275,0.0006102259500782352,6.119168298722715e-05,0.0,0.186683466946519,0.1866727608812949,0.9999424683970841,1.0000571691839177,0.0006047033060275453,0.0006061284204777754,0.0
model.dec.16x16_block1.norm0,0.007779203049958385,0.007779197462108125,0.9999999999342125,0.9999992816279512,1.00000071824099,1.1470602583361442e-05,9.874519129492534e-05,0.0,1024,1024,1.0,1.0,0.9999992816279512,1.1470602583359655e-05,1.0,1.0,1.0,1024,1.0000000007096554,4.038682763759866e-08,1.000000000942301,1.1491065606883118e-05,1.2880616005312e-05,0.0,0.007779360080847963,0.0077793523311558066,0.9999990037919356,1.0000009961655847,6.593356626492829e-06,9.743067573110381e-05,0.0
