seed,nfe,metric,AA,AB,BA,BB,S_A,S_B,H_A,H_B,I_switch
3,1,kid50k_full,0.009248192168105605,0.009375203470345327,0.007992457455580571,0.008043297096784289,0.00012701130223972262,5.08396412037173e-05,-0.0012557347125250334,-0.0013319063735610388,-7.617166103600533e-05
3,1,fid50k_full,13.835489241221046,14.020961858113676,12.33907414725461,12.31556651146498,0.18547261689263017,-0.02350763578963111,-1.4964150939664354,-1.7053953466486966,-0.20898025268226128
3,2,kid50k_full,0.002383048014577065,0.002371269492617626,0.001519308688063063,0.0015262631885009917,-1.1778521959438827e-05,6.954500437928715e-06,-0.0008637393265140019,-0.0008450063041166344,1.873302239736776e-05
3,2,fid50k_full,4.739578902345868,4.748598218837585,3.349929973112133,3.3354508746860767,0.009019316491716722,-0.014479098426056325,-1.389648929233735,-1.4131473441515081,-0.023498414917773047
4,1,kid50k_full,0.008377642436186179,0.008308638375250255,0.00788343688876377,0.008077310726351365,-6.900406093592396e-05,0.00019387383758759542,-0.0004942055474224088,-0.0002313276488988894,0.0002628778985235194
4,1,fid50k_full,12.85485451393508,12.821878312770988,12.344646884122842,12.568670321947357,-0.032976201164093055,0.22402343782451517,-0.5102076298122391,-0.2532079908236309,0.2569996389886082
4,2,kid50k_full,0.0014504805417917823,0.0014272234343718686,0.0013394216069194192,0.0013897241882507559,-2.3257107419913728e-05,5.03025813313367e-05,-0.00011105893487236315,-3.749924612111272e-05,7.355968875125043e-05
4,2,fid50k_full,3.4410861447125516,3.4408231431011647,3.3053685625431033,3.3584121649771177,-0.000263001611386926,0.0530436024340144,-0.1357175821694483,-0.08241097812404696,0.05330660404540133
5,1,kid50k_full,0.007263862112737719,0.007265581225600599,0.007404218318318322,0.007538557503128139,1.7191128628803523e-06,0.00013433918480981744,0.00014035620558060322,0.0002729762775275403,0.00013262007194693708
5,1,fid50k_full,11.28010158203579,11.233922460740473,11.078298604100633,11.24877092875612,-0.046179121295317316,0.17047232465548667,-0.20180297793515756,0.014848468015646432,0.216651445950804
5,2,kid50k_full,0.0015413554779779607,0.0015431078691191113,0.0016627252314814819,0.0016866183302052128,1.7523911411505486e-06,2.3893098723730887e-05,0.00012136975350352116,0.0001435104610861015,2.214070758258034e-05
5,2,fid50k_full,3.3452280076739145,3.3316969217744643,3.487998283252626,3.5193407823529013,-0.01353108589945018,0.03134249910027531,0.14277027557871147,0.18764386057843696,0.04487358499972549
6,1,kid50k_full,0.01022894563125626,0.010602535910910904,0.00999091658252003,0.010009286488988987,0.0003735902796546432,1.8369906468957906e-05,-0.00023802904873623104,-0.0005932494219219164,-0.0003552203731856853
6,1,fid50k_full,14.866041857766842,15.278913613216055,13.558625400806466,13.585383007747653,0.4128717554492134,0.026757606941187007,-1.3074164569603752,-1.6935306054684016,-0.3861141485080264
6,2,kid50k_full,0.0018296976082332135,0.001909219900212714,0.0016132085904654691,0.0016065829441941964,7.952229197950053e-05,-6.625646271272729e-06,-0.00021648901776774435,-0.0003026369560185176,-8.614793825077326e-05
6,2,fid50k_full,3.9132197418645065,4.021006879876574,3.9132587914349943,3.9028682439007283,0.10778713801206763,-0.010390547534266048,3.904957048783686e-05,-0.11813863597584584,-0.11817768554633368
7,1,kid50k_full,0.009491306850913424,0.00968606058589838,0.011812746546233724,0.011993613019894909,0.00019475373498495548,0.00018086647366118494,0.0023214396953202994,0.002307552433996529,-1.3887261323770536e-05
7,1,fid50k_full,14.140186934036066,14.384463906718771,16.440444765454412,16.62936989266032,0.2442769726827052,0.18892512720590915,2.300257831418346,2.24490598594155,-0.05535184547679606
7,2,kid50k_full,0.0025924601557807624,0.002614203455955957,0.0023779450509884923,0.002377926741428922,2.1743300175194446e-05,-1.830955957031824e-08,-0.0002145151047922701,-0.00023627671452703487,-2.1761609734764764e-05
7,2,fid50k_full,5.036156757761265,5.069241752572953,4.649021654969701,4.63686673524241,0.03308499481168781,-0.012154919727290547,-0.3871351027915644,-0.43237501733054273,-0.045239914538978354
