# post-unblind descriptive
seed,source_A_fid_nfe1_512,source_B_fid_nfe1_512,source_B_minus_A,endpoint_AA_fid_nfe1_1024,endpoint_AB_fid_nfe1_1024,endpoint_BA_fid_nfe1_1024,endpoint_BB_fid_nfe1_1024,H_A_logfid,H_B_logfid,source_B_worse,endpoint_B_history_better_under_both_current_policies,descriptive_delayed_reversal
3,23.892576660764625,23.48012958590614,-0.4124470748584841,9.669405820296213,9.954666979340079,8.62396301808251,8.686351455868186,-0.11442213599788742,-0.13628848872181631,False,True,False
4,32.76883034937084,28.403680839522742,-4.365149509848095,8.293418813661093,8.537039295429613,8.240620718715078,8.522227290963617,-0.0063866152378535546,-0.0017365351685181274,False,True,False
5,19.725624472339653,25.331948729454204,5.606324257114551,8.379453301226578,8.488207911405944,7.708279530084881,7.783214036417319,-0.08348765902361288,-0.08670852765547732,True,True,True
6,38.08783499628684,38.98650478471191,0.8986697884250745,8.608455056024479,8.823104145953863,8.234427790786622,8.18673278440934,-0.044420990150811246,-0.07485886123692342,True,True,True
7,23.405597863266564,58.07857948502185,34.672981621755284,9.76113399886719,9.881176358732084,8.808817054314607,9.145345402103668,-0.10265542421456209,-0.07738651868869928,True,True,True
