seed,nfe,metric,budget_kimg,S_A,S_B,H_A,H_B,I_switch
3,1,kid50k_full,512,0.0,0.0,-0.0007459376826826833,-0.0007459376826826833,0.0
3,1,kid50k_full,640,0.0002137126926926563,9.110753503505792e-05,-0.0020195210260260405,-0.002142126183683639,-0.00012260515765759837
3,1,kid50k_full,768,4.7795900900855434e-05,-0.00016814169419419097,-0.0012543652127127323,-0.0014703028078077787,-0.00021593759509504727
3,1,kid50k_full,896,0.00013311974224224782,0.00019403479229233248,-0.001008298400900903,-0.0009473833508508184,6.0915050050084664e-05
3,1,kid50k_full,1024,0.0002268337462462567,0.00017271586336334646,-0.0007355707382382341,-0.0007896886211211443,-5.411788288291024e-05
3,1,fid50k_full,512,0.0,0.0,-0.4124470748584841,-0.4124470748584841,0.0
3,1,fid50k_full,640,0.2704268474213176,0.05724907921997513,-2.298837228528887,-2.5120149967302297,-0.2131777682013425
3,1,fid50k_full,768,0.11499259291063169,-0.22352884246373073,-1.6190339734204624,-1.9575554087948248,-0.3385214353743624
3,1,fid50k_full,896,0.21384044771663113,0.0410550011923938,-1.3388442353802965,-1.5116296819045338,-0.17278544652423733
3,1,fid50k_full,1024,0.2852611590438663,0.06238843778567649,-1.045442802213703,-1.2683155234718928,-0.2228727212581898
3,2,kid50k_full,512,0.0,0.0,-0.006851131423923934,-0.006851131423923934,0.0
3,2,kid50k_full,640,5.190317817846228e-06,-3.1402052052221727e-06,0.0006808291891892027,0.0006724986661661343,-8.3305230230684e-06
3,2,kid50k_full,768,-4.290487237237385e-05,-2.2022372372416336e-05,-0.00029721609109108183,-0.0002763335910911243,2.0882499999957515e-05
3,2,kid50k_full,896,-2.1829489489459718e-05,2.2638350850884108e-05,-0.00035056339339338137,-0.00030609555305303755,4.4467840340343826e-05
3,2,kid50k_full,1024,2.4859912412462113e-05,6.0684456956937435e-05,-0.00012488259759756148,-8.905805305308616e-05,3.582454454447532e-05
3,2,fid50k_full,512,0.0,0.0,-8.864628423299436,-8.864628423299436,0.0
3,2,fid50k_full,640,0.005723053088100727,-0.0158152859681433,-0.6203914105544586,-0.6419297496107026,-0.021538339056244027
3,2,fid50k_full,768,0.0069378500602703674,-0.04448965895312096,-0.270579338603405,-0.3220068476167963,-0.051427509013391326
3,2,fid50k_full,896,-0.005136076752881635,-0.018268436545769706,-0.19722066373054092,-0.210353023523429,-0.013132359792888071
3,2,fid50k_full,1024,0.05710487914274953,0.04131397552561333,-0.07618018479363453,-0.09197108841077073,-0.0157909036171362
4,1,kid50k_full,512,0.0,0.0,-0.0038187623948949083,-0.0038187623948949083,0.0
4,1,kid50k_full,640,-0.00014357648398396518,0.00017249134634634167,8.912690440444297e-05,0.0004051947347347498,0.00031606783033030685
4,1,kid50k_full,768,-0.00011707050550545817,0.0002404124899899945,-5.043738738695798e-06,0.0003524392567567569,0.0003574829954954527
4,1,kid50k_full,896,-7.472804054054448e-05,0.00022674222222224174,-9.376182182183578e-05,0.00020770844094095044,0.0003014702627627862
4,1,kid50k_full,1024,0.00011871757257254575,0.0002716985835836015,-0.00011552467217217696,3.745633883887878e-05,0.00015298101101105573
4,1,fid50k_full,512,0.0,0.0,-4.365149509848095,-4.365149509848095,0.0
4,1,fid50k_full,640,-0.2243367460233987,0.21758656255409115,0.13263098682328867,0.5745542954007785,0.44192330857748985
4,1,fid50k_full,768,-0.06559945034461379,0.2705785124528486,0.054295402280457594,0.39047336507791996,0.33617796279746237
4,1,fid50k_full,896,0.03622115082737487,0.2671253901668482,-0.018783105955652246,0.2121211333838211,0.23090423933947335
4,1,fid50k_full,1024,0.24362048176852014,0.28160657224853836,-0.05279809494601473,-0.014812004465996509,0.03798609048001822
4,2,kid50k_full,512,0.0,0.0,-0.0002932560710710596,-0.0002932560710710596,0.0
4,2,kid50k_full,640,-3.506166916909933e-05,5.964067817819797e-05,-0.000204949557057057,-0.0001102472097097597,9.47023473472973e-05
