seed,nfe,metric,budget_kimg,AA,AB,BA,BB
3,1,kid50k_full,512,0.017208107842842848,0.017208107842842848,0.016462170160160165,0.016462170160160165
3,1,kid50k_full,640,0.010203454772272275,0.010417167464964931,0.008183933746246234,0.008275041281281292
3,1,kid50k_full,768,0.008315224431931946,0.008363020332832802,0.007060859219219214,0.006892717525025023
3,1,kid50k_full,896,0.006870481679179156,0.007003601421421404,0.005862183278278253,0.006056218070570585
3,1,kid50k_full,1024,0.005999107735235234,0.0062259414814814906,0.005263536996997,0.005436252860360346
3,1,fid50k_full,512,23.892576660764625,23.892576660764625,23.48012958590614,23.48012958590614
3,1,fid50k_full,640,15.047251143677373,15.31767799109869,12.748413915148486,12.805662994368461
3,1,fid50k_full,768,12.677410137806895,12.792402730717527,11.058376164386432,10.834847321922702
3,1,fid50k_full,896,10.836304442869498,11.050144890586129,9.497460207489201,9.538515208681595
3,1,fid50k_full,1024,9.669405820296213,9.954666979340079,8.62396301808251,8.686351455868186
3,2,kid50k_full,512,0.009108384009008996,0.009108384009008996,0.0022572525850850615,0.0022572525850850615
3,2,kid50k_full,640,0.0014637498023022954,0.0014689401201201417,0.002144578991491498,0.002141438786286276
3,2,kid50k_full,768,0.0016107859934935006,0.0015678811211211267,0.0013135699024024187,0.0012915475300300024
3,2,kid50k_full,896,0.0013766696546546292,0.0013548401651651695,0.0010261062612612478,0.001048744612112132
3,2,kid50k_full,1024,0.0010535892067066743,0.0010784491191191364,0.0009287066091091128,0.0009893910660660503
3,2,fid50k_full,512,13.73743199051474,13.73743199051474,4.872803567215304,4.872803567215304
3,2,fid50k_full,640,4.270274590715882,4.275997643803983,3.6498831801614235,3.6340678941932802
3,2,fid50k_full,768,3.32183165127187,3.3287695013321406,3.051252312668465,3.0067626537153442
3,2,fid50k_full,896,3.064295375608123,3.059159298855241,2.867074711877582,2.848806275331812
3,2,fid50k_full,1024,2.866395993060456,2.9235008722032054,2.7902158082668214,2.8315297837924347
4,1,kid50k_full,512,0.024536297800300314,0.024536297800300314,0.020717535405405406,0.020717535405405406
4,1,kid50k_full,640,0.007126250405405376,0.0069826739214214105,0.007215377309809819,0.00738786865615616
4,1,kid50k_full,768,0.006217577695195173,0.006100507189689715,0.0062125339564564775,0.006452946446446472
4,1,kid50k_full,896,0.00539869715465466,0.005323969114114115,0.005304935332832824,0.005531677555055066
4,1,kid50k_full,1024,0.0049997911786786925,0.005118508751251238,0.0048842665065065155,0.005155965090090117
4,1,fid50k_full,512,32.76883034937084,32.76883034937084,28.403680839522742,28.403680839522742
4,1,fid50k_full,640,11.745997198609361,11.521660452585962,11.87862818543265,12.09621474798674
4,1,fid50k_full,768,10.198653922411369,10.133054472066755,10.252949324691826,10.523527837144675
4,1,fid50k_full,896,8.943642353203634,8.979863504031009,8.924859247247982,9.19198463741483
4,1,fid50k_full,1024,8.293418813661093,8.537039295429613,8.240620718715078,8.522227290963617
4,2,kid50k_full,512,0.0024688068118118144,0.0024688068118118144,0.002175550740740755,0.002175550740740755
4,2,kid50k_full,640,0.0019480942442442165,0.0019130325750751171,0.0017431446871871595,0.0018027853653653574
4,2,kid50k_full,768,0.0012113451601601629,0.0011539617517516945,0.0011269201476476474,0.0011947284984984935
