seed,AA,BA,CA,DA,H_T,H_W,I,H_J,CA-DA,BA-CA,BA-DA
50,2.409684319311822,2.329766817416968,2.3724920084327143,2.2826433509984123,-0.03719231087910746,-0.1270409683134095,0.08431577729766326,-0.07991750189485369,0.08984865743430204,-0.04272519101574623,0.047123466418555804
51,2.122820836372153,2.09064457561445,2.1629791333861568,1.965233225196312,0.040158297014003974,-0.15758761117584075,0.08525305340413425,-0.032176260757702746,0.19774590818984472,-0.07233455777170672,0.125411350418138
52,2.122007906790937,2.0170128996777814,2.0418194984419755,2.078056989370293,-0.08018840834896146,-0.04395091742064405,0.019144318656449943,-0.10499500711315557,-0.036237490928317406,-0.02480659876419411,-0.061044089692511516
53,2.3229067874591958,2.036334659315061,2.0331429470521067,2.0891815791138075,-0.289763840407089,-0.23372520834538824,0.23691692060834235,-0.2865721281441349,-0.05603863206170079,0.003191712262954116,-0.05284691979874667
54,2.007717229319107,1.9959494155755217,1.982126499983331,2.001341651289398,-0.025590729335775775,-0.006375578029708784,0.020198493621899516,-0.011767813743585043,-0.01921515130606699,0.013822915592190732,-0.005392235713876259
55,2.3243679525731804,2.250705174849093,2.2774152140203885,2.2567593061517752,-0.04695273855279192,-0.06760864642140518,0.04089860725010963,-0.07366277772408747,0.020655907868613266,-0.026710039171295552,-0.006054131302682286
56,2.3649618440164737,2.1439275736357573,2.1756055827780068,2.2457108073562644,-0.18935626123846694,-0.11925103666020931,0.08757302751795981,-0.22103427038071644,-0.07010522457825763,-0.0316780091422495,-0.10178323372050713
57,2.3276966360140046,2.157562590058502,2.325166176478798,2.1254266719769874,-0.002530459535206475,-0.20226996403701714,0.03466637761672109,-0.17013404595550252,0.19973950450181066,-0.16760358642029605,0.032135918081514614
59,1.9844620262033892,1.9952833792085132,1.9938309989326681,2.0345947515411695,0.009368972729278946,0.05013272533778035,-0.048680345061935304,0.01082135300512399,-0.0407637526085014,0.0014523802758450444,-0.03931137233265636
60,2.2539280603568344,2.186233039025812,2.334035879041014,2.1332639547778496,0.08010781868417949,-0.12066410557898477,-0.02713873443621706,-0.06769502133102234,0.20077192426316426,-0.14780284001520183,0.05296908424796243
61,2.0833868121625225,2.043068072779658,2.1311594569300527,2.0338643008211728,0.04777264476753018,-0.04952251134134977,-0.03856887280904475,-0.040318739382864344,0.09729515610887995,-0.08809138415039452,0.00920377195848543
62,2.294308440245941,2.1986809263439158,2.338120101588378,2.260107510760831,0.04381166134243708,-0.03420092948511,-0.10523824575935237,-0.09562751390202529,0.07801259082754708,-0.13943917524446237,-0.061426584416915286
63,2.39466888209124,2.4055512846069105,2.537444433101554,2.3181938992262805,0.14277555101031414,-0.07647498286495935,-0.05541816562968416,0.01088240251567063,0.2192505338752735,-0.1318931484946435,0.08735738538062998
64,2.3841187244755337,2.265779291722264,2.0349423747299795,2.291243735221376,-0.3491763497455542,-0.09287498925415782,0.3237119062464422,-0.11833943275326986,-0.2563013604913964,0.23083691699228437,-0.025464443499112033
