seed,path,E_512,E_KEEP,ONLINE
50,AA,11.296475632707905,11.578603617086628,14.085690626838721
50,BA,10.430931814356859,10.86741795714214,12.663646623690333
50,CA,10.885431381241343,11.113982941027707,13.867245045972043
50,DA,9.92265062977172,10.349017332024196,13.243559159087209
51,AA,8.432146984371972,8.626684612280917,9.47856230556588
51,BA,8.182396037196792,8.324244314061351,9.23810342203653
51,CA,8.808048996987383,9.007807515676777,8.804929890702988
51,DA,7.225238022887855,7.340904893515535,7.511227203262962
52,AA,8.461957566407218,8.824924911009731,9.45220476089104
52,BA,7.656776343138802,7.865071719978938,9.810909849789871
52,CA,7.835827628758137,8.098219288082108,8.761158288182335
52,DA,8.112412392774065,8.324261780258967,9.017613991994631
53,AA,10.364839839105326,10.734543902203736,12.990994417122348
53,BA,7.7534780282102895,7.951943482365983,11.913475692449406
53,CA,7.760512318880979,7.855934294991899,9.84363998312271
53,DA,8.212511242657838,8.450151050817457,9.552013810380224
54,AA,7.538446869264945,7.753431210514398,9.545475380788496
54,BA,7.4324198763921,7.636185566665407,8.575430250767125
54,CA,7.329559620155369,7.54596850390476,8.813744335369368
54,DA,7.473532137842479,7.686634712706992,9.902503211202527
55,AA,10.386523244030014,10.736464267073018,10.085965982306824
55,BA,9.644065072474561,10.090462865660289,11.486013895656512
55,CA,9.916470520218525,10.282988020145421,11.475905002299113
55,DA,9.712497150575743,10.149282489532656,10.728092940340204
56,AA,10.810300562393055,10.988177620440265,9.485397133151961
56,BA,8.636677626960987,8.839147903238782,7.479495548076768
56,CA,8.863430675600386,9.106343542815093,7.8231533838053835
56,DA,9.565170973851746,9.74184695121042,8.909148928883384
57,AA,10.42297198405557,10.604402586024896,10.3915049762659
57,BA,8.781471885142906,8.925365043206789,9.517498272438838
57,CA,10.402213399342383,10.481942556435365,11.100776133803961
57,DA,8.523732810526207,8.753813591250342,9.001907239382195
58,AA,,,
58,BA,,,
58,CA,,,
58,DA,13.981942019609178,13.488183594909867,11.845124700691375
59,AA,7.378742979129972,7.548128910977976,7.889550390342402
59,BA,7.428875471298863,7.609743624255898,8.134412232558677
59,CA,7.425814813856487,7.547300373763943,8.55867852217089
59,DA,7.745805044143795,7.900120113884999,8.545221812491473
60,AA,9.642025828660099,10.238750698976563,9.60217575540982
60,BA,9.049206222741255,9.692501250450462,8.297416734359084
60,CA,10.493350058887096,10.933216263006756,9.950582234359029
60,DA,8.534958305201997,8.838283929077576,8.204651983715701
61,AA,8.147045376068444,8.371341839038346,8.710723813228544
61,BA,7.848535341546275,8.029181623892933,9.896393005519522
61,CA,8.506753778556245,8.769437339453,8.701044021177534
61,DA,7.763797826963749,7.989864511855066,8.152803714789783
62,AA,10.046522176936246,10.083757331290387,10.865856322761417
62,BA,9.17474274040767,9.591636587329285,9.78259000435619
62,CA,10.547297581372792,10.684921950520767,11.055039177769775
62,DA,9.680814044065494,9.767802891507635,10.065138282289004
63,AA,11.171937387267167,10.933716481155729,11.784315582905233
63,BA,11.320061821320127,10.938597409664203,13.521583649770577
63,CA,12.87565377068003,12.749790456197918,14.025504997163287
63,DA,10.315737716680083,10.419712512719245,10.503125259805918
64,AA,10.971674789571553,11.405772045997804,12.000702622712971
64,BA,9.75897358581716,10.023825926764248,10.375794234111417
64,CA,7.71733012165888,7.974911054990345,8.23047470155178
64,DA,10.01697616309027,10.296407093202543,11.7106857031303
65,AA,,,
65,BA,7.5069277724640315,7.600044084678503,8.77752828053848
65,CA,9.309617506238826,9.65611164650392,10.546040564021837
65,DA,8.696227405981741,8.697520535114823,8.813545583526004
