path,readout,metric,n,seed_average,mean,sd,min,max
AA,E_512,FID,14,arithmetic mean of raw blocks,9.512503571506848,1.3491091487441509,7.2755189192219305,11.131339049296306
AA,E_512,KID,14,arithmetic mean of raw blocks,0.0059024376484255,0.0008827521508647409,0.004368776921182871,0.006820006451259057
AA,E_KEEP,FID,14,arithmetic mean of raw blocks,9.887764288147885,1.376435506681355,7.548128910977976,11.578603617086628
AA,E_KEEP,KID,14,arithmetic mean of raw blocks,0.006245384125837258,0.0009381855176058933,0.004595285281538963,0.007299470249563456
AA,ONLINE,FID,14,arithmetic mean of raw blocks,10.454937147877969,1.713211405021448,7.889550390342402,14.085690626838721
AA,ONLINE,KID,14,arithmetic mean of raw blocks,0.006589331830452595,0.001191438586061142,0.004673896357417107,0.009029336273670197
BA,E_512,FID,15,arithmetic mean of raw blocks,8.579623332664045,1.1576623966560355,7.354524382540551,11.085772727834927
BA,E_512,KID,15,arithmetic mean of raw blocks,0.005184456198993656,0.0007244370326184979,0.004345554703225692,0.006700044808288415
BA,E_KEEP,FID,15,arithmetic mean of raw blocks,8.932357957290348,1.1896410126666153,7.600044084678503,10.938597409664203
BA,E_KEEP,KID,15,arithmetic mean of raw blocks,0.005498188951363166,0.0007869367824253255,0.004544587805867195,0.006686157081276178
BA,ONLINE,FID,15,arithmetic mean of raw blocks,9.964686113074622,1.7454378018980603,7.479495548076768,13.521583649770577
BA,ONLINE,KID,15,arithmetic mean of raw blocks,0.00619971767688791,0.0014120066969288436,0.003897780552506447,0.008519506081938744
CA,E_512,FID,15,arithmetic mean of raw blocks,9.118459162817947,1.5440684003719474,7.258430539019369,12.648326255748884
CA,E_512,KID,15,arithmetic mean of raw blocks,0.005565600624928872,0.0010383174528109996,0.004316052266707023,0.008009310501317183
CA,E_KEEP,FID,15,arithmetic mean of raw blocks,9.453925049834385,1.5526495705916143,7.54596850390476,12.749790456197918
CA,E_KEEP,KID,15,arithmetic mean of raw blocks,0.005852470050255457,0.001067991315713436,0.00449956301599741,0.008152592927217484
CA,ONLINE,FID,15,arithmetic mean of raw blocks,10.103861085431468,1.9241200052336562,7.8231533838053835,14.025504997163287
CA,ONLINE,KID,15,arithmetic mean of raw blocks,0.006215110824753841,0.0014499706720686684,0.004035073332488537,0.009301588870584965
DA,E_512,FID,16,arithmetic mean of raw blocks,8.961682232387622,1.5992346352422766,7.1369020967321575,13.718816164314667
DA,E_512,KID,16,arithmetic mean of raw blocks,0.005491947939541812,0.001101575929336391,0.004235729264716308,0.008875556600590548
DA,E_KEEP,FID,16,arithmetic mean of raw blocks,9.26211299897427,1.520223572050036,7.340904893515535,13.488183594909867
DA,E_KEEP,KID,16,arithmetic mean of raw blocks,0.005756413622293621,0.001063022377185542,0.004383601248264313,0.008780207484960556
DA,ONLINE,FID,16,arithmetic mean of raw blocks,9.731647720310805,1.5535287576863244,7.511227203262962,13.243559159087209
DA,ONLINE,KID,16,arithmetic mean of raw blocks,0.006043375673471019,0.0012071507842249883,0.004097456112504005,0.008528554812073708
