seed,nfe,aulc_B_minus_A,aulc_C_minus_A,aulc_D_minus_A,aulc_interaction_B_minus_C_minus_D_plus_A,endpoint_B_minus_A,endpoint_C_minus_A,endpoint_D_minus_A,endpoint_interaction_B_minus_C_minus_D_plus_A
8,1,-31.802809496057094,7.35221876429916,-33.53367227698679,-5.621355983369462,-2.704593777696477,0.887411790500714,-2.0487415298475398,-1.5432640383496512
8,2,-50.84853855869746,2.6582581109823735,-47.56914771533245,-5.937648954347381,-0.4440211057168115,0.3506560892436319,-0.5574962407638653,-0.23718095419657814
9,1,17.24519572615168,-0.3849208980783594,18.19589606906266,-0.5657794448326179,-0.3476148104690058,-0.04561707381116342,-0.10321077722548466,-0.1987869594323577
9,2,-8.73764904752667,3.9071136944194294,-9.697701375021524,-2.9470613669245793,-0.01087785762260518,0.09658639660671842,0.17669785429882712,-0.2841621085281507
10,1,-5.155685517635668,-0.4548163934750278,-6.368123899430451,1.6672547752698108,-0.7795691011231254,-0.4970705193694993,-1.1656190778282047,0.8831204960745787
10,2,-1.327335765343146,-0.5261761149445325,-1.5608223384608912,0.7596626880622779,0.15162389652618824,-0.016494764376729698,0.06546195219664108,0.10265670870627686
11,1,-12.303137282661176,3.6354111887579563,3.171748377492378,-19.110296848911517,-1.3430337085122552,-0.6107088495156017,-0.531770114926422,-0.20055474407023155
11,2,-5.307440526678726,-2.248195448296576,-1.3131283620836722,-1.7461167162984772,-0.03157507014925143,-0.07288318030504604,-0.0673935491678388,0.1087016593236334
12,1,-1.7032665042974031,-0.22830477860039622,-4.576470304240878,3.1015085785438714,0.24704704371503805,-0.2008320360617306,-0.11142419179919383,0.5593032715759625
12,2,0.07489266618746449,-0.6343446368458423,-0.8181470271220901,1.5273843301553969,-0.22421631102701056,-0.17403046246905518,-0.23040612070149713,0.18022027214354175
13,1,25.022925350947887,0.6424885880328652,16.44718163304711,7.933255129867913,-1.648482955363356,0.2745501305585396,-0.9984703626288862,-0.9245627232930094
13,2,-17.181648827311484,-7.9396086844142175,-8.15520874145816,-1.086831401439106,-0.2245007309648943,0.03723175099709497,-0.07730916659565379,-0.1844233153663355
