seed,arm,budget_kimg,nfe,mid_t,fid50k_full,kid50k_full,checkpoint_sha256,generated_feature_sha256,receipt_file
6,D,896,1,,8.996437069813789,0.0058074657757758085,4f558c846593312fae481f7b797017bfa6474fecbfb41a51c0d2c35cf4a193db,c786cb37e45ad872c1302a651a42e17bc58d40dc963085a7d87880a74ad9b4a9,seed6-armD-k896-nfe1.json
6,D,896,2,0.821,3.1979287196535444,0.0011302455805805767,4f558c846593312fae481f7b797017bfa6474fecbfb41a51c0d2c35cf4a193db,bf46c534273a59ed8322f838290eef72bd45a25f952f4e27bc40b4900f121e6a,seed6-armD-k896-nfe2.json
6,D,1024,1,,8.091570137932749,0.005125175287787797,cbf851078bf6166764e4830e56c0880ead6ecd0100bc520798ed4f4159eb6be1,2a363682997c9b4387452af5df575ecf9ee106abbc1d86eeb09d3353c58e4f53,seed6-armD-k1024-nfe1.json
6,D,1024,2,0.821,3.010968109498022,0.0010446151651651826,cbf851078bf6166764e4830e56c0880ead6ecd0100bc520798ed4f4159eb6be1,99bf30f71a12a093fbc63f045f693d3c1d57639315392fc16377407537bce29a,seed6-armD-k1024-nfe2.json
7,C,384,1,,254.84617753845285,0.2643038163238238,ae7d9bf12a155ba01ef19a7ffec0631bfb23bbbf8985ea817e312d2e0f6a2dd4,411b73c17ab4b7bfa9b573fc6f29d0d5ccbe8263d8fa255f34404a0761d01146,seed7-armC-k384-nfe1.json
7,C,384,2,0.821,128.32932765606023,0.12594671602602608,ae7d9bf12a155ba01ef19a7ffec0631bfb23bbbf8985ea817e312d2e0f6a2dd4,24d6f06228e9152295840d7d0932f5bcae6e46af28aac369696a89f26cd1ccb4,seed7-armC-k384-nfe2.json
7,C,512,1,,23.37745732527413,0.01680457567817817,92aef494359a441c84621bfc296eb7bfec860b3a1c04e461205a8600da2662f2,db26684ec3f9563ce7d6f1afac3f60a42396122857bbad174598cdeadf58d72d,seed7-armC-k512-nfe1.json
7,C,512,2,0.821,14.83111944380568,0.010058847487487461,92aef494359a441c84621bfc296eb7bfec860b3a1c04e461205a8600da2662f2,90a01a099747cda57d63834e4e2c0ac5020b0c45b91b3383cc86ca57c5fea0e4,seed7-armC-k512-nfe2.json
7,C,640,1,,17.373674812358608,0.01190330026026028,25ee28fabd9634f4d8b50883e62af9a9a47a3a3c6fdf4d4ca4c8174efe517cf6,83f0bcb0a20af278dfc1c3eed7843ef41bfb8bcba0305a584631cb6db85b993e,seed7-armC-k640-nfe1.json
7,C,640,2,0.821,4.809331544264281,0.0018055067067067013,25ee28fabd9634f4d8b50883e62af9a9a47a3a3c6fdf4d4ca4c8174efe517cf6,d960f11a5a56adafcaba5d2c96236bc94660aa5133fdf28354d5c65bc9c99f33,seed7-armC-k640-nfe2.json
7,C,768,1,,14.16999064843808,0.00940971641391394,1f4f7136a968599a7e2d9d098062560841f6b166037d9a05c3a9bea014846410,5429ca54e548d5e72e1c1e116b9f5372646e551d7801c6a486f1e89abd02f73c,seed7-armC-k768-nfe1.json
7,C,768,2,0.821,3.7761069968211864,0.002044515623123143,1f4f7136a968599a7e2d9d098062560841f6b166037d9a05c3a9bea014846410,702bfb0458f431b0a6ba587b71ec06a8ddd6ec1f5049667e3a1ea8ccf1a3f3d9,seed7-armC-k768-nfe2.json
7,C,896,1,,12.298610924863885,0.008016705580580588,f50ab4f1f25a61747f8592496cf5f69f619fabc4eedafc64150979ce65e54df9,782390ff1ab64ca7b02dcd3dc8693a78757b2256c57f26b6b3cb1e4d8742e815,seed7-armC-k896-nfe1.json
7,C,896,2,0.821,3.3105087998215534,0.0015134539639639706,f50ab4f1f25a61747f8592496cf5f69f619fabc4eedafc64150979ce65e54df9,5525de2ea65921658d415f9fae9d22303f9a55f9f8c84a5805962f4bee25e7c1,seed7-armC-k896-nfe2.json
7,C,1024,1,,10.840064696982726,0.006930348313313362,b374e72c8fe6eb84dd11ffabf5aebaff941f33e9ec9a3f5ac509ed06ab446420,d8a5dfff69dcfc8438b9bd184d4db380f2ff09f12d52c7f0ef9867135183b35d,seed7-armC-k1024-nfe1.json
7,C,1024,2,0.821,3.0824037850700376,0.0011544440140140112,b374e72c8fe6eb84dd11ffabf5aebaff941f33e9ec9a3f5ac509ed06ab446420,f072ec90fb3a3e6bbcb265ba3d85e645a5587b8e4423daea3f5113b214d4c734,seed7-armC-k1024-nfe2.json
7,D,384,1,,245.94977855978112,0.24877951732732737,8940e0dc9a27c9880e2f95c48118766895ec601c6d30fa80f02b4762e221868c,4afdee82618afbfebf4a90df67918682c49caa907cd4004283c25f887b188927,seed7-armD-k384-nfe1.json
7,D,384,2,0.821,39.768589838120825,0.027821931664164162,8940e0dc9a27c9880e2f95c48118766895ec601c6d30fa80f02b4762e221868c,e630b383e0db20b1182c6e72027e5edc57a1f1fdf2c02e3a2eb8d67fdacccf15,seed7-armD-k384-nfe2.json
7,D,512,1,,28.046932163322747,0.020194631559059074,ef19b4173ee6deddc003fe5aa88dcddf88e681fed4823f1635cb9c2bb007fcc7,6aebe2b98f80eddfc713a655988d9978133a287a70e50bc988cc29bb5aa5c743,seed7-armD-k512-nfe1.json
7,D,512,2,0.821,4.718524499627418,0.0019346492142142233,ef19b4173ee6deddc003fe5aa88dcddf88e681fed4823f1635cb9c2bb007fcc7,4d46c8d758c7fdff7217f3aa1367e377d05f634729ac28f37bdac45eccb0e1af,seed7-armD-k512-nfe2.json
7,D,640,1,,13.363877509984743,0.008456863363363367,205c3118a9fb8359257a19e74438a65c6eab427c94c310646f5192ba20287816,92de04646ae9728922deb953faea457a17af5f4207eaf92f0a09283dbc6ec5b0,seed7-armD-k640-nfe1.json
7,D,640,2,0.821,3.7711180892893834,0.00208202018768769,205c3118a9fb8359257a19e74438a65c6eab427c94c310646f5192ba20287816,ee5db4f61de0f93c03be76dd2c4c28f00b5c15a84f537226e8c791947955f349,seed7-armD-k640-nfe2.json
7,D,768,1,,10.94158412078045,0.006836349657157139,bb224dc8690db97524b6844efa05334bf9c4ea74be81dc445fdc9040bfcfbf28,20c84d5deba69fbcf9ef2ac90cdd0bdc8a70a3ed7e716c2db01ee882381db61b,seed7-armD-k768-nfe1.json
7,D,768,2,0.821,3.1767017179814916,0.0012656848723723532,bb224dc8690db97524b6844efa05334bf9c4ea74be81dc445fdc9040bfcfbf28,3c20d23e0d0e4e669c8bafd2202433e922044f5a9f94056adccb8db8b2d8d082,seed7-armD-k768-nfe2.json
7,D,896,1,,9.29914308349532,0.005650402404904894,a2ba7abf42e5cd519af47abd6817534a7b85918c9e66dde95e254f870117caeb,d05775f4507067b0a1d457436357c45295aef69921e84827152052e2d43631de,seed7-armD-k896-nfe1.json
7,D,896,2,0.821,2.917323930356979,0.000949379634634638,a2ba7abf42e5cd519af47abd6817534a7b85918c9e66dde95e254f870117caeb,19e8e71fe6db9a18b1bfe462d1c8cae83c6d9ee6d73d24884b1e049fa377f750,seed7-armD-k896-nfe2.json
7,D,1024,1,,8.281204636381073,0.004974924544544538,b082e6ad964cbf386a025d7049bb83b807451cc350fd9ed545bd39f5e00ded56,9c5f0237fb758054b1b1fcfa05b42c50a91fe5078458d5f592a1f5883fae9f36,seed7-armD-k1024-nfe1.json
7,D,1024,2,0.821,2.758850474984556,0.0008355178503503886,b082e6ad964cbf386a025d7049bb83b807451cc350fd9ed545bd39f5e00ded56,102092977ade4ac3245001c40d89b34591ae73fddc7f37f0616526e3401aa418,seed7-armD-k1024-nfe2.json
8,A,384,1,,270.3907792292257,0.30193476344094095,a5b058eb7a027a944d0f6c94cb897dc932de6985577917f5c06c22fe8d5d0170,bd16f5b83a5171e5da6c1c51ecf4f2eaae73dbc94a8fc18146d92cd34fb1069a,seed8-armA-k384-nfe1.json
