training_seed,arm,gap,learning_rate,nfe,fid5k_full,kid5k_full
4,A,1.0,0.0001,1,254.268886915,0.256900081
4,B,1.3,0.0001,1,216.830627000,0.212990770
4,C,1.3,0.00012963523762588692,1,221.916654312,0.216963351
5,A,1.0,0.0001,1,255.712541000,0.257707144
5,B,1.3,0.0001,1,237.904313744,0.236121348
5,C,1.3,0.00012963523762588692,1,223.178866205,0.218064849
