arm,training_pass,training_scientific_failure,training_technical_failure,NFE1_pass,NFE1_failure,NFE2_pass,NFE2_failure,amp_skips
AA,12,0,0,36,0,36,0,155
DA,12,0,0,36,0,36,0,156
A_startup_down5,12,0,0,36,0,36,0,155
D_startup_up5,12,0,0,36,0,36,0,152
