seed,AA,DA,A_startup_down5,D_startup_up5,H,M,C,S
401,2.039012548853378,1.9862943997554277,2.0298429156819693,2.1202930674849747,-0.05271814909795025,-0.00916963317140862,0.13399866772954705,0.07158415045047783
402,2.2238552835045726,2.02446041525511,2.0301020460546746,2.1862081669753706,-0.19939486824946284,-0.19375323744989803,0.1617477517202608,0.1777504945850794
403,2.371684725375933,2.340560420647123,2.3405108772353063,2.3898519907876548,-0.031124304728809893,-0.031173848140626514,0.04929157014053187,0.04023270914057919
404,2.2070526045812966,2.0127983199387174,1.9798968738046698,2.2930937333274284,-0.1942542846425792,-0.22715573077662676,0.280295413388711,0.2537255720826689
405,2.066056489132453,2.046341466418763,1.9803195047140723,2.061808353946161,-0.019715022713689745,-0.08573698441838062,0.015466887527397777,0.0506019359728892
406,2.0812673981700645,2.0769784444697925,2.0248432024607577,2.0624803707506056,-0.004288953700271936,-0.05642419570930679,-0.014498073719186877,0.020963060995059957
407,1.9727218243900928,2.063917149028715,2.0300462123275924,1.9981803581115407,0.09119532463862234,0.05732438793749961,-0.06573679091717444,-0.061530589427337024
408,2.203572832997722,2.212162346408833,2.2411311988808156,2.1786464371235925,0.008589513411110694,0.03755836588309336,-0.0335159092852404,-0.03553713758416688
409,2.1248706101196753,2.0765402117961385,2.0448743063862573,2.145472860800214,-0.048330398323536805,-0.07999630373341793,0.06893264900407559,0.07446447636874676
410,2.0668426126569956,1.996789106597266,2.001173373494413,2.092345668897097,-0.0700535060597296,-0.06566923916258283,0.09555656229983112,0.08061290073120697
411,2.294320287571948,2.271146777619205,2.3010066811329133,2.342757335820109,-0.023173509952743032,0.006686393560965342,0.0716105582009039,0.032462082319969277
412,2.5549378718518714,2.293558829290705,2.2586514620885896,2.427850161898777,-0.2613790425611664,-0.2962864097632818,0.1342913326080719,0.21528887118567686
