seed,AA,DA,A_startup_down5,D_startup_up5,H_percent
401,7.683018846175337,7.288475483156195,7.612890399152589,8.333579431007802,-5.135264808253703
402,9.242896249958605,7.57202409344596,7.614863385898441,8.90139643265222,-18.077365701471848
403,10.715429642079458,10.387056052573087,10.386541455125073,10.911878764933098,-3.064492983247724
404,9.088888328184577,7.484231345442729,7.241996107145204,9.905535411187541,-17.655151266033474
405,7.893633031403754,7.739533902079191,7.245057445408376,7.860170937248382,-1.9521952529526043
406,8.014620195049163,7.980319469799065,7.57492312220995,7.865454879454144,-0.42797692735689896
407,7.190220395982663,7.8767639165163255,7.614438231563471,7.37562288845965,9.54829591756674
408,9.057316036893479,9.135449056384859,9.40396302545363,8.834340327123074,0.8626509130643001
409,8.371814190008722,7.976822999250977,7.728187093095545,8.546081388888398,-4.718107471008426
410,7.899840841757028,7.365368676695172,7.397731310141972,8.103901958001654,-6.7656067478820585
411,9.917692541856349,9.69050730141211,9.984228331757228,10.409900618215929,-2.290706628436334
412,12.870500012350908,9.910143507241749,9.570174717483935,11.33448855298065,-23.00109943101134
