seed,arm,snapshot,sha256,attempted_iteration
405,A_startup_down5,training-state-kimg000512.pt.sha256.json,13c690bc1df12f7859413e5b43aebb3f11b807e4d40e107f4257fed11747e5b3,4000
405,A_startup_down5,training-state-branch-init-kimg000512.pt.sha256.json,fc2e3c8232efa5fe48dd12190751be47f43058995f630dc9d87221da61f86122,4000
405,D_startup_up5,training-state-kimg000512.pt.sha256.json,4ab69367cdab73c3d8d546562c4758fbf5722deafc8078b0d6eb08278c1fa0a1,4000
405,D_startup_up5,training-state-branch-init-kimg000512.pt.sha256.json,d02af0e25519bb0402bffba8b62053086a63b2867aa09c276d7a5f006223761e,4000
406,AA,training-state-kimg000512.pt.sha256.json,d779b2487c6109ba2629408a7d76dbc01c1761e7d4f6a02689cf641a49b96702,4000
406,AA,training-state-branch-init-kimg000512.pt.sha256.json,755df70e28b460eebb1291684a2ad01cf2abf1ff9dac66e95fdab7387d081308,4000
406,DA,training-state-kimg000512.pt.sha256.json,a677fb868ae573e487f38f3b591fecefa4c2923497449d2766eb92d23fa31123,4000
406,DA,training-state-branch-init-kimg000512.pt.sha256.json,fcb51f48f61d8325d61f76f5362e027948616351f71312de97dfc6910b01507f,4000
406,A_startup_down5,training-state-kimg000512.pt.sha256.json,4e0839b1ed456ae426e589efbfe359bde4528e5f5a42e3389102230530ebc0df,4000
406,A_startup_down5,training-state-branch-init-kimg000512.pt.sha256.json,4966c074a83b0464a446b8b4d8be49768cd5fdd71d954acfe51cc748b1734fc9,4000
406,D_startup_up5,training-state-kimg000512.pt.sha256.json,968ba39c62e43a52c0b91a1eda636b9de092ff4f466d40f11bd400302e49da9f,4000
406,D_startup_up5,training-state-branch-init-kimg000512.pt.sha256.json,8f43c604de70a3d873b97404ca1f6b325ba2c68a12963bc79801fb767f41eef2,4000
407,AA,training-state-kimg000512.pt.sha256.json,540da19f832f29b1fe933ad7915db59f303b403dc3b7488bd0d8fad8d00c24fc,4000
407,AA,training-state-branch-init-kimg000512.pt.sha256.json,338e4a7461bf96ec4b37b657d41a7c04f2820a92634dbf25fefec7f2d0af8663,4000
407,DA,training-state-kimg000512.pt.sha256.json,170c4d624f1f9e86be637bda717ae5bcc737213f1c8e171383f29488a16f1e1d,4000
407,DA,training-state-branch-init-kimg000512.pt.sha256.json,75d92f84f945aaffc764f0d8cc87f7a1c065a400c2434efd18811b21be9da34c,4000
407,A_startup_down5,training-state-kimg000512.pt.sha256.json,fc04092793cd9a8628efb7230a1caed97adade6d90df9423ee397ac2b999dd3e,4000
