seed,A_down5_to_AA_norm_sum_ratio,D_up5_to_DA_norm_sum_ratio,first_common_attempt,AA_success,DA_success,same_stochastic_inputs,first_common_DA_to_AA_norm_ratio,within_0p1_percent_relative
401,1.1386487848245912,1.0641277267958458,9,1,1,True,0.9091203841272696,True
402,0.8350333825450634,1.4123120692424613,9,1,1,True,0.9090859988366918,True
403,0.9663957191659254,1.1358178875972045,9,1,1,True,0.9090974984459692,True
404,0.8851147612338331,1.1090140963174406,9,1,1,True,0.9090943001594356,True
405,0.9847278724707941,0.9369578224991031,9,1,1,True,0.9090763117610715,True
406,0.9164376120558433,1.0809315453042556,9,1,1,True,0.9090908689160483,True
407,1.058295622881481,1.015627432570502,9,1,1,True,0.9090671159974308,True
408,0.9044608473571525,1.1003799500323133,9,1,1,True,0.9090923825439597,True
409,0.8695536875712222,1.1619999623807504,9,1,1,True,0.9091056702672179,True
410,0.8816616395908472,1.120179221123405,9,1,1,True,0.909094968548821,True
411,0.9004375949230935,1.1121363458690583,9,1,1,True,0.9090959747189853,True
412,0.8378281673727301,1.186925391317646,9,1,1,True,0.9091076447546512,True
