seed,row_kind,training_trajectory_id,state_kimg,schedule_q,a_K_star,R_grad,s_K_star,c_K_star,R_opt,h_i_dispersion_on_support,h_i_off_support_candidate_energy,H_K_identity_check,scalar_history_a_star_mean,scalar_history_a_star_std,scalar_history_R2,scalar_history_corr,scalar_history_wRMSE,layer_a_receipt,layer_b_receipt
3,existing_artifact,gap_lr_matched_q128_s3_v1/arm_a_g1_0_lr_fixed_s3,256,128,0.7489278589383676,0.115157088181599,0.9575746752062235,1.0332704356489475,0.09895615462477861,0.09892150987484527,6.855422203971357e-06,0.09895615462477855,0.772624367957829,0.022881105280223045,0.7350111557928056,0.8582011322457552,0.029541921876891072,/data/raw/ECT/recurrence_of_ect_cross_seed_20260818/analysis/same_trajectory_longitudinal/radam_update_audit_stateful_k256000.json,/data/raw/ECT/recurrence_of_ect_cross_seed_20260818/analysis/real_history/k256/scalar_prediction.json
4,new_independent_training_trajectory,confirmatory-256k-seed4-fixed,256,256,0.614877927507085,0.27552869138225294,0.9390783782389021,1.0490870106744463,0.11519763478564284,0.1151633597004595,7.895642708928114e-06,0.11519763478564284,0.7674265716309419,0.07163508381062864,0.6386443949643812,0.809086359615058,0.04122266100212078,/data/raw/ECT/ect_runs/cross_seed_optimizer_geometry_20260818/seed4/layer_a/radam_update_audit_stateful.json,/data/raw/ECT/ect_runs/cross_seed_optimizer_geometry_20260818/seed4/layer_b/scalar_history_prediction.json
5,new_independent_training_trajectory,confirmatory-256k-seed5-fixed,256,256,0.8403510447983317,0.14858439329537357,0.9625652081767716,1.0294004001255816,0.0924223360061778,0.09239191252604019,5.622692619365048e-06,0.09242233600617779,0.8289706363528125,0.11628476858585542,0.0816771541335175,0.41987339846373445,0.07146659416232619,/data/raw/ECT/ect_runs/cross_seed_optimizer_geometry_20260818/seed5/layer_a/radam_update_audit_stateful.json,/data/raw/ECT/ect_runs/cross_seed_optimizer_geometry_20260818/seed5/layer_b/scalar_history_prediction.json
