training_seed,audit_batch_id,audit_seed,cell,gradient_mode,state_mode,a_star,R_grad,R_opt,control_update_norm,treatment_update_norm,update_norm_ratio,update_cosine,absolute_non_scalar_update_residual_l2,residual_norm_over_control_update_norm,finite_gate,branch_skipped_flag,source_state_hash,result_hash
3,2026081101,2026081101,A,observed,real,0.922529306742762,0.11245175282795888,0.07785777667258152,0.16169751143113936,0.1583518893926582,0.9793093783023005,0.9968346476178198,0.012589408733517847,0.07785777667258152,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,bf99a8d32d9f66b03bea796178de75f43cc0b0c586decc184e7dcea577acba1a
3,2026081101,2026081101,B,observed,reset,0.922529306742762,0.11245175282795888,0.43391241991741664,1.8136600646313716,1.8135641674900753,0.9999471250742262,0.9009440047424402,0.7869696275517767,0.43391241991741664,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,00baeb32428aaaf52d84537b8b812ec9a45d85cddc1140e2ac0eda84b6b7882e
3,2026081101,2026081101,C,exact_scalar,real,0.922529306742762,3.3881596506500287e-16,0.03166367656877449,0.16169751143113936,0.15913240117062508,0.9841363652550296,0.9994822804536668,0.005119937703931312,0.03166367656877449,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,817ce318fbc48319873ffdbc23836552f4805a727ba24f775cf7c33538f1c025
3,2026081101,2026081101,D,exact_scalar,reset,0.922529306742762,3.3881596506500287e-16,0.0005982790196209071,1.8136600646313716,1.81358853637273,0.9999605613752894,0.9999998210169743,0.001085074765393248,0.0005982790196209071,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,0b68e2efa5090e62c8b05f6268f4b80894d253efecdf8330af5d8796da8b7450
3,2026081102,2026081102,A,observed,real,0.8357114979409501,0.19420564692296902,0.07965587883768122,0.1589462616795568,0.15609954855671948,0.9820900907466673,0.9967052759697214,0.01266100416204915,0.07965587883768122,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,50573d1ce05a50f5f2df867fe5838ed364b174b77ab915d494bae56866f04d19
3,2026081102,2026081102,B,observed,reset,0.8357114979409501,0.19420564692296902,0.47686078792185027,1.8131364153227592,1.8130550634667746,0.9999551319717054,0.8789672246050282,0.8646136596206101,0.47686078792185027,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,d90bd60d6dadb3f62b76d31d710d34eb831962a7ada6eec8790dbde5278005e8
3,2026081102,2026081102,C,exact_scalar,real,0.8357114979409501,3.370498404344813e-16,0.059263341912773805,0.1589462616795568,0.15474607445332908,0.9735747970298573,0.9981455868321458,0.009419686651672792,0.059263341912773805,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,be7a995cf7d51bbd73b4d8f4c85620ec9b70b5211a0225a24c99e7d7ca34c6e6
3,2026081102,2026081102,D,exact_scalar,reset,0.8357114979409501,3.370498404344813e-16,0.0014252878353600601,1.8131364153227592,1.812960502622298,0.999902978783629,0.9999989840796552,0.0025842412766078743,0.0014252878353600601,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,ee9fcde58c1abc2bf832fec6a5161ef216942c6760b0d52cb89bb0c28873ebbc
3,2026081103,2026081103,A,observed,real,0.6678680943655977,0.2216608784317057,0.10603762376647133,0.15773538384459448,0.15513803419573127,0.9835335003120023,0.9941711991128238,0.01672588528677305,0.10603762376647133,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,d59043d54b48526e6133324db5f7719d9c7d2ae842c06e242f2360a699506445
3,2026081103,2026081103,B,observed,reset,0.6678680943655977,0.2216608784317057,0.5500503122552424,1.813132844372498,1.8129848330310898,0.9999183670728442,0.835101940472888,0.9973142872073284,0.5500503122552424,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,14374e51cf823dc554b0cd867d3042d08119fcd983324a40bfeefef169201579
