training_seed,cell,gradient_mode,state_mode,audit_count,median_R_opt,min_R_opt,max_R_opt,median_absolute_non_scalar_update_residual_l2,min_absolute_non_scalar_update_residual_l2,max_absolute_non_scalar_update_residual_l2
3,A,observed,real,8,0.08302803446060611,0.06927482227020544,0.10829617834343658,0.013258537877819991,0.010824042332477371,0.0176317010002223
3,B,observed,reset,8,0.47700313334098376,0.43391241991741664,0.5500503122552424,0.8649497102704455,0.7869696275517767,0.9973142872073284
3,C,exact_scalar,real,8,0.07035008483302636,0.020766938458596437,0.16953338571415985,0.011239889814237838,0.0032337522364267574,0.027601730847675726
3,D,exact_scalar,reset,8,0.0017081356636346671,0.0004998549902528834,0.004587466792164866,0.0030975737840768887,0.0009064587722612332,0.008319858507282535
4,A,observed,real,8,0.08776200498221767,0.0716465641074634,0.13388660976480674,0.012694717202304997,0.010323083996381105,0.01987749397199835
4,B,observed,reset,8,0.4907355273196695,0.4582345733983861,0.60615358744797,0.8900828741075517,0.831080548826275,1.0994028856744429
4,C,exact_scalar,real,8,0.07718695476397108,0.04509753884479777,0.0999134235053001,0.011108634637993074,0.00731961810160012,0.014399980077524938
4,D,exact_scalar,reset,8,0.0016351825713696376,0.0006416204049874322,0.0022936330572823184,0.0029655351752650777,0.00116381878327134,0.004159906890375478
5,A,observed,real,8,0.07405206278997031,0.06318018261998941,0.08931871831421324,0.010781964743132196,0.009214754839716148,0.01295956319172537
5,B,observed,reset,8,0.46690962424559646,0.3858700384078611,0.5217397163498937,0.8470890146046712,0.7000778795410728,0.9465629175386121
5,C,exact_scalar,real,8,0.048854513710127105,0.009484083249210648,0.1048883683532635,0.007112341620014092,0.0013728147508201662,0.015218617815016046
5,D,exact_scalar,reset,8,0.0006023373274335998,0.00010963284934869334,0.0012799691353130927,0.0010927884286253235,0.000198900690297413,0.00232222204443524
