seed,arm,nfe,mid_t,fid50k_full,kid50k_full,status,checkpoint_sha256,receipt_sha256,generated_feature_sha256,generated_samples_sha256,artifacts_tree_sha256,process_log_sha256,completed_at_utc
15,B,1,,8.260723988693293,0.005338630905905907,PASS,e2bf8232149a7d4dfe4d3aa59a89e470659324657fbe03761f80bd2d27a8e9b5,8c8f5b80df68af86bfaee13b77fbdfc3de39198b8aee3966be652616bb5362a3,40cc52f2c3438912b1c0024608d76cfae556c0e239ea5933609958756bd89c79,99d01d0554fa35d36b7756a4944e681324cef9376fba637569ed806c1cc008d0,e028f7ddee524470f4573e96312a3dd15c707b10c0d8556465c0ca69eb3f366b,df6814d68b6bf0bfb0d805c58ea36bc4069fa856c53e38fb61d7e864a3a0e6b7,2026-08-22T03:45:21.435310+00:00
15,B,2,0.821,2.761589025264778,0.0009775980005005066,PASS,e2bf8232149a7d4dfe4d3aa59a89e470659324657fbe03761f80bd2d27a8e9b5,2e6222f6280e9b2773a87ddf2a476b4493bdefb1e321fec6eec4b1ea9ff57c3e,aa30455ff601a19228122acb5eb488a412390526384c2abcc97c6477fcab6cf2,0005db20accc045d21a835f7380b0265b02621372ceac51773bce0b2caa40ab8,eb7edd2328b3698e203af5d8bf934b53ff983aed144a7dd3eca7e3c6ec613a04,b5d216b69a52c131653631a4854caff11acdd4507a26fec8a49e554eb3a889c7,2026-08-22T03:49:32.442715+00:00
15,C,1,,8.358430358312319,0.005363982872872875,PASS,882581832d9a569f5154797703862240078068e03b236d923d7a73a3a1fe3aca,bbc979499e50dcda70047b1d0e36587218f1993670d1f1ed6d25a57cf22a55fe,b9fcf1d8c9a8cb88441d8931c1553fe3a7ee3771946821a48290e2a107993e66,569c78cdba16577a21cc09fd516df2bf41d8d61a428a1015e212d74e879e4265,d37c6d037d85c1f58a75529fdfe92c107b964221f197ca5d6627caf2982c67c2,8fa78dad2b3604fe449783014726c37908199932aa5e9af9ee27bc5b2bc1caab,2026-08-22T03:52:38.914824+00:00
15,C,2,0.821,2.73811980767946,0.0009716990515515636,PASS,882581832d9a569f5154797703862240078068e03b236d923d7a73a3a1fe3aca,702f429e8f540fdddfe7695d9b73ad6a146db5b68e8433194cc33ea9a7bf445f,41f2bdf209ee2b23245b9ab657ca5a0ea842ffbaf38510a46de8ac59adf53555,cd4905251fde8366ecd7ba055683518938205aad2a6ba3ab2c093ca66476dbec,22a7c89d8f015e070ea568c82d651cf80c5811216004edfab39298d80ecfca1f,608a608859b8983a3595e902ab80374cc8e6dfb943c248057c2e96c531ac334c,2026-08-22T03:56:50.248389+00:00
15,D,1,,8.400500919852528,0.005311211679179146,PASS,b1cb413e04832db8fc5444fd62c52b53420b1d14e1c66be520663ae30da58ee4,a2c5b4fe06053f4b77b4ae0da01d45c3f22de2b422fd02e0b1cea07470f64380,677ae03ea387d89e2320b2cfac4ae2dbbb3db3f7093e1dd54f6fdcbd571d5318,92c7bab1c6ef1e2d262e05764441710b8c278d3843f0435bc691af02a3630d1b,aeaafd64d1b82417dc166dfe03b32b7b779ba5128cfe716311a4d8fc108d682b,23399b474a33d8e90e9adbb8d0f505f28e5915e52299ea8a9a732cf583bfa18e,2026-08-22T03:59:57.095923+00:00
15,D,2,0.821,2.6982009708846415,0.0009456035260259978,PASS,b1cb413e04832db8fc5444fd62c52b53420b1d14e1c66be520663ae30da58ee4,c64aa34ab954a9f8270793d9a5d617e453251310a02dbdc189f34dd3c2df9990,9bff642ff782c0977d3157784c5001df78fd02d36bff60307fffe6f080a13aa7,b03c28de8860a25d99aa12a7c553a11cfc3409a5f8b2a373658528d32022eab7,a9aec3b1bb5f67e331f0942dd16ce6edbf96450239622eb2cce18e34fae8f463,7efbf3afa6cd8dcc7e7e9db5620c0dc00dfaddd4d559e2dd3ab480b0ffef4985,2026-08-22T04:04:08.286455+00:00
16,A,1,,13.12803491466417,0.008191012457457418,PASS,81ef6be06a89c4dfc90396e4e6da262a141c805440d43775528131cdbb4eaaf6,292849ddd6b23121e3ff94c86e36ec277941c6c1763fa8993b8030a2f163dd75,6a9e4d6bf77a8017318ac9febc04bf4baca73b113207394b520589f362994e7f,88e3198e261a8ed4a85cf57dd3207cdc1c4b2b882a894f0e79abb00f9497ef57,7d665d0e3557c594a9cc70b2fe84c4da387542d983f884062d8ca811071880ad,ba384ed4ec30db602638e55fb5a56766db3093399e8f2c5e788419f7fcdc9653,2026-08-22T03:47:28.719254+00:00
16,A,2,0.821,3.5809374082852474,0.0014716621896896731,PASS,81ef6be06a89c4dfc90396e4e6da262a141c805440d43775528131cdbb4eaaf6,1a499df3c0c9f4afcfc9945a237dd19aea25c3f08acf4c902fbd831ebc3391b2,07db17e27f165969354ae2ca7874a2f5289373a973f17048b940a4e6222d85c2,0c3250b8d50ca70bd6c643f25a028187837c02c3726a90a1cc0f674091c131fb,d54868569c765668ebf5ce9cd49eb669341d399028177ff50849e476875c2641,1d92444d07afc5d21079f3c5ca07d6cfe1a33e2491fc3ed00a2f1377c956eabf,2026-08-22T03:51:41.155103+00:00
16,B,1,,10.915391734107999,0.006604127905405399,PASS,09d9be2242e688c519f6f0f1b0267fa9803037e5890ff0ab5734769c690b7869,1fecfd1265ab792e0948992dc3f8710cc4882f082a8dffa21c9cd45b89f12d13,f69b54bfef44a33b4e3398d565d225893b3a4304453b87cbcc06770439f8bed5,8a95c86a9d83308f9f903aa56083864b6d09db00987ceaca48fd65885760c48c,8ead36b5e0678af96226f71dc4aa77e4194175a862154093a6945be01947a49e,f3752b71c1673db860293ad763b79c63160ea5aeceaec4f3e5a422c86f12b437,2026-08-22T03:54:44.360591+00:00
16,B,2,0.821,3.2843335092976442,0.001658054842342326,PASS,09d9be2242e688c519f6f0f1b0267fa9803037e5890ff0ab5734769c690b7869,59aa4640ef10668c628f73a642fd258bb8b5687c276fcd58e6332860270e58eb,3f12ad250137db3cb7babba1b7d08d6d2e2cd55d0441625ef25e601754d920be,e1a3060d6b6775d87ecc42e36879702f37aa0c1a4b9d4b6954ec6d7bc68df70b,4782e7f0fd17a78678b71aef58edb8017299c4335812418c1c22396d23aa9fe8,705b6fadabb97c28fd1164a52b1c1a971d1b2793b92b976a88ae18406ef4f3a5,2026-08-22T03:59:00.684319+00:00
16,C,1,,12.952890184190988,0.008287585230230215,PASS,bf04a54ffd53ca1bc022149d292983f977a2604b4b367863d108eb4cf5c50ebd,b67e38ab778033d602664ac66559cbcf2fb6d370b21a53de39390f153826aef5,4e1ff7638f825abfe27f1b1ac1d04d223a96c85353666724f8bf52245ee4d9f8,bf8d7afc6e8b951c6203189bfb4ca7f408c377756335135867d298293242fca5,3f161e690b5244205e27fc03d8c1112a068efa2b22e113dad0e1db2bbc9391e0,3b072dc15f3504ee7c6e6f760c36ede07fb61a6009c929263b9018a7df164c13,2026-08-22T04:02:07.006601+00:00
16,C,2,0.821,3.5058436395525208,0.0016920912362362289,PASS,bf04a54ffd53ca1bc022149d292983f977a2604b4b367863d108eb4cf5c50ebd,2883443b981c84a6509fc124860d9075e9adf8fc41d5f8b435fbff584870da91,4e2098fd7facd75a0bda56c572dd5ea90771ff8c7d4304374d9816af4f424400,1d62858b60fed5d964286fafb9a878771765efcc5e54a9325e5a81b84b2430bd,3584bb5651b100e986eddbebadf157f8aff4411c719556e5f0c67484b485404d,7ee56774f933400e6069f7dd0996e1170f07e3c55a4997595baa540ae854198a,2026-08-22T04:06:20.379678+00:00
16,D,1,,11.635468716455495,0.0071638788888888985,PASS,e71d69e3d0c29b6c753aa134ec302404c588e554b4e87e42bf5fe934a975d1bf,8c84682c2c8f5c59122d001b2e04b321588e958c9c01e7db690d0b6b5cbd07dc,953e9576e3949bb09384ec67aec495ad3ccb4ae548057ba1b1bd030ba7d86139,368475c5ee24b752130bf45bd36735c003af7f5ba93305d8cd80fe1024b5c742,1d1d57609172452c519836ba19ef162de006c8d5314e9112eb8c69e91890eb29,d4cdbaf4c641161a23dd731b3db646d80c19fb59a1f5e567328b39791fb5423e,2026-08-22T04:09:26.580943+00:00
16,D,2,0.821,3.2391021188285993,0.001338086939439463,PASS,e71d69e3d0c29b6c753aa134ec302404c588e554b4e87e42bf5fe934a975d1bf,c349083140723b520eeea7a3ef5666f9cd8cd07740d3002a9abcc251e0b67966,ce2322158081ce892d0c1c448ea2521b5a5617f50848285c64f6c23493e40430,4f6b5eef687b5ad28c843f17b8c1496ebe2d05c91395531d43c2101b45fadb95,68ef02b609162b1bd166ea4fe7cf08a53114d4db80f01ec599024253c38f0fce,8e7945e53dd48bd921bc44949a8a2af0755acdd394fcd13ef6af14950b516c78,2026-08-22T04:13:38.369179+00:00
17,A,1,,7.938108895848721,0.004565353485986002,PASS,81dd504523b0b4e606efa29a7336fe0a6bd9535b4c7ad363e3ed2ee08025f721,360411e92e601f00e8d907d504e00df799e39d183b11128745232d66530a8ba3,68f371a6eb72a20632127c6586f68f48d2738e0ce47caa39f84ffb6d7fa03ed3,ce2bfb8a8a35d9e100f3f6d573b32918dac49398ce6576062c73b32afb493ec4,4d8fb8e96016b409c40edb3eb5e1b8cc630af906ca19bc43d5ed93105a791f0e,fc166206bff4dc2702caa8e34e38124fde970dc39af5bbc9389f57bf366bdd2f,2026-08-22T03:47:49.870492+00:00
17,A,2,0.821,2.722471174951537,0.0008303315415415546,PASS,81dd504523b0b4e606efa29a7336fe0a6bd9535b4c7ad363e3ed2ee08025f721,756397a6da00764f4fdad6c226380869b8332ba5847987790575d9e13a4f3011,06f1557cd59ba5b20622d394447c9a274e6a804378180ce47cdadd299ff5c1ab,0d7e000debdca57b32c4842dd655f9c2ea90d8dc896b01ce256e386c9011d8fa,fb81389502752cdb99e80d71dc1e75eff1df1ffc7590a0a4147a130f5f1c741f,6bf6f89142639232c44a0191887b1013f3c69d344bd4ddcbc68743709544c188,2026-08-22T03:52:06.477644+00:00
17,B,1,,9.185863204919734,0.005657259602102086,PASS,4a974eb24b96de2335e99ac1d2ab58830ab0c5857e81d0982ed704453b221b4c,bdb07f3787f688ba2fb71fa7154a48a6b6741a789d59b102ee16bd735ed6787d,0e16d411b4d9ea62d8ac62fbf3e2276d731f2f502a9f2fb27166f59ecee5c389,b108e3e4efe23b34eb587e05f5f8671a93beffd61244a259b5ca7d0c408e9abb,f4b9afde6eb03fd2a22f19dcbb106618df2f8dd7892bec019c312b13e8ea994e,f2c5d2d27a3dc757fe1311bd0102a5623688f7bef216dd6e5e70159f6bf04c1b,2026-08-22T03:55:12.342500+00:00
17,B,2,0.821,2.804404138431842,0.0009474621321321002,PASS,4a974eb24b96de2335e99ac1d2ab58830ab0c5857e81d0982ed704453b221b4c,60114ab02524e39e9f0a8c73b96a9ddd2692363e45d653d72479b9ad8584c085,034cc3e9b9ad61dda0e524ad08668e9ecf90a0ff78d6ab49c4fde3eada677b92,c5d437a446729993bd8f7800371aa5ab3b1409db353087fbf01376b9ce7472bf,0759fbe80bbe77ff5543eb3dd812781de4ceab7bb035de33762b608b440ef6d6,576d840ca633f339fa0afb04d080952729ec25a4ad0aa10c445a9963cb464bb0,2026-08-22T03:59:43.529337+00:00
17,C,1,,8.687729216321399,0.005199380645645633,PASS,9a1a83d3b04890bb694226f3db639d88d894d7f8c6f7c26fbf55662eb0334b1d,5557b2ff73f24ca59060dfdb3f29feb1cc5a749ce5d76360a144b0837e279fc8,89f64f3ba9bbd04621a4e8b762c337b9340fecfaf268ea0f0a3177eb9822e4de,7b8aad1c6794b484eb712b5257264d98293f3db10565cccfc365b5ee6ce9239a,c0f35d12307e87331308c15e0b47d83933e8eb97b44c96ae84f87a2227a25780,08d5855c2f7c44d56e9e5838a106f8d3ef50f20b843f56bbbe5ab76d4a541410,2026-08-22T04:03:00.280943+00:00
17,C,2,0.821,2.8149525992551276,0.0009471303428428837,PASS,9a1a83d3b04890bb694226f3db639d88d894d7f8c6f7c26fbf55662eb0334b1d,be6aaf493d9d2ab870304cc3029b1b07f048657a0ddd65f3ee6c51346e34646e,a7f977d98d05c4b6d72504d1c3e0526388efee9f62996c79345b04a132f761bb,b131fa8a40f6d7f06bd2694ad8c500e86f7c71e594baffe380e3ef5f4ea49bfe,be60cc8d1e0296c9bb7624fdf48fb467e7acbedcb6f709efac528c70bf5edb08,a80e2b7d07b9afbb707e5c742c42a0ef3a4cf7c683a86b5b1b42b9fd43bec755,2026-08-22T04:07:21.719823+00:00
17,D,1,,7.991888360963833,0.0049810083308308275,PASS,f623f1bdfe62a7c82b00b799a454e7f0171a31fde6e7a006e5a116f19998f651,e5a6b6a864e8972a9b880dd4b45febdb24e64e7dbf159cea98c6d92f4f4a4dae,ac784bfc2558915bb1e3db163cff82937dcf9ed5f9d154ca4d0cb4542d41bb45,3f6cba48b6b181ca93c600662eecef39dba3e6c869c731ed976936c3493c2840,0ce124a87bd2aa0e9a974c3d103c9055e714ec0fb61492fbd8ac7d8890578360,1d0089a53baf8587e73ae3605d0579825926a4173423b60fe84e6b64436e8f87,2026-08-22T04:10:27.761333+00:00
17,D,2,0.821,2.8725202783750454,0.0009404256681681819,PASS,f623f1bdfe62a7c82b00b799a454e7f0171a31fde6e7a006e5a116f19998f651,4e5c7f60f14d8f913a9143fd333ec194daacfe6df5b5f8817a2a7583438d3ae0,ec38a0e7a1dc3d2c28c7fe91ec3c8f35144068bb8e959d257350ed357e9f52c9,837c387c64930e3d1d56a8ccdde971fbca2d924dc67de40f0aceaf45b3ee98c4,8d227d3325ae22dda7d430f63dbb61420a793a6057cab9d73192f25ad6b712a8,28e4617388b9459391a9d83402d6f12d3c7f5448c7ffaf5924fc361e13c01d2c,2026-08-22T04:14:44.002194+00:00
18,A,1,,7.666068394047455,0.0044651826576576695,PASS,e230e1dfef4b6280211903ee181b9562e768ebeb09e0bf669229e36ad1fbd1ee,f5a7dc3908ec6dae34e33163fa6a6886a3f507faee1af1bef76b9914f04a1318,b4bcbbe016b86eac24c5ce2b424e863668e945be393d13629149d6e4ab9edbc3,a4ebd1f79fa82409183a5fb6fd729f83b114d54e2a763f01f25d173dc5803693,2e9bb1ed294551c2ae30260f75bd23871e544c24ea1410725d9398b09590bc24,f76d549093b8990e2c1fc7fd0611d8cd32f5669f579257846716659a106f1930,2026-08-22T03:48:30.795509+00:00
18,A,2,0.821,2.684382269704266,0.0008924763138137905,PASS,e230e1dfef4b6280211903ee181b9562e768ebeb09e0bf669229e36ad1fbd1ee,23c38b45a51b3f3bf012925f3326070353178c4acdceeb536810cd1d98a19e69,22ba385eb4040bcae21d0b30d02d2c0fd119455e0debd667c661d1bfdf3c8683,4f0a619847220c2c1d7a1ff781c40ef53e4777a7f1122d3d2e7845d9d45b0831,ded6614f7498d1b00f53e6f89ab982fb0e8421ea8e230d58fa7a64875f21eb81,7fcc7a2796d7a758709dba66d32068e97599e74d5071d41968a023c1684a331e,2026-08-22T03:52:47.130161+00:00
18,B,1,,8.60027374352773,0.0053363373798798784,PASS,13e3e8925bad7ff81083341844c20c66659bac499aa179e6855d6c450bf512d4,e662935a8844a6d0c17646a0ce591e7ea6af36200cb853b8de9d30eba4e0ee6f,4c664d4177a6b4750af68c290dfb35745c3e8d0f6c8b91d853a4c5beb943b2e7,d8d50151d0aaf835385669609354f231641cddd69e84bb9b987249466b93419c,e9288b3b8bcc3b6ec5ad4aaf10ba704efd46a57d8c8ad88f7f21017f144781ea,80ed657668ced135406ac0191fd8a30521b90d836965d5f73c930e372e790379,2026-08-22T03:55:43.082532+00:00
18,B,2,0.821,3.0202525687333526,0.0010471203728728688,PASS,13e3e8925bad7ff81083341844c20c66659bac499aa179e6855d6c450bf512d4,38d7dde14f82a23cf5aa3008270905815f47659c95fcbcc752c9c541c217c530,4a972fddde40abaf39794f9def4dd8a82af73358da5156cbc576571d43c0f859,8a420a62eccd237b8f65c5f036c7b5168e33efa5d521c690644610e9cbd71f91,1a19d8c79cab52a405ac762523eef73c9911bbbf37159fae1dac1a1098c03b04,2d4c33fb57002954a0df73acf94bb1235173998f43039b71a086101b883f007d,2026-08-22T03:59:59.155282+00:00
18,C,1,,7.888370707791718,0.004762479657157178,PASS,c14c4b2125f6d66073f4c16ba5eba275452319f73eea61106f9a53aab38a57a1,8a89b113c966705db3c9acdaa3cba7cd04f0f1d8378adedd3ac6d17840d189cd,a0cf1708b1b8fc38b57c3b8346cae76d5adc71f70943ff537014673214655aea,765dd08af2f787412f615723f58335f28288d6fa42fc0d6e69caa7ba177dc04c,4cdaf16b7546159a306013ec564d649a5ffd86d51a8ce0d33acb2ce38bd5e4e0,b4e9c11e6d3ac28b5e3e77dfaf881944b39910a2f3ef370a2e520e6371a2624d,2026-08-22T04:03:05.377374+00:00
18,C,2,0.821,2.9507134984599457,0.001013920925925918,PASS,c14c4b2125f6d66073f4c16ba5eba275452319f73eea61106f9a53aab38a57a1,e8433941d72ab9c1e163505ed20021b5b53787c347a97c74394c6f452e753bbc,2f2cfd2daa84f8b05239285d4a8ba04e464ee87fcb1b9e1363ec6a5a2486258b,614e521946613711bb2dcd0db9512ec1ab75c2bfe7534dd0b2950defada20072,b1e8ad7ffb7e29ba67c4b42141a1852a9d2964e611e945e69dc0f04bc34182b8,472ee8dddba9297c8d020ff391eaa03ddc1fadbe608ae5a849f5b0bc31710e85,2026-08-22T04:07:26.555640+00:00
18,D,1,,7.9119781058989185,0.004850318415915917,PASS,db637022591a39c2de8ac4519c4736c71bf7d66749c68da27856edc42763804c,da0605f49e00942231ca6cc9e5bd0884b432eaa4ca216399f7fea2975add5f79,2eb1f2772f1207b172f4d6bbef821793788a6c5fd4ca64bac1a51917c240f2d5,1fee51d50f79bbf6b781882af99bd6cf2320e21a3a001e8c741e750a4baf3b6e,1f0997b273f9d422bd823d74559657a0ea7beda8f649d429cf27c1b342b61348,c845b7f1b5286a15a3793f81fd3bd2b26a4e035a0d524b6f294cd71c12166b18,2026-08-22T04:10:27.527003+00:00
18,D,2,0.821,2.9558178675859477,0.0010159749899899908,PASS,db637022591a39c2de8ac4519c4736c71bf7d66749c68da27856edc42763804c,16b21c6e66ec74d882769ab67c0364551646c43b593e75511b434f7b58956b59,69949e6271f4b14b6f016c3ea07ae6c2e4710ec95ec07ba91b314b89c9f37141,abf7fdb5202b736625ca0bd40274d1514e804650859cb07636f198393819265d,24e2e93a6dea48815b6d0039b521e59129972259e8d1bec6a24b47edb60f05e5,4c9aebaeb1c769b4f993e9ab8a99b573853dc3b03654ff78021e621cf0cffa77,2026-08-22T04:14:43.778475+00:00
