seed,horizon,arm,branch_label,space,block,value_norm
3,16,B,B384_to_B,state,theta,3962.2413911195113
3,16,B,B384_to_B,state,EMA,3962.086722899621
3,16,B,B384_to_B,state,m,386.3003493831962
3,16,B,B384_to_B,state,v,66971.61987355471
3,16,B,B384_to_B,state,net_buffer,1.4142135623730951
3,16,B,B384_to_B,state,scaler,64.0
3,16,B,B384_to_B,observable,residual,0.9864824369899137
3,16,B,B384_to_B,observable,feature,29.227526478822366
3,16,C,B384_to_C,state,theta,3962.2413839192695
3,16,C,B384_to_C,state,EMA,3962.0867214724935
3,16,C,B384_to_C,state,m,415.93782776077154
3,16,C,B384_to_C,state,v,67161.20330818702
3,16,C,B384_to_C,state,net_buffer,1.4142135623730951
3,16,C,B384_to_C,state,scaler,64.0
3,16,C,B384_to_C,observable,residual,0.9513515774255696
3,16,C,B384_to_C,observable,feature,29.2332343323865
3,16,D,B384_to_D,state,theta,3962.240580959304
3,16,D,B384_to_D,state,EMA,3962.0867199085974
3,16,D,B384_to_D,state,m,411.27552442088756
3,16,D,B384_to_D,state,v,67033.86410114009
3,16,D,B384_to_D,state,net_buffer,1.4142135623730951
3,16,D,B384_to_D,state,scaler,64.0
3,16,D,B384_to_D,observable,residual,0.9734946433623929
3,16,D,B384_to_D,observable,feature,29.22756538877661
3,64,A,B384_to_A,state,theta,3962.2419189285265
3,64,A,B384_to_A,state,EMA,3962.090111121346
3,64,A,B384_to_A,state,m,593.9776271218269
3,64,A,B384_to_A,state,v,69913.39373121485
3,64,A,B384_to_A,state,net_buffer,1.4142135623730951
3,64,A,B384_to_A,state,scaler,64.0
3,64,A,B384_to_A,observable,residual,0.944701956578804
3,64,A,B384_to_A,observable,feature,27.852935878302254
3,64,B,B384_to_B,state,theta,3962.2420447595987
3,64,B,B384_to_B,state,EMA,3962.0901301978424
3,64,B,B384_to_B,state,m,488.030769480654
3,64,B,B384_to_B,state,v,68236.45054200101
3,64,B,B384_to_B,state,net_buffer,1.4142135623730951
3,64,B,B384_to_B,state,scaler,64.0
3,64,B,B384_to_B,observable,residual,1.026436131379302
3,64,B,B384_to_B,observable,feature,27.837675703451303
3,64,C,B384_to_C,state,theta,3962.2421407965494
3,64,C,B384_to_C,state,EMA,3962.090111706631
3,64,C,B384_to_C,state,m,556.9541015385391
3,64,C,B384_to_C,state,v,68984.97683225074
3,64,C,B384_to_C,state,net_buffer,1.4142135623730951
3,64,C,B384_to_C,state,scaler,64.0
3,64,C,B384_to_C,observable,residual,0.9489294516343478
3,64,C,B384_to_C,observable,feature,27.841662419039203
3,64,D,B384_to_D,state,theta,3962.241195405616
3,64,D,B384_to_D,state,EMA,3962.090115954136
3,64,D,B384_to_D,state,m,492.19977515766465
3,64,D,B384_to_D,state,v,68853.39703985241
3,64,D,B384_to_D,state,net_buffer,1.4142135623730951
3,64,D,B384_to_D,state,scaler,64.0
3,64,D,B384_to_D,observable,residual,0.9565810713262624
3,64,D,B384_to_D,observable,feature,27.848693403869817
3,128,A,B384_to_A,state,theta,3962.251394164771
3,128,A,B384_to_A,state,EMA,3962.0946840390266
3,128,A,B384_to_A,state,m,429.30039627196595
3,128,A,B384_to_A,state,v,69387.67096119274
3,128,A,B384_to_A,state,net_buffer,1.4142135623730951
3,128,A,B384_to_A,state,scaler,64.0
3,128,A,B384_to_A,observable,residual,1.1247093071610528
3,128,A,B384_to_A,observable,feature,22.8201855399461
3,128,B,B384_to_B,state,theta,3962.2509967238952
3,128,B,B384_to_B,state,EMA,3962.0946918341783
3,128,B,B384_to_B,state,m,434.4983130119772
3,128,B,B384_to_B,state,v,67236.58338957615
3,128,B,B384_to_B,state,net_buffer,1.4142135623730951
3,128,B,B384_to_B,state,scaler,64.0
3,128,B,B384_to_B,observable,residual,1.2904766865797046
3,128,B,B384_to_B,observable,feature,22.774862573797744
3,128,C,B384_to_C,state,theta,3962.2517506935897
3,128,C,B384_to_C,state,EMA,3962.0946606323578
3,128,C,B384_to_C,state,m,433.5414613336233
3,128,C,B384_to_C,state,v,68508.21306964626
3,128,C,B384_to_C,state,net_buffer,1.4142135623730951
3,128,C,B384_to_C,state,scaler,64.0
3,128,C,B384_to_C,observable,residual,1.207673337269016
3,128,C,B384_to_C,observable,feature,22.795601667308368
3,128,D,B384_to_D,state,theta,3962.2491382040826
3,128,D,B384_to_D,state,EMA,3962.094611040176
3,128,D,B384_to_D,state,m,402.94352907150824
3,128,D,B384_to_D,state,v,67945.57162306507
3,128,D,B384_to_D,state,net_buffer,1.4142135623730951
3,128,D,B384_to_D,state,scaler,64.0
3,128,D,B384_to_D,observable,residual,1.0872485901776239
3,128,D,B384_to_D,observable,feature,22.79576126752975
3,256,A,B384_to_A,state,theta,3962.2699777920143
3,256,A,B384_to_A,state,EMA,3962.104129255453
3,256,A,B384_to_A,state,m,609.2782877561688
