contrast,mean_log,lower,upper,p,holm_p,geometric_ratio,percent_change
S,0.004234784610969156,-0.03415896111457378,0.042628530336512094,0.8017413873796028,,1.0042437639820796,
M,0.004644533197546263,-0.030614025954534003,0.03990309234962653,0.7645025435984069,1.0,1.0046553357596688,0.46553357596688105
C,0.013114102419484575,-0.03736193604215889,0.06359014088112805,0.5584153923929935,1.0,1.0132004693894283,1.3200469389428315
H,-0.008912216888041502,-0.05484001054447614,0.037015576768393135,0.6602481810754284,,0.9911273791999371,-0.8872620800062903
