seed,arm,target_gap_scale,denominator_gap_scale,attempts,accepted_updates,processed_kimg,skip_count,final_loss,last200_loss_mean,last200_loss_sd,last500_loss_mean,semantic_nonfinite_count,raw_grad_skip_mismatch_count,nonpositive_denominator_count,final_image_sha256
3,A,1.0,1.0,2000,1990,256.000,10,16.88090193,16.24412828,1.10892812,16.30259031,0,0,0,780133af6eaad6b48f4a12d818d85f029ba7c5bb7345a73d87a3c3e0fc43e5c5
3,B,1.1,1.1,2000,1990,256.000,10,16.52927291,16.21319667,1.09171331,16.27296113,0,0,0,828fd46f7e52dc48fcab650a5d71e9f8beddef0e1f3aefa0a249c84bb46a5be9
3,C,1.1,1.0,2000,1990,256.000,10,18.29579282,17.75489447,1.21124215,17.82440176,0,0,0,ab347e55e526f42206676b4bcb093b26bf5ec5652af1c1ae6620fd61fbf61741
3,D,1.0,1.1,2000,1990,256.000,10,15.36517978,14.80949258,1.01935038,14.86750800,0,0,0,996673937462c190875329416e91db4c74b3d2f038ceddcec7f703fc5c35872f
4,A,1.0,1.0,2000,1990,256.000,10,16.65566444,16.57748699,1.12191118,16.55226825,0,0,0,3355c85311c026f6b0e56a4ce1c912be9c684ffc47f25dde217cb59668ecc5a0
4,B,1.1,1.1,2000,1991,256.000,9,16.68918335,16.44386911,1.08011769,16.43359474,0,0,0,a405136cb6f72f6f920f34a5c10ed8f3651f00afb982e44bc538af7f66d3d69a
4,C,1.1,1.0,2000,1990,256.000,10,18.29391026,18.08385239,1.22838804,18.06467741,0,0,0,f00a2b773c95c7251d7bd6993ef5e4320dae565e822bd96f684fc46170172b95
4,D,1.0,1.1,2000,1990,256.000,10,15.27564740,15.03107007,1.01464416,15.02351444,0,0,0,03ad95933a32b8a707f5532561e770d4dfc2cb397469d65be7e42699325e188e

