layer,update_reference_l2,update_probe_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_reference_l2,predicted_probe_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.08764886807649425,0.08756269475362156,0.9999712476825413,0.9989881106828172,1.0009553522196664,0.007575671079953265,0.007623826468663303,0.0,131328,131328,1.0,1.0,0.9989881106828172,0.0075756710799532645,0.9985227132832697,0.999984675621212,1.0,131328,1.0000000003233203,4.3733808497052345e-08,1.0000000003240785,0.007642951859370503,3.914313552691965e-05,0.0,0.08764898314586081,0.08756276969411565,0.9989876570610472,1.0009558125674098,0.007575283805811309,0.007623584141890603,0.0
model.dec.16x16_block0.conv0,0.26399415409135474,0.2639697809813707,0.9999994677854727,0.9999071434039112,1.000091800691617,0.001031616321752938,0.001034511019538299,0.0,1179894,1179904,0.9999915247342157,1.0,0.9999071434039112,0.0010316163217529374,0.9997546915245922,1.0,1.0,1179894,0.9999999989962837,4.3222004642969366e-08,0.999999999108117,0.0010357868135361867,6.345656386166837e-05,0.0,0.2639957719750776,0.26397205886990993,0.9999096456997153,1.0000893012866614,0.0010299960028765677,0.0010330117527137497,0.0
model.dec.16x16_block0.conv1,0.18668654414117225,0.18666792169242705,0.999999399159795,0.9998996467237437,1.0000991615473935,0.0010961023310418164,0.00109836190803063,0.0,590075,590080,0.9999915265726681,1.0,0.9998996467237437,0.0010961023310418186,0.9997546614327772,1.0,1.0,590075,0.9999999989527675,4.316028746892579e-08,0.9999999991101889,0.0011006865565208904,7.16273060236913e-05,0.0,0.18668867040063244,0.1866704512843664,0.9999018105065125,1.0000970017242374,0.0010941024273534447,0.0010964433435856416,0.0
model.dec.16x16_block0.norm0,0.007779075199132378,0.007779057635330368,0.999999999347002,0.9999977415205189,1.000002257178583,3.613848632357561e-05,0.0001695018581433941,0.0,1024,1024,1.0,1.0,0.9999977415205189,3.61384863235737e-05,1.0,1.0,1.0,1024,0.9999999995439034,4.303523788870803e-08,1.0000000002611467,3.621120110917444e-05,1.6087841284781507e-05,0.0,0.007779354529139033,0.007779337824536993,0.9999978522613383,1.0000021468644202,2.9645380301731883e-05,0.00016746481018565197,0.0
model.dec.16x16_block0.norm1,0.005500924503297902,0.0055009192397044255,0.9999999997656464,0.99999904290949,1.0000009566227182,2.1649628323953958e-05,0.00016830362487121902,0.0,512,512,1.0,1.0,0.99999904290949,2.1649628323951603e-05,1.0,1.0,1.0,512,0.9999999969526575,4.209257259175721e-08,0.9999999986886985,2.167173507979812e-05,3.074252225458078e-05,0.0,0.005500811020694172,0.005500790817544045,0.9999963267543411,1.0000036722847154,3.121578994632204e-05,0.00016625116626574533,0.0
model.dec.16x16_block0.skip,0.08809676279746939,0.08809596502817654,0.9999999802702236,0.999990924667591,1.0000090359548608,0.00019864248778809872,0.0002543321785936478,0.0,131326,131328,0.9999847709551657,1.0,0.999990924667591,0.0001986424877880975,0.9999677934955019,1.0,1.0,131326,0.9999999987457673,4.306230587358656e-08,0.9999999988435104,0.000198849676988283,1.3139513442792107e-05,0.0,0.08809696418243693,0.088096211439483,0.9999914358831538,1.0000085249204904,0.0001981632991242642,0.0002537181028162126,0.0
model.dec.16x16_block1.affine,0.0876837141508566,0.08760112191517413,0.9999731096604833,0.99903120139908,1.0009159059734025,0.0073265741902025765,0.007371463344637362,0.0,131328,131328,1.0,1.0,0.99903120139908,0.007326574190202576,0.9988161987061734,0.9999846757386294,1.0,131328,1.0000000003929455,4.363908075340359e-08,1.0000000004258396,0.007390349129131779,3.5289464865015514e-05,0.0,0.08768383942308512,0.08760120916832198,0.9990307707219475,1.0009163405857153,0.007326358530075741,0.007371386512285974,0.0
model.dec.16x16_block1.conv0,0.2639913435495145,0.26396641906395274,0.9999994510627922,0.9999050370886647,1.0000938739517646,0.0010476959554340027,0.0010504034153624956,0.0,1179887,1179904,0.9999855920481666,1.0,0.9999050370886645,0.0010476959554340031,0.9997546614327772,1.0,1.0,1179887,0.9999999989790936,4.3185987171624307e-08,0.9999999991134092,0.0010519907080379382,6.342031487909455e-05,0.0,0.26399297043445197,0.26396868071266777,0.9999074438002098,1.0000914701096177,0.001046114185729866,0.0010489304327762163,0.0
model.dec.16x16_block1.conv1,0.18667828223028338,0.18665744809225598,0.9999993006476596,0.9998876962167207,1.0001109175355467,0.0011825362598790693,0.0011840380727133819,0.0,590076,590080,0.9999932212581345,1.0,0.9998876962167207,0.001182536259879069,0.999754480726737,1.0,1.0,590076,0.9999999988594535,4.3108688781877246e-08,0.9999999988985471,0.0011878568189129964,7.475035860754556e-05,0.0,0.1866807503042337,0.18666010994096027,0.9998887380466998,1.0001098801840664,0.0011805449930628775,0.0011820545329936283,0.0
model.dec.16x16_block1.norm0,0.007779171546540496,0.0077791508849996095,0.9999999986381158,0.9999973426302446,1.0000026546530412,5.218959630864958e-05,0.00017325455723682018,0.0,1024,1024,1.0,1.0,0.9999973426302446,5.21895963086509e-05,1.0,1.0,1.0,1024,0.999999997464655,4.3116952545823226e-08,0.9999999964925557,5.2255002425948846e-05,1.368283439663199e-05,0.0,0.00777933210252971,0.0077793073616306335,0.9999968185551696,1.0000031792396258,4.706702944975353e-05,0.000170416045987827,0.0
model.dec.16x16_block1.norm1,0.005501193828781084,0.00550118330275029,0.9999999996496476,0.9999980862411914,1.0000019130617648,2.64707800660195e-05,0.0001680467211421325,0.0,512,512,1.0,1.0,0.9999980862411914,2.6470780066019106e-05,1.0,1.0,1.0,512,1.0000000008196401,4.563809552707797e-08,1.0000000004308232,2.6539750961263444e-05,9.974265634209315e-06,0.0,0.005500831310678675,0.005500818435232493,0.9999976591237815,1.0000023404021265,2.1899049857926593e-05,0.00016607651942164646,0.0
model.dec.16x16_block1.skip,0.08809769089304989,0.08809695117052563,0.9999999840379155,0.9999915874215576,1.0000083807247773,0.00017867185702934605,0.0002394954436642204,0.0,131328,131328,1.0,1.0,0.9999915874215576,0.0001786718570293474,0.999969350537898,1.0,1.0,131328,0.9999999989379235,4.316266433960891e-08,0.9999999991020692,0.00017887014327069948,1.1965397153587928e-05,0.0,0.0880978281460967,0.08809713877703856,0.999992159075948,1.0000078092175888,0.0001782335483687783,0.0002389530212394615,0.0
model.dec.16x16_block2.affine,0.08770338992427594,0.08762251131425768,0.999974854688853,0.9990526944807896,1.000897866082699,0.007085003852301632,0.007128948963447353,0.0,131328,131328,1.0,1.0,0.9990526944807896,0.007085003852301632,0.9986827870089442,0.9999846757386294,1.0,131328,1.000000000064838,4.3530536390317684e-08,0.9999999999876825,0.007148053428145594,3.375126925290612e-05,0.0,0.08770350248225646,0.08762259061192233,0.9990523186557579,1.0008982470458465,0.0070846884294244955,0.0071287680833252084,0.0
model.dec.16x16_block2.conv0,0.26399038917769885,0.26396481351540096,0.9999994471703767,0.9999025661883132,1.0000963375392797,0.0010514013110693855,0.0010539325028338818,0.0,1179892,1179904,0.9999898296810588,1.0,0.999902566188313,0.001051401311069385,0.9997546614327772,1.0,1.0,1179892,0.9999999989135979,4.319744967420279e-08,0.9999999989987678,0.0010559061079534041,6.324144866820422e-05,0.0,0.26399206008686127,0.26396706931053127,0.9999047840861878,1.0000941227014126,0.001049745547352301,0.0010523686084262772,0.0
model.dec.16x16_block2.conv1,0.1866764018607558,0.18665510016302309,0.9999993232217912,0.9998852130123387,1.0001134464538786,0.0011632914800520536,0.0011646958194583292,0.0,590072,590080,0.999986442516269,1.0,0.9998852130123389,0.0011632914800520523,0.9996932703515122,1.0,1.0,590072,0.999999998857183,4.311689093095417e-08,0.9999999989045173,0.0011689407875999105,7.534506312051456e-05,0.0,0.18667891126795272,0.18665770048292699,0.9998857044169621,1.0001129606798893,0.0011608220323453095,0.0011622091427790885,0.0
model.dec.16x16_block2.norm0,0.007779218675815432,0.00777921138553747,0.9999999999063859,0.9999990627585482,1.000000937055102,1.3683115215551563e-05,0.00016748481778835456,0.0,1024,1024,1.0,1.0,0.9999990627585482,1.3683115215548515e-05,1.0,1.0,1.0,1024,0.9999999986357847,4.36781161311019e-08,0.999999999445091,1.3715537553768115e-05,1.3511767683496655e-05,0.0,0.00777937347428044,0.007779363705097296,0.9999987442078081,1.0000012557697764,4.898216306382702e-06,0.00016578355040020002,0.0
model.dec.16x16_block2.norm1,0.005501447719904489,0.005501442452291157,0.999999999883075,0.9999990423872305,1.0000009573798363,1.529213950857774e-05,0.00016760369939479547,0.0,512,512,1.0,1.0,0.9999990423872305,1.529213950857579e-05,1.0,1.0,1.0,512,0.9999999997081753,4.294410183718658e-08,0.9999999989903379,1.5321044236196396e-05,1.5057937826123514e-05,0.0,0.005500846134760262,0.005500838562316084,0.9999986233988827,1.0000013765932836,3.119133185443067e-06,0.00016561970423646357,0.0
model.dec.16x16_block2.skip,0.08809793582190505,0.08809727692043466,0.9999999881784433,0.9999925089854697,1.0000074674273558,0.00015376202310094932,0.00022219180162295224,0.0,131328,131328,1.0,1.0,0.9999925089854697,0.00015376202310094907,0.9999693514772588,1.0,1.0,131328,0.9999999989458053,4.324212263178696e-08,0.9999999991657254,0.00015394425048991377,1.1771532318643613e-05,0.0,0.08809804947969341,0.08809743544195729,0.9999930183012007,1.000006958220925,0.00015338228934971948,0.00022165052569934904,0.0
model.dec.16x16_block3.affine,0.08772273141408135,0.08764611663695428,0.9999766236411796,0.9991032697804693,1.0008507409334482,0.0068315841911743905,0.006871512236839053,0.0,131328,131328,1.0,1.0,0.9991032697804693,0.006831584191174389,0.9985538906495185,0.9999889857451598,1.0,131328,0.9999999998325116,4.374076867215803e-08,0.9999999998490612,0.006890186341196688,3.360292127350445e-05,0.0,0.08772286094354075,0.0876461965946547,0.9991027049204901,1.0008513046426502,0.006831736477258313,0.006871812564718836,0.0
model.dec.16x16_block3.conv0,0.26398769634176145,0.263961450123407,0.9999994056353652,0.9998999835671464,1.0000988375893205,0.0010901800567976068,0.0010924707591134402,0.0,1179893,1179904,0.9999906772076372,1.0,0.9998999835671464,0.001090180056797606,0.9997546614327772,1.0,1.0,1179893,0.9999999988631361,4.3240699035033445e-08,0.9999999989609888,0.0010947582096385298,6.263981028345475e-05,0.0,0.26398926000018536,0.2639635591538338,0.9999020514793984,1.0000967721456497,0.0010888630548759888,0.001091228674292555,0.0
model.dec.16x16_block3.conv1,0.1866752445339447,0.1866533938712363,0.9999992820899605,0.9998822304312033,1.0001163474514223,0.0011981166275051706,0.0011993634591278741,0.0,590073,590080,0.9999881372017354,1.0,0.9998822304312033,0.0011981166275051682,0.9996625870372075,1.0,1.0,590073,0.9999999989148737,4.324737153077829e-08,0.9999999989154131,0.0012038906879721118,7.616987018021011e-05,0.0,0.1866775577884307,0.18665580220334524,0.9998827438045946,1.0001158391764953,0.0011959382689490765,0.0011971696754077541,0.0
model.dec.16x16_block3.norm0,0.007779127766605381,0.007779124026764842,0.9999999999414055,0.9999995191882092,1.000000480694833,1.0825373173035849e-05,0.00016773107801197973,0.0,1024,1024,1.0,1.0,0.9999995191882092,1.0825373173036038e-05,1.0,1.0,1.0,1024,0.9999999964839278,4.394379137013467e-08,0.9999999975113297,1.0834743030772132e-05,1.255492555424391e-05,0.0,0.007779374334988186,0.0077793648252235765,0.9999987775417676,1.0000012224094428,7.09112238700303e-06,0.00016589616159212145,0.0
model.dec.16x16_block3.norm1,0.005501506048421331,0.005501502756178315,0.9999999999378204,0.9999994015120464,1.0000005983639526,1.1151632114592834e-05,0.00016763502260441423,0.0,512,512,1.0,1.0,0.9999994015120464,1.1151632114591387e-05,1.0,1.0,1.0,512,1.0000000001653664,4.319784154454516e-08,1.0000000013307,1.11722085269457e-05,1.538463076637429e-05,0.0,0.005500836151472566,0.005500825036152948,0.9999979792809606,1.0000020206050582,1.0865717183959615e-05,0.00016530371276005557,0.0
model.dec.16x16_block3.skip,0.08809792388170273,0.08809735435946546,0.9999999928594002,0.9999935282095185,1.000006457551074,0.00011950320129205308,0.00020082905310594783,0.0,131327,131328,0.9999923854775828,1.0,0.9999935282095184,0.00011950320129205312,0.9999693524165619,1.0,1.0,131327,0.99999999853701,4.3167099311326034e-08,0.9999999986645299,0.00011967844578008876,1.1006428519926433e-05,0.0,0.0880979809844406,0.08809745848806994,0.9999940620657866,1.0000059238113244,0.00011898695899061015,0.00020023165101521224,0.0
model.dec.16x16_block4.affine,0.08773676579294341,0.08766220321257823,0.9999769475679021,0.9991271229722207,1.000827494996371,0.006784246684866549,0.006821928541289885,0.0,131328,131328,1.0,1.0,0.9991271229722207,0.006784246684866547,0.9989549828107794,0.9999961690227177,1.0,131328,0.9999999998773742,4.3745588483325544e-08,0.999999999966382,0.006840169251839659,3.157717118695085e-05,0.0,0.08773686922939573,0.08766227156262531,0.9991267232790235,1.0008278937684416,0.006784361703154931,0.006822170797200056,0.0
