evidence_group,evidence_status,source_pr,source_commit,source_file,seed,arm,budget_kimg,nfe,fid50k_full,kid50k_full
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,256,1,331.88461674585875,0.3535317573723724
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,256,2,238.7743077133635,0.2527617811186186
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,384,1,259.99023471585383,0.2682266729154152
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,384,2,108.93945261250435,0.1011484919419418
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,512,1,23.892576660764625,0.0172081078428428
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,512,2,13.73743199051474,0.0091083840090089
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,640,1,15.047251143677371,0.0102034547722722
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,640,2,4.270274590715882,0.0014637498023022
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,768,1,12.677410137806897,0.0083152244319319
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,768,2,3.32183165127187,0.0016107859934935
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,896,1,10.836304442869498,0.0068704816791791
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,896,2,3.064295375608123,0.0013766696546546
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,1024,1,9.669405820296213,0.0059991077352352
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,A,1024,2,2.866395993060456,0.0010535892067066
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,256,1,310.50756280404903,0.3136369202802803
