arm,k,next_k,space,block,coordinate_count,b_norm,R_norm,delta_norm,cos_b_R,cos_b_delta,cos_R_delta,R_over_b_diagnostic,closure_l2,closure_relative,closure_max_abs,closure_pass
C,1,2,observable,feature,49152,0.0348754319484896,0.036598467100107356,0.036319829461851874,-0.4844193797150106,0.4720954220158146,0.5425171946091593,1.0494054139361673,0.0,0.0,0.0,True
D,1,2,state,theta,55732739,0.0006568881791544234,0.001756767216653774,0.0018931086147523052,0.02865126330517109,0.3735769695058921,0.9379218281509435,2.6743778810499608,0.0,0.0,0.0,True
D,1,2,state,EMA,55732771,9.152927410309459e-06,1.785667978598291e-05,1.843036711123187e-05,-0.19260375971980148,0.3100135614734737,0.8732214316288343,1.95092553294697,0.0,0.0,0.0,True
D,1,2,state,m,55732739,4.944673250846384,2.960850090136713,6.027503841007536,0.10636212228616325,0.8725992863615214,0.5784776124714208,0.5987959041843466,0.0,0.0,0.0,True
D,1,2,state,v,55732739,1.945246547407887,0.286198752912746,1.9988457991302053,0.11629635413976305,0.9898364445080957,0.2563598625277777,0.14712723859816967,0.0,0.0,0.0,True
D,1,2,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,1,2,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,1,2,observable,residual,393216,0.1683830598762997,0.17404538596730196,0.18571283023057272,-0.4121195840161698,0.5204570286905772,0.5635121130068448,1.0336276469566594,0.0,0.0,0.0,True
D,1,2,observable,feature,49152,0.036698932059598524,0.03684032425179319,0.037079677080310104,-0.4915377609338467,0.501366868015878,0.5070543985006444,1.0038527604009035,0.0,0.0,0.0,True
B,2,3,state,theta,55732739,0.0012200110482335994,0.005576371186548675,0.005666337974845815,-0.035053659097179724,0.1808114585132675,0.976575234257832,4.570754662117576,0.0,0.0,0.0,True
B,2,3,state,EMA,55732771,1.2260615998712235e-05,3.677276301564714e-05,3.698308691820965e-05,-0.14950435308529403,0.18286542353416094,0.9447493560936062,2.9992590110896122,0.0,0.0,0.0,True
B,2,3,state,m,55732739,3.5746593293152404,8.362564137593662,7.44032921672432,-0.45749637935495463,-0.033759727350886365,0.9041495666459545,2.3394017071818674,0.0,0.0,0.0,True
B,2,3,state,v,55732739,0.554919346710638,1.7833426266041077,2.147767128327283,0.5682317913786326,0.7301868537717876,0.9771382629785521,3.213696976281545,0.0,0.0,0.0,True
B,2,3,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,2,3,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,2,3,observable,residual,393216,0.160456956339304,0.17937989626030126,0.18003523162885546,-0.4431629267194271,0.4497032929913775,0.6013896330007585,1.1179315646557735,0.0,0.0,0.0,True
B,2,3,observable,feature,49152,0.035991434649768984,0.036920288028832744,0.03599018612831825,-0.5129376276235932,0.4738411086921671,0.5128877872150424,1.0258076230664988,0.0,0.0,0.0,True
C,2,3,state,theta,55732739,0.0009152742681085546,0.005201571671114146,0.005198724966188659,-0.09108991910056308,0.08491765351353771,0.9845105185146227,5.6830743006283475,0.0,0.0,0.0,True
C,2,3,state,EMA,55732771,1.0633735290725574e-05,3.540155758312656e-05,3.5435713415714425e-05,-0.14697381776237836,0.15325310808023695,0.9549314420002022,3.3291742379559457,0.0,0.0,0.0,True
C,2,3,state,m,55732739,2.0313154524412833,5.974773011797768,6.155694695089729,-0.07957624347007171,0.252752213623774,0.9443497195250425,2.941331935725268,0.0,0.0,0.0,True
C,2,3,state,v,55732739,0.19532192979760066,0.7249850103602956,0.6718423122550593,-0.3968131596212326,-0.13747520981744302,0.96373611254211,3.7117440479497112,0.0,0.0,0.0,True
C,2,3,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,2,3,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,2,3,observable,residual,393216,0.15673012964940314,0.15895070882121554,0.16480543690484076,-0.4549714400462422,0.5121924273007061,0.5317966305116362,1.0141681703242365,0.0,0.0,0.0,True
C,2,3,observable,feature,49152,0.037128392609103486,0.041437966218478374,0.03670718165392501,-0.5681432890851449,0.3701098688759013,0.5542163197081743,1.1160721837529326,0.0,0.0,0.0,True
D,2,3,state,theta,55732739,0.0008425109905818873,0.0032858365716171324,0.0034216724797974363,0.036356596048899445,0.2811411171521071,0.9692533177707325,3.9000518786677687,0.0,0.0,0.0,True
D,2,3,state,EMA,55732771,1.0155583789205527e-05,2.7823006093217698e-05,2.81197460112616e-05,-0.15312815083980963,0.20964265868494808,0.9341442954839612,2.7396756967128817,0.0,0.0,0.0,True
D,2,3,state,m,55732739,3.1433752460815203,6.057856285134494,5.381414557067092,-0.4626273819819269,0.06333744573150894,0.8554711360059246,1.9271820291535724,0.0,0.0,0.0,True
D,2,3,state,v,55732739,0.49982586931142625,1.98841452800973,2.329962280045364,0.6163366743088164,0.740509269797572,0.985627776768101,3.9782145144848626,0.0,0.0,0.0,True
D,2,3,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,2,3,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,2,3,observable,residual,393216,0.167285461034138,0.17689992241086824,0.17915904010237196,-0.4592343421019278,0.4802824434576864,0.5585913706193899,1.0574733830262046,0.0,0.0,0.0,True
D,2,3,observable,feature,49152,0.03553219850878656,0.036097281148992195,0.0365144373999622,-0.4803647115426604,0.4982231620579605,0.5211326865976058,1.0159033964663318,0.0,0.0,0.0,True
B,3,4,state,theta,55732739,0.0012423399604091954,0.008066909270871232,0.00799513876175639,-0.13451566452126248,0.01966373616393398,0.9880747940639908,6.493318679223838,0.0,0.0,0.0,True
B,3,4,state,EMA,55732771,1.2431792470589354e-05,4.9631679817162585e-05,4.9552411768411166e-05,-0.13161164141962747,0.11905950513593647,0.9685807308155382,3.9923188819777407,0.0,0.0,0.0,True
B,3,4,state,m,55732739,3.6114326514280375,9.518012183090038,10.318493880259465,0.041257088215055526,0.38805257493616624,0.9368624424022676,2.6355225479080753,0.0,0.0,0.0,True
B,3,4,state,v,55732739,0.4730257790299687,2.5151865651328715,2.925713534611806,0.8446673997421057,0.8878250875001262,0.9962479188188317,5.317229370227455,0.0,0.0,0.0,True
B,3,4,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,3,4,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,3,4,observable,residual,393216,0.16649708320306122,0.17853744626773735,0.1802370018630771,-0.45602426135439383,0.47204333885530375,0.5693100518857493,1.0723157597301065,0.0,0.0,0.0,True
B,3,4,observable,feature,49152,0.03715553341005988,0.03692730301450697,0.0360168853093718,-0.5272910986828713,0.49099457324655693,0.4813164945181299,0.9938574318652866,0.0,0.0,0.0,True
C,3,4,state,theta,55732739,0.0011148167299270414,0.007135379814929502,0.007177782843553691,-0.0399700572305575,0.11558098210056815,0.9878845154532572,6.400495815483926,0.0,0.0,0.0,True
C,3,4,state,EMA,55732771,1.1551892935660837e-05,4.710063836674825e-05,4.7132923799830824e-05,-0.11983412236011715,0.12533975824350438,0.9699446529003443,4.077309115404627,0.0,0.0,0.0,True
C,3,4,state,m,55732739,2.33290605988827,6.900482515804952,7.293574427416569,0.004258814181458357,0.3238869989186117,0.9474665677285103,2.957891290374306,0.0,0.0,0.0,True
