seed,nfe,arm,normalized_fid_aulc,endpoint_fid_1024,endpoint_kid_1024,sustained_fid10_kimg
8,1,A,58.040230539559296,12.985779835604028,0.007959476831831826,
8,1,B,26.237421043502202,10.28118605790755,0.0061261839414414225,
8,1,C,65.39244930385846,13.873191626104742,0.00861868643143143,
8,1,D,24.506558262572504,10.937038305756488,0.006751245705705705,
8,2,A,108.06410493965045,3.779234844297494,0.0016457740015014997,896
8,2,B,57.215566380952986,3.3352137385806824,0.001704333578578562,768
8,2,C,110.72236305063282,4.129890933541126,0.0016961407032032047,896
8,2,D,60.494957224318,3.2217386035336286,0.0015102144644644612,768
9,1,A,21.376977044419373,10.599964175134348,0.006958725010009999,
9,1,B,38.622172770571055,10.252349364665342,0.006826626393893916,
9,1,C,20.992056146341014,10.554347101323184,0.006832019154154177,
9,1,D,39.57287311348203,10.496753397908863,0.006917663298298294,
9,2,A,30.91869321232503,3.0212185127112225,0.0013809491591591449,640
9,2,B,22.18104416479836,3.0103406550886174,0.0011649663088088118,640
9,2,C,34.82580690674446,3.117804909317941,0.0013412664614614869,640
9,2,D,21.220991837303508,3.1979163670100497,0.0011595101401401552,640
10,1,A,34.15658124455048,8.640242042847644,0.005615580417917872,896
10,1,B,29.000895726914813,7.860672941724519,0.00505618847847848,768
10,1,C,33.70176485107545,8.143171523478145,0.0051377187237237375,768
10,1,D,27.78845734512003,7.47462296501944,0.004688753656156145,768
10,2,A,7.294207362675796,2.7708988082983232,0.0010323219019018643,512
10,2,B,5.96687159733265,2.9225227048245115,0.0010584253578578729,512
10,2,C,6.768031247731264,2.7544040439215935,0.0009669420945945604,512
10,2,D,5.733385024214905,2.8363607604949643,0.0010212882382382622,512
11,1,A,45.67649521453309,9.012750322669893,0.005780078508508523,1024
11,1,B,33.373357931871915,7.669716614157638,0.0046360248648648714,768
11,1,C,49.31190640329105,8.402041473154291,0.005318923028028021,768
11,1,D,48.84824359202547,8.480980207743471,0.005324450500500502,896
11,2,A,11.570458030767501,2.7927008298003213,0.0009359408558558425,640
11,2,B,6.263017504088775,2.76112575965107,0.0009859133858858922,512
11,2,C,9.322262582470925,2.7198176494952753,0.0009223988738738581,640
11,2,D,10.257329668683829,2.7253072806324825,0.0009002861186186101,640
12,1,A,35.46559954229847,7.969350992717074,0.004828488813813806,768
12,1,B,33.76233303800107,8.216398036432112,0.004979675437937931,768
12,1,C,35.237294763698074,7.768518956655344,0.004706558886386347,768
12,1,D,30.889129238057592,7.85792680091788,0.004805784034034009,768
12,2,A,6.469529759431862,2.881977187595818,0.000990415085085101,512
12,2,B,6.544422425619326,2.6577608765688074,0.0008819948648648597,512
12,2,C,5.83518512258602,2.707946725126763,0.0010030147372372493,512
12,2,D,5.651382732309772,2.651571066894321,0.0009188986311311101,512
13,1,A,22.11190019503519,10.872436872505208,0.006863619727227229,
13,1,B,47.13482554598308,9.223953917141852,0.005737594191691665,896
13,1,C,22.754388783068055,11.146987003063748,0.007118521096096115,
13,1,D,38.5590818280823,9.873966509876322,0.006131454799799794,1024
13,2,A,32.12058591199785,3.022960880871558,0.0012150703453453705,768
13,2,B,14.938937084686364,2.7984601499066635,0.0009141437787787845,640
13,2,C,24.180977227583632,3.0601926318686528,0.0011954871221221174,640
13,2,D,23.96537717053969,2.945651714275904,0.001140359169169169,640
